k	pvalue
0	1.000000000688381
1	1.000000000688381
2	1.000000000688381
3	1.000000000688381
4	1.000000000688381
5	1.000000000688381
6	1.000000000688381
7	1.000000000688381
8	1.000000000688381
9	1.000000000688381
10	1.000000000688381
11	1.000000000688381
12	1.000000000688381
13	1.000000000688381
14	1.000000000688381
15	1.000000000688381
16	1.000000000688381
17	1.000000000688381
18	1.000000000688381
19	1.000000000688381
20	1.000000000688381
21	1.000000000688381
22	1.000000000688381
23	1.000000000688381
24	1.000000000688381
25	1.000000000688381
26	1.000000000688381
27	1.000000000688381
28	1.000000000688381
29	1.000000000688381
30	1.0000000006883807
31	1.00000000068838
32	1.0000000006883776
33	1.0000000006883691
34	1.0000000006883414
35	1.000000000688253
36	1.0000000006879808
37	1.0000000006871683
38	1.0000000006848195
39	1.0000000006782348
40	1.0000000006603227
41	1.0000000006130076
42	1.0000000004915597
43	1.0000000001884557
44	0.9999999994524693
45	0.99999999771276
46	0.9999999937072894
47	0.9999999847199472
48	0.9999999650577961
49	0.9999999230949633
50	0.9999998356900168
51	0.9999996579275665
52	0.9999993047731682
53	0.9999986191422433
54	0.9999973178009078
55	0.9999949021477279
56	0.9999905150034338
57	0.9999827169003185
58	0.9999691460808391
59	0.9999460159328278
60	0.999907392905737
61	0.9998441887764089
62	0.9997427959734132
63	0.9995832968027646
64	0.9993371906617151
65	0.9989646115663365
66	0.9984110547719433
67	0.997603697531955
68	0.9964474840399348
69	0.9948212436005913
70	0.9925742150696679
71	0.9895234462901422
72	0.9854526078759219
73	0.9801127878351442
74	0.9732257997945687
75	0.9644904299291097
76	0.9535918608055098
77	0.9402142495114963
78	0.9240561201736649
79	0.9048478867697792
80	0.8823704901094442
81	0.8564738571815097
82	0.8270937149278853
83	0.7942652492603813
84	0.7581322149611873
85	0.7189503752664047
86	0.6770845627221272
87	0.6329991668077486
88	0.5872424149045311
89	0.5404253591211586
90	0.49319695011844966
91	0.4462169171165264
92	0.4001283436807744
93	0.3555318157425963
94	0.3129628284222063
95	0.27287379933842887
96	0.23562159218466858
97	0.2014609588350576
98	0.17054381636765323
99	0.14292383701935388
100	0.11856548294560097
101	0.09735638773158088
102	0.07912188097307861
103	0.06364046422655939
104	0.05065915769912881
105	0.039907820905222546
106	0.03111177747259146
107	0.02400231534509976
108	0.01832486374934876
109	0.013844848463597289
110	0.010351385129451158
111	0.0076590814046028815
112	0.005608283393945941
113	0.00406412519507979
114	0.002914730545447125
115	0.0020688817003358924
116	0.0014534219726070514
117	0.0010106029668635937
118	0.0006955319771549747
119	0.0004738239854203893
120	0.00031951910328858985
121	0.00021329149116178534
122	0.0001409498952257847
123	9.22122437471011e-05
124	5.972601100510066e-05
125	3.830084396685128e-05
126	2.431880358335177e-05
127	1.5289188927322502e-05
128	9.518195483651572e-06
129	5.867761184058889e-06
130	3.5822649554589974e-06
131	2.1658599019996556e-06
132	1.2969116082280342e-06
133	7.691619064047716e-07
134	4.5182739074213676e-07
135	2.629025255260017e-07
136	1.515320032940604e-07
137	8.652095811502822e-08
138	4.894017407393056e-08
139	2.7425638475955285e-08
140	1.5227014449181564e-08
141	8.376434209685393e-09
142	4.565722803154883e-09
143	2.465955592488348e-09
144	1.3197923514211988e-09
145	6.999866761772951e-10
146	3.6792286837009724e-10
147	1.916573709117247e-10
148	9.894976211428892e-11
149	5.0634096849564666e-11
150	2.568200445070673e-11
151	1.2911913175614064e-11
152	6.434965861345368e-12
153	3.1791707005355575e-12
154	1.557081038444506e-12
155	7.560595611975911e-13
156	3.6397011128113077e-13
157	1.7372314327314968e-13
158	8.22146181755941e-14
159	3.857951951164408e-14
160	1.795137915266799e-14
161	8.283020269873318e-15
162	3.790059473801083e-15
163	1.719832111634519e-15
164	7.739715111099249e-16
165	3.454449033349326e-16
166	1.5291966268743004e-16
167	6.714199958410612e-17
168	2.924065623033915e-17
169	1.2631566330390243e-17
170	5.412771931850114e-18
171	2.3008573804055777e-18
172	9.702462671186632e-19
173	4.0589272936865624e-19
174	1.6845818473822183e-19
175	6.93647618453664e-20
176	2.833778169642352e-20
177	1.148648218758576e-20
178	4.619727932629696e-21
179	1.8436041924588515e-21
180	7.300532230933829e-22
181	2.868734610936445e-22
