k	pvalue
0	1.0000000019437363
1	1.0000000019437363
2	1.0000000019437363
3	1.0000000019437363
4	1.0000000019437363
5	1.0000000019437363
6	1.0000000019437363
7	1.0000000019437363
8	1.0000000019437363
9	1.0000000019437363
10	1.0000000019437363
11	1.0000000019437363
12	1.0000000019437363
13	1.0000000019437363
14	1.0000000019437363
15	1.0000000019437363
16	1.0000000019437363
17	1.0000000019437363
18	1.0000000019437363
19	1.0000000019437363
20	1.0000000019437363
21	1.0000000019437363
22	1.0000000019437363
23	1.0000000019437363
24	1.0000000019437363
25	1.0000000019437363
26	1.0000000019437363
27	1.0000000019437363
28	1.0000000019437363
29	1.0000000019437363
30	1.0000000019437363
31	1.0000000019437363
32	1.0000000019437363
33	1.0000000019437363
34	1.0000000019437363
35	1.0000000019437363
36	1.0000000019437363
37	1.0000000019437363
38	1.0000000019437363
39	1.0000000019437363
40	1.0000000019437363
41	1.0000000019437363
42	1.0000000019437363
43	1.0000000019437363
44	1.0000000019437363
45	1.0000000019437363
46	1.0000000019437363
47	1.0000000019437363
48	1.0000000019437363
49	1.0000000019437363
50	1.0000000019437363
51	1.0000000019437363
52	1.0000000019437363
53	1.0000000019437363
54	1.0000000019437363
55	1.0000000019437363
56	1.0000000019437363
57	1.0000000019437363
58	1.0000000019437363
59	1.0000000019437358
60	1.0000000019437354
61	1.0000000019437336
62	1.0000000019437298
63	1.00000000194372
64	1.0000000019436972
65	1.000000001943643
66	1.0000000019435178
67	1.0000000019432331
68	1.0000000019425965
69	1.000000001941196
70	1.0000000019381647
71	1.0000000019317077
72	1.0000000019181667
73	1.0000000018902084
74	1.0000000018333592
75	1.0000000017194959
76	1.0000000014948132
77	1.0000000010579284
78	1.0000000002206746
79	0.9999999986389916
80	0.9999999956929991
81	0.9999999902821048
82	0.9999999804803134
83	0.9999999629652064
84	0.9999999320863447
85	0.9999998783683843
86	0.999999786142148
87	0.9999996298519794
88	0.9999993683861005
89	0.9999989365020892
90	0.9999982320537562
91	0.9999970972496057
92	0.9999952915688107
93	0.9999924532143616
94	0.9999880450889088
95	0.9999812802440695
96	0.9999710206049628
97	0.9999556415605333
98	0.9999328538209544
99	0.9998994728977547
100	0.9998511258224693
101	0.9997818844876696
102	0.9996838155060942
103	0.9995464379965286
104	0.9993560834773964
105	0.9990951563121777
106	0.9987412990744352
107	0.9982664748522931
108	0.9976359878175511
109	0.9968074740868434
110	0.9957299065348333
111	0.9943426690919563
112	0.9925747672652093
113	0.9903442510713502
114	0.9875579330598961
115	0.9841114863929229
116	0.979890004892101
117	0.9747690976323352
118	0.9686165744825663
119	0.9612947558745782
120	0.9526634105046268
121	0.942583289757695
122	0.9309201891388443
123	0.9175494272145721
124	0.902360594256238
125	0.8852623889236618
126	0.866187334914424
127	0.8450961532481568
128	0.8219815619317876
129	0.7968712845580764
130	0.769830073356385
131	0.7409605896977288
132	0.7104030343246638
133	0.678333477900106
134	0.6449609063035503
135	0.6105230603578937
136	0.5752812120338484
137	0.5395140744717958
138	0.503511087678828
139	0.4675653525767757
140	0.4319665012821682
141	0.396993790330627
142	0.3629096864444986
143	0.3299541829334198
144	0.29834004142217196
145	0.26824910155006704
146	0.23982974424824388
147	0.2131955359714813
148	0.18842502546648787
149	0.16556261449526663
150	0.1446203819596552
151	0.12558070887874265
152	0.10839953060923758
153	0.09301003270525304
154	0.07932660728177122
155	0.06724889645480663
156	0.05666576670808383
157	0.047459080932251325
158	0.03950716134884466
159	0.03268786457584625
160	0.026881217912356342
161	0.02197159200040263
162	0.017849408192417794
163	0.01441239841405814
164	0.011566450627265516
165	0.009226084060547616
166	0.007314605352542231
167	0.0057640000358619254
168	0.004514613903914952
169	0.0035146763705968557
170	0.002719713594543503
171	0.0020918935180186445
172	0.0015993386304330333
173	0.0012154356917943123
174	0.0009181652317691329
175	0.0006894676676089299
176	0.0005146575576110647
177	0.00038189294091834936
178	0.00028170295344802094
