k	pvalue
0	1.0000000001041627
1	0.9999993091962611
2	0.999986862783697
3	0.9998882579736164
4	0.9994264518798829
5	0.9979676915366095
6	0.9945664881853153
7	0.9882395734594595
8	0.9782075587278444
9	0.9639900764046213
10	0.945431130067212
11	0.9226544183119313
12	0.8959590114893868
13	0.8657216778137627
14	0.8323412847340459
15	0.7962312941079652
16	0.7578346247566243
17	0.7176344010601664
18	0.6761545531490433
19	0.633939951069425
20	0.5915244120190745
21	0.5494021566050804
22	0.5080037934564229
23	0.4676830924446923
24	0.42872188279941215
25	0.39134394781034615
26	0.3557255965296872
27	0.32200210532913215
28	0.2902722471407156
29	0.2605991554631877
30	0.2330099350617473
31	0.2074986413743675
32	0.18403227826550708
33	0.1625566748166159
34	0.14300113131678902
35	0.12528257112225707
36	0.10930881273108295
37	0.0949804380331319
38	0.08219239736659163
39	0.07083587268980354
40	0.06080004952342025
41	0.051973996452983826
42	0.044248681765230155
43	0.037518666084141034
44	0.03168321643896382
45	0.026647033755734635
46	0.02232079874718822
47	0.018621506848965443
48	0.015472616032955423
49	0.012804140712936188
50	0.010552679102705421
51	0.00866128523841294
52	0.0070792104601505685
53	0.0057615734786368175
54	0.004668952487821487
55	0.0037669186678632263
56	0.0030255618443037337
57	0.0024190282790506968
58	0.001925080873160191
59	0.001524692886934677
60	0.0012016754005507093
61	0.0009423337801996877
62	0.0007351472136069689
63	0.0005704733525378684
64	0.0004402817148904969
65	0.00033791462095365056
66	0.000257877448939851
67	0.00019565870142950015
68	0.000147575010897212
69	0.00011063711544761634
70	8.24342705031977e-05
71	6.1034753842408546e-05
72	4.4900686468369576e-05
73	3.2815584937296675e-05
74	2.382340775411728e-05
75	1.7177846902896816e-05
76	1.230035161051121e-05
77	8.745596844591768e-06
78	6.173310994861864e-06
79	4.325433685047844e-06
80	3.00773545916129e-06
81	2.0751577225417506e-06
82	1.4202106932891776e-06
83	9.638692219211043e-07
84	6.484939998936031e-07
85	4.323766405781565e-07
86	2.8557619144482263e-07
87	1.867721797988432e-07
88	1.2090770803522883e-07
89	7.743992342808056e-08
90	4.905241445818548e-08
91	3.071529077685006e-08
92	1.900470212051057e-08
93	1.1614292268574146e-08
94	7.007489847317351e-09
95	4.1723689605328475e-09
96	2.450560626295465e-09
97	1.4191278104334222e-09
98	8.099519474175524e-10
99	4.55389749202046e-10
100	2.5211138583883723e-10
101	1.373657325319671e-10
102	7.362469292936674e-11
103	3.879707740202954e-11
104	2.0089213643359024e-11
105	1.0215446565036032e-11
106	5.098065029166177e-12
107	2.495214462752995e-12
108	1.1968501362602951e-12
109	5.621423163884305e-13
110	2.583088907490019e-13
111	1.160092501767328e-13
112	5.0867037257957206e-14
113	2.1749629225339755e-14
114	9.05651823215178e-15
115	3.6670794122511185e-15
116	1.4414759806033731e-15
117	5.490495631319269e-16
118	2.0221956745354414e-16
119	7.184942760245453e-17
120	2.456247976664696e-17
121	8.05564140820106e-18
122	2.5263575669056217e-18
123	7.548901352397644e-19
124	2.1404881711202139e-19
125	5.733377179221952e-20
126	1.4432849652602018e-20
127	3.394345088651673e-21
128	7.406732706834076e-22
129	1.487299773828463e-22
130	2.719401331112576e-23
131	4.471872617091067e-24
132	6.490726460827963e-25
133	8.107604737053902e-26
134	8.429430923496321e-27
135	6.560760098454022e-28
136	3.7294683434900443e-29
