k	pvalue
0	1.0000000000063802
1	0.9982608795590986
2	0.9883382367943359
3	0.9616530213054371
4	0.9150576051153285
5	0.8529997402823266
6	0.7828240218114647
7	0.7107139825772621
8	0.6407701503600945
9	0.5751133297362921
10	0.5140883588594811
11	0.45698791224181
12	0.4031153413995987
13	0.3522355875572098
14	0.3044879539564236
15	0.26036168049344366
16	0.22050868433795093
17	0.18534339698579014
18	0.15486959836606926
19	0.1287756809957984
20	0.10657765879271701
21	0.08774279494188283
22	0.07179264637487018
23	0.05835218653202769
24	0.047124948642123306
25	0.037840428792022464
26	0.03023147809934274
27	0.02404137098556091
28	0.019034955374486063
29	0.015005544731919843
30	0.01177722017521647
31	0.009202413271597988
32	0.007158114381924252
33	0.005542737997259931
34	0.0042727391385338825
35	0.0032793249344406877
36	0.0025060678352457955
37	0.0019069992780840924
38	0.0014448919888225408
39	0.001089858813553525
40	0.0008182098492661135
41	0.0006113534775452284
42	0.00045469039491508685
43	0.00033669451113742195
44	0.0002482813195533693
45	0.00018234680628409207
46	0.00013338484171673487
47	9.717010742668097e-05
48	7.049119968257183e-05
49	5.0920869951701436e-05
50	3.6628247866551424e-05
51	2.623571760387002e-05
52	1.871164804439848e-05
53	1.328774609793945e-05
54	9.394685382062472e-06
55	6.612532380175993e-06
56	4.6329447412058795e-06
57	3.2305652235332434e-06
58	2.241547256869046e-06
59	1.5473728536353097e-06
60	1.06262459250378e-06
61	7.259188270190683e-07
62	4.933072450665614e-07
63	3.3347077362689176e-07
64	2.2421621072009905e-07
65	1.4992279121138742e-07
66	9.967103401864203e-08
67	6.587115962845088e-08
68	4.327049337910484e-08
69	2.8249437831847305e-08
70	1.8327327027103424e-08
71	1.1814210323515544e-08
72	7.565817748577332e-09
73	4.812410441756616e-09
74	3.0395970861559964e-09
75	1.905816139815185e-09
76	1.1857388792075234e-09
77	7.317012216229599e-10
78	4.475794524834666e-10
79	2.7121975885273486e-10
80	1.6270059196574637e-10
81	9.655285703815513e-11
82	5.66430293529599e-11
83	3.282858825943866e-11
84	1.878596627447777e-11
85	1.060903850704355e-11
86	5.9100719019802405e-12
87	3.2464879318425457e-12
88	1.7578353567028427e-12
89	9.378364453930181e-13
90	4.928329540292373e-13
91	2.549980440183224e-13
92	1.2986285321458125e-13
93	6.507253833647855e-14
94	3.2072862406138295e-14
95	1.554439745002149e-14
96	7.405871792872834e-15
97	3.4674727726425434e-15
98	1.5949593344915073e-15
99	7.20516846615228e-16
100	3.1955628522247503e-16
101	1.3909204509368333e-16
102	5.939378829172088e-17
103	2.487029827340812e-17
104	1.020754029074712e-17
105	4.104289825520584e-18
106	1.6157810287874934e-18
107	6.224083409353411e-19
108	2.3442648011860554e-19
109	8.626462969425412e-20
110	3.098631610073415e-20
111	1.0854018110365985e-20
112	3.70353138545906e-21
113	1.2294249837484282e-21
114	3.9648813440911447e-22
115	1.2402237843386418e-22
116	3.7558732496911846e-23
117	1.0988942587708742e-23
118	3.098986134190695e-24
119	8.401590349073118e-25
120	2.1832726500952243e-25
121	5.420694117037595e-26
122	1.2812846543085494e-26
123	2.8717281251192536e-27
124	6.076090752037847e-28
125	1.2076751105928012e-28
126	2.242218811235665e-29
127	3.8637108227886966e-30
128	6.135129139708845e-31
129	8.898004861041323e-32
130	1.1661909410717283e-32
131	1.3650413672508172e-33
132	1.3982348171942526e-34
133	1.2270781222296647e-35
134	8.897172550228613e-37
135	4.807651626795757e-38
136	1.9359801110791888e-39
