k	pvalue
0	1.000000000031733
1	0.9249942891703429
2	0.8527729851014773
3	0.7898063900742383
4	0.7261440392378119
5	0.6666588309165233
6	0.6135349613282546
7	0.5636609596150525
8	0.5176852351682096
9	0.47483486304404926
10	0.4366764475672265
11	0.3992446522171783
12	0.364706795215901
13	0.3242791002756058
14	0.2856120828789487
15	0.2501376184120662
16	0.2185360506071066
17	0.19079555989621705
18	0.16651550793416314
19	0.14499241482402747
20	0.12622022236547148
21	0.1098067854827799
22	0.09558045740033756
23	0.0829177983618118
24	0.07191021524472349
25	0.06223516268313188
26	0.053505715971542786
27	0.04551500308353569
28	0.03871309821958503
29	0.03287470759343732
30	0.027871737652364094
31	0.023521319684036816
32	0.019837436530489326
33	0.01671323102258551
34	0.014070071326159306
35	0.011843828535576554
36	0.009967824586644103
37	0.00837068774136001
38	0.007012919263809334
39	0.005829297637090875
40	0.00482750963648554
41	0.003979239283469779
42	0.0032735623386349333
43	0.00268027322184744
44	0.0021871857529898986
45	0.001780566472679469
46	0.0014470872162332382
47	0.0011742028240222966
48	0.000950979084508635
49	0.0007674244607108515
50	0.0006178382520609224
51	0.0004955039806827952
52	0.0003950228034023145
53	0.0003132101005094843
54	0.0002477190992027322
55	0.00019523557305616256
56	0.00015308786642257279
57	0.00011954255497885903
58	9.310893842993218e-05
59	7.229068705586632e-05
60	5.594019737191684e-05
61	4.316597022144124e-05
62	3.317343275794234e-05
63	2.5407894716803415e-05
64	1.9363716723249635e-05
65	1.4703342450612509e-05
66	1.1111708943712684e-05
67	8.365564380822452e-06
68	6.2679006513949804e-06
69	4.673384584375929e-06
70	3.4676034938145275e-06
71	2.5615956518226496e-06
72	1.8832801861134672e-06
73	1.377622624333234e-06
74	1.0010616675253188e-06
75	7.231454175777292e-07
76	5.183871872853276e-07
77	3.6856983277968917e-07
78	2.595242411431429e-07
79	1.8149513136407967e-07
80	1.2587308908167892e-07
81	8.651591246148092e-08
82	5.894804815911552e-08
83	3.988737949299e-08
84	2.6772642228543782e-08
85	1.7815133087710854e-08
86	1.1757085259366815e-08
87	7.686486298115178e-09
88	4.976559349129612e-09
89	3.194856680824012e-09
90	2.033039656294516e-09
91	1.2813789088744846e-09
92	8.004986314397736e-10
93	4.961793551987615e-10
94	3.0495731338172663e-10
95	1.8576589364454862e-10
96	1.1217811659217033e-10
97	6.710899064469511e-11
98	3.975457330558451e-11
99	2.3333335347253527e-11
100	1.357087972926975e-11
101	7.816606208690268e-12
102	4.460031277882025e-12
103	2.5223566687980533e-12
104	1.4137312741612164e-12
105	7.846232208545758e-13
106	4.3118139375366287e-13
107	2.3453810744147723e-13
108	1.2615815933425049e-13
109	6.71150058598274e-14
110	3.532988447257079e-14
111	1.838779912763027e-14
112	9.459270924528713e-15
113	4.813512881280368e-15
114	2.4225228227579927e-15
115	1.2038473181971636e-15
116	5.905617016055674e-16
117	2.8584920170350385e-16
118	1.3624240548368706e-16
119	6.391961399848811e-17
120	2.9535975304085663e-17
121	1.3415853912063549e-17
122	5.986563013918532e-18
123	2.629050242873301e-18
124	1.134876112658852e-18
125	4.803114197884062e-19
126	1.9923609390597434e-19
127	8.079781995984977e-20
128	3.1921236538154154e-20
129	1.226372067441859e-20
130	4.554863143721855e-21
131	1.6280162805101669e-21
132	5.60784502576046e-22
133	1.8513207251330475e-22
134	5.797802239235697e-23
135	1.7311505291876394e-23
136	4.933505208647193e-24
137	1.31470471074812e-24
138	3.28789370891539e-25
139	7.803417229717632e-26
140	1.7025371853464174e-26
141	3.3960504223264e-27
142	6.299658035691312e-28
143	1.0375061558415926e-28
144	1.482379060106592e-29
145	1.828125968879491e-30
146	1.6858544995318194e-31
147	9.725150924679804e-33
148	2.9925732020978815e-34
149	3.680181243248727e-36
