k	pvalue
0	0.999999999995566
1	0.680564211986334
2	0.5510438110613499
3	0.4714231464099437
4	0.4138689273252276
5	0.3671341535922112
6	0.33224834627600475
7	0.30103361461396694
8	0.272903431358788
9	0.24794190014834042
10	0.21776160910287393
11	0.19250163245432578
12	0.16602350531775611
13	0.14578957727913722
14	0.12821584395995428
15	0.11518844017500739
16	0.10505132688052518
17	0.09625964301635073
18	0.08888820315709979
19	0.08029823034615136
20	0.07209520256791191
21	0.06582067902989353
22	0.0601663970760375
23	0.055733811699115884
24	0.051312135394540714
25	0.04775448704947657
26	0.04119339645791929
27	0.03523486382795525
28	0.031128146814217293
29	0.02744583959754206
30	0.020419577975844476
31	0.016711776825251934
32	0.014081142155876566
33	0.012003627983888229
34	0.010343120876966351
35	0.00885975540121222
36	0.0075514933385168815
37	0.006366137836085459
38	0.005369518255943141
39	0.004428762725329849
40	0.003676233170562754
41	0.0030238189706633207
42	0.00253470477952796
43	0.0021205169744900275
44	0.0017876397203441543
45	0.001523416139625247
46	0.00129392238835068
47	0.0011110751453717116
48	0.0009396848364980226
49	0.0007914599572957585
50	0.0006702751577493704
51	0.0005647917441730786
52	0.00045644389219750105
53	0.0003772672216779108
54	0.0003108000453210564
55	0.00021897850761377116
56	0.0001752994239041625
57	0.0001393275085617549
58	0.000112095822971135
59	9.003033466734119e-05
60	7.256101101829972e-05
61	5.7257518329308014e-05
62	4.509244091703499e-05
63	3.49444204388591e-05
64	2.6021446020769438e-05
65	1.9323080438743544e-05
66	1.3852568244118063e-05
67	1.0353242335245243e-05
68	7.396279756595139e-06
69	5.5781279299526935e-06
70	4.173062510704241e-06
71	3.1268061744010803e-06
72	2.311239716976293e-06
73	1.686912713699444e-06
74	1.2071017631231158e-06
75	8.401101637864737e-07
76	5.763031681305147e-07
77	3.960358676073295e-07
78	2.756594160493028e-07
79	1.849271701854393e-07
80	1.3056237183967122e-07
81	9.122161995453426e-08
82	6.331548803678458e-08
83	4.345983089893092e-08
84	2.937764626616379e-08
85	1.9017493769883935e-08
86	1.245534631501035e-08
87	8.06877712421024e-09
88	4.951353206264651e-09
89	3.1874916106174197e-09
90	2.0874604471665498e-09
91	1.3623828490966545e-09
92	8.852414889688872e-10
93	5.689212653156385e-10
94	3.5208300128254216e-10
95	2.143934635093552e-10
96	1.2960038829842028e-10
97	7.465765023158761e-11
98	4.255355012999796e-11
99	2.5903475204907277e-11
100	1.568550347454103e-11
101	9.529321919676348e-12
102	5.722109751966209e-12
103	3.3564545777896574e-12
104	1.8737083936364733e-12
105	1.0424791680122907e-12
106	5.571620022078215e-13
107	2.751657519863505e-13
108	1.5278806270600421e-13
109	8.343769805086645e-14
110	4.648740151091406e-14
111	2.5626112211172974e-14
112	1.3807196093913618e-14
113	6.959033909164952e-15
114	3.461639160243684e-15
115	1.6092327234829398e-15
116	6.578538798765427e-16
117	3.12129019723974e-16
118	1.4106533460983134e-16
119	6.760312228127457e-17
120	3.2853958892906876e-17
121	1.4526057420430796e-17
122	6.418310690038732e-18
123	2.655822108956744e-18
124	7.267328777054002e-19
125	2.5649011912068607e-19
126	5.871626257237308e-20
127	1.3180833157349354e-20
128	3.036837515313349e-21
129	3.7045345567724803e-22
130	8.050498587547689e-23
131	5.343578543693514e-24
132	8.041513377234399e-25
133	3.000435041359263e-26
