k	pvalue
0	1.0000000003432294
1	1.0000000003432294
2	1.0000000003432294
3	1.0000000003432294
4	1.0000000003432294
5	1.0000000003432294
6	1.0000000003432294
7	1.0000000003432294
8	1.0000000003432294
9	1.0000000003432294
10	1.0000000003432294
11	1.0000000003432294
12	1.0000000003432294
13	1.0000000003432294
14	1.0000000003432294
15	1.0000000003432294
16	1.0000000003432294
17	1.0000000003432294
18	1.0000000003432294
19	1.0000000003432294
20	1.0000000003432294
21	1.0000000003432294
22	1.0000000003432294
23	1.0000000003432294
24	1.0000000003432294
25	1.0000000003432294
26	1.0000000003432294
27	1.0000000003432294
28	1.0000000003432294
29	1.0000000003432294
30	1.0000000003432294
31	1.0000000003432294
32	1.0000000003432294
33	1.0000000003432294
34	1.0000000003432294
35	1.0000000003432294
36	1.0000000003432294
37	1.0000000003432294
38	1.0000000003432294
39	1.0000000003432294
40	1.0000000003432294
41	1.0000000003432294
42	1.0000000003432294
43	1.0000000003432294
44	1.0000000003432294
45	1.0000000003432294
46	1.0000000003432294
47	1.0000000003432294
48	1.0000000003432294
49	1.0000000003432294
50	1.0000000003432294
51	1.0000000003432294
52	1.0000000003432294
53	1.0000000003432294
54	1.0000000003432294
55	1.0000000003432294
56	1.0000000003432294
57	1.000000000343229
58	1.0000000003432281
59	1.0000000003432252
60	1.000000000343217
61	1.0000000003431933
62	1.0000000003431269
63	1.0000000003429454
64	1.0000000003424607
65	1.0000000003411944
66	1.0000000003379574
67	1.0000000003298615
68	1.000000000310041
69	1.0000000002625329
70	1.0000000001510183
71	0.9999999998946253
72	0.9999999993170721
73	0.9999999980421459
74	0.9999999952836086
75	0.9999999894321442
76	0.9999999772610192
77	0.9999999524317702
78	0.9999999027442711
79	0.9999998051861989
80	0.9999996172149085
81	0.9999992617393167
82	0.9999986018155571
83	0.9999973989492755
84	0.9999952459066519
85	0.9999914608713675
86	0.9999849244819549
87	0.9999738346846482
88	0.9999553465772627
89	0.9999250559415996
90	0.9998762768325624
91	0.9997990568110477
92	0.9996788701671951
93	0.9994949323390213
94	0.999218090652281
95	0.9988082705272648
96	0.9982114950057978
97	0.9973565502952542
98	0.9961514405174212
99	0.9944798577846766
100	0.9921979825965649
101	0.9891320143478449
102	0.9850768993425119
103	0.9797967589918725
104	0.9730275085700008
105	0.9644820840813967
106	0.9538585536960404
107	0.9408511809071939
108	0.9251642390097873
109	0.9065280712697288
110	0.8847165786110676
111	0.8595650341775519
112	0.8309869117091133
113	0.7989883092398464
114	0.7636785790233153
115	0.7252759522227272
116	0.6841072680224086
117	0.6406013573605099
118	0.5952761498648004
119	0.5487201143765816
120	0.5015691484074558
121	0.4544804420917684
122	0.40810511026012647
123	0.36306148191279797
124	0.31991085065047564
125	0.27913723576893806
126	0.2411323148279369
127	0.20618621230387893
128	0.17448432077740011
129	0.14610984623656617
130	0.12105135551583161
131	0.0992142969448958
132	0.0804352843590171
133	0.06449788260457276
134	0.05114869762577903
135	0.04011273288666526
136	0.031107196212470392
137	0.023853194998718096
138	0.018085013150277912
139	0.013556895428567323
140	0.010047456691220051
141	0.007361975221945962
142	0.005332918680750022
143	0.003819091818640389
144	0.0027037948205668053
145	0.0018923500652605438
146	0.001309303891620604
147	0.000895548540238112
148	0.0006055460367048091
149	0.00040477653358043296
150	0.00026748248733852754
151	0.0001747390073553905
152	0.00011285018338574031
153	7.205044768034485e-05
154	4.5477633399591496e-05
155	2.8378608848594037e-05
156	1.7507423575473284e-05
157	1.0678187336386848e-05
158	6.439077586931888e-06
159	3.838907301721564e-06
160	2.262855217083958e-06
161	1.3187992409941642e-06
162	7.599433694889056e-07
163	4.329845919171861e-07
164	2.4392738055801886e-07
165	1.3587950038748153e-07
166	7.484471160405263e-08
167	4.076530561032726e-08
168	2.1955907626055083e-08
169	1.1693700585304636e-08
170	6.158873050241584e-09
171	3.207806079379434e-09
172	1.6522715237232792e-09
173	8.416472058318419e-10
174	4.2399721832529283e-10
175	2.1124627940790995e-10
176	1.0409194782794058e-10
177	5.072896989012998e-11
178	2.44520115030422e-11
179	1.165739552746544e-11
180	5.496997842065427e-12
181	2.5638660855966908e-12
182	1.1828220838050498e-12
183	5.397670090200003e-13
184	2.4364893091275716e-13
185	1.0879333810713608e-13
186	4.805382790427776e-14
187	2.0996637875631394e-14
188	9.07560760600649e-15
189	3.8807337970433836e-15
190	1.641617970165854e-15
191	6.870024066251096e-16
192	2.844330442533154e-16
193	1.1650513898265777e-16
194	4.7212920283647886e-17
195	1.8929310509553588e-17
196	7.508862810804566e-18
197	2.947040953199376e-18
198	1.1444000613983582e-18
199	4.396997667960921e-19
200	1.671583623933668e-19
201	6.287821787740627e-20
202	2.3403413377265553e-20
203	8.61929112030907e-21
204	3.1411136360094752e-21
205	1.1327179142512611e-21
206	4.041960484803871e-22
207	1.42725168353036e-22
208	4.987158651286328e-23
209	1.7244702963329774e-23
210	5.900840009654644e-24
211	1.9981730742130223e-24
212	6.696053873979887e-25
213	2.2206323458611664e-25
214	7.288051950038766e-26
215	2.3671642994479565e-26
216	7.609085011913777e-27
217	2.4206298580364234e-27
218	7.621157793855639e-28
219	2.3747326271431556e-28
220	7.323423335603737e-29
221	2.2352368520805568e-29
222	6.752228935390932e-30
223	2.018780293755411e-30
224	5.973834792269612e-31
225	1.7496188686134703e-31
226	5.071816261858328e-32
227	1.455180869722396e-32
228	4.132447251769064e-33
229	1.1615499344059216e-33
230	3.231557567500324e-34
231	8.898820655442627e-35
232	2.4255069912805745e-35
233	6.543724047790095e-36
234	1.7474409838363582e-36
235	4.618891426363533e-37
236	1.2084624545888142e-37
237	3.1296162893511837e-38
238	8.022574796529181e-39
239	2.0356509251658162e-39
240	5.112833684632853e-40
241	1.2711321459920902e-40
242	3.1281829161290714e-41
243	7.62022121197525e-42
244	1.837462531234256e-42
245	4.385773767578508e-43
246	1.036220071796373e-43
247	2.423465882127667e-44
248	5.610504582348998e-45
249	1.2857243657685613e-45
250	2.916590663178097e-46
251	6.549155871372416e-47
252	1.4557200656594963e-47
253	3.202974156298445e-48
254	6.976092421622518e-49
255	1.504022431000094e-49
256	3.2098123241817667e-50
257	6.780910608895671e-51
258	1.4180094780208143e-51
259	2.9353002853412005e-52
260	6.014612480446987e-53
261	1.2199548793776997e-53
262	2.4494018916850233e-54
263	4.8680555044451124e-55
264	9.576991058491213e-56
265	1.8650028272200994e-56
266	3.595053763224663e-57
267	6.859702229073366e-58
268	1.2956195137374221e-58
269	2.4222572643460284e-59
270	4.482617853217365e-60
271	8.211259659117849e-61
272	1.4888546282333528e-61
273	2.672125974524873e-62
274	4.747021858563203e-63
275	8.347234442867072e-64
276	1.4528418340462118e-64
277	2.5029117444856875e-65
278	4.267968427146075e-66
279	7.203476924866524e-67
280	1.2033865555117449e-67
281	1.989787589491204e-68
282	3.2564414639119e-69
283	5.274862018977289e-70
284	8.456805262856155e-71
285	1.3419147838524214e-71
286	2.1074766010961938e-72
287	3.275785747110232e-73
288	5.039397986486043e-74
289	7.672690086642485e-75
290	1.1561594172979828e-75
291	1.724185288882015e-76
292	2.544727188904957e-77
293	3.7169299899933504e-78
294	5.372890730438254e-79
295	7.686109629191199e-80
296	1.088113965569891e-80
297	1.524423313972457e-81
298	2.1134605776567335e-82
299	2.8995721058049612e-83
300	3.936574949486186e-84
301	5.28860921090185e-85
302	7.030659988870668e-86
303	9.248590184082592e-87
304	1.2038511279029326e-87
305	1.5505317163274038e-88
306	1.9760220524137768e-89
307	2.491716612111012e-90
308	3.1088053036648173e-91
309	3.837677940513381e-92
310	4.687222616827957e-93
311	5.664041592697043e-94
312	6.771621042857629e-95
313	8.009503397877491e-96
314	9.372521602375777e-97
315	1.0850161908389215e-97
316	1.2426124345772935e-98
317	1.4078146553850337e-99
318	1.5778146470131522e-100
319	1.7492722348246712e-101
320	1.918402538499461e-102
321	2.0810992354989826e-103
322	2.2330895309309646e-104
323	2.370113539424276e-105
324	2.4881181287022656e-106
325	2.5834532672769875e-107
326	2.6530578209730107e-108
327	2.694621735996702e-109
328	2.706712702790125e-110
329	2.6888576631153085e-111
330	2.6415727254131187e-112
331	2.5663389034581756e-113
332	2.4655252247873385e-114
333	2.3422647655659086e-115
334	2.200292665633301e-116
335	2.0437578270856093e-117
336	1.877021564230935e-118
337	1.7044568371102594e-119
338	1.5302608825741938e-120
339	1.358292198618264e-121
340	1.1919401837065625e-122
341	1.0340325947213414e-123
342	8.867827028388631e-125
343	7.51774919154025e-126
344	6.299850039138407e-127
345	5.21828961041772e-128
346	4.272334594101043e-129
347	3.457201291530963e-130
348	2.7649628959440814e-131
349	2.1854544761167888e-132
350	1.7071209577626611e-133
351	1.3177675909542592e-134
352	1.0051871697758804e-135
353	7.576521839989826e-137
354	5.642720538800015e-138
355	4.1522496449851136e-139
356	3.0188031217617973e-140
357	2.168314815056992e-141
358	1.5385992270777587e-142
359	1.078507906792349e-143
360	7.467830212668432e-145
361	5.107601886723366e-146
362	3.4503960873503e-147
363	2.302117910709426e-148
364	1.5169449713644502e-149
365	9.871252358770664e-151
366	6.3432365972681765e-152
367	4.024958387730645e-153
368	2.5217314611192088e-154
369	1.559904040836836e-155
370	9.526484970888292e-157
371	5.743503563730892e-158
372	3.4182485472478694e-159
373	2.0081008321501922e-160
374	1.164379598461956e-161
375	6.663499259550893e-163
376	3.763394517178705e-164
377	2.0974765707349793e-165
378	1.1535175744962197e-166
379	6.25936354568297e-168
380	3.351070056928992e-169
381	1.769913613406587e-170
382	9.221531662336626e-172
383	4.73917778448786e-173
384	2.4022472573107266e-174
385	1.2009150240994178e-175
386	5.920400409285128e-177
387	2.8780459066895464e-178
388	1.3794787497748744e-179
389	6.518760086381097e-181
390	3.0367487799071265e-182
391	1.3944629180863366e-183
392	6.31129947823392e-185
393	2.815158813755644e-186
394	1.237419505073622e-187
395	5.359418346350883e-189
396	2.2869713196316334e-190
397	9.613927367665965e-192
398	3.9809953325435035e-193
399	1.62362521842371e-194
400	6.521307172967638e-196
401	2.5792211783851943e-197
402	1.004376858380902e-198
403	3.8504092016070793e-200
404	1.4530005492750777e-201
405	5.396580834587233e-203
406	1.972466184314075e-204
407	7.093833121543263e-206
408	2.5100015237518985e-207
409	8.736313413851525e-209
410	2.9907606292785026e-210
411	1.0068638242100467e-211
412	3.332960585433451e-213
413	1.084658334250968e-214
414	3.4696865848563646e-216
415	1.0908155875042788e-217
416	3.369795585610025e-219
417	1.0227564182291458e-220
418	3.0491619445964105e-222
419	8.927901143352265e-224
420	2.5668326163521266e-225
421	7.245048867536721e-227
422	2.0072177476982952e-228
423	5.457179772053117e-230
424	1.455697456693675e-231
425	3.8089802815881567e-233
426	9.774256789241117e-235
427	2.459210809003327e-236
428	6.0651436500610916e-238
429	1.4659280629828612e-239
430	3.471361210955159e-241
431	8.051710109122794e-243
432	1.8287708487788482e-244
433	4.0662193980590393e-246
434	8.848218756926542e-248
435	1.883748872200479e-249
436	3.922437425552141e-251
437	7.985710568420016e-253
438	1.5890915114743528e-254
439	3.089652528226758e-256
440	5.867287027369144e-258
441	1.0878454198133757e-259
442	1.9684647217941131e-261
443	3.4748810115483504e-263
444	5.981604872028301e-265
445	1.0036134947822364e-266
446	1.6405259319557946e-268
447	2.6112902855117584e-270
448	4.045389899470933e-272
449	6.096294779743551e-274
450	8.931567745633842e-276
451	1.271420617617541e-277
452	1.75744267930734e-279
453	2.357327304633922e-281
454	3.066243123318205e-283
455	3.864790484802043e-285
456	4.7167708856671004e-287
457	5.569425593331819e-289
458	6.35695271691233e-291
459	7.007506523920543e-293
460	7.453009071128055e-295
461	7.640173305917762e-297
462	7.540451111491676e-299
463	7.1564763304301715e-301
464	6.523138108767698e-303
465	5.702628804154768e-305
466	4.774345182278127e-307
467	3.821898762918014e-309
468	2.920239313205e-311
469	2.1257477785e-313
470	1.4711694e-315
471	9.658e-318
472	5.9994e-320
473	3.5e-322
474	0.0
475	0.0
476	0.0
477	0.0
478	0.0
479	0.0
480	0.0
481	0.0
482	0.0
483	0.0
484	0.0
485	0.0
486	0.0
487	0.0
488	0.0
489	0.0
490	0.0
