k	pvalue
0	1.0000000003466105
1	1.0000000003466105
2	1.0000000003466105
3	1.0000000003466105
4	1.0000000003466105
5	1.0000000003466105
6	1.0000000003466105
7	1.0000000003466105
8	1.0000000003466105
9	1.0000000003466105
10	1.0000000003466105
11	1.0000000003466105
12	1.0000000003466105
13	1.0000000003466105
14	1.0000000003466105
15	1.0000000003466105
16	1.0000000003466105
17	1.0000000003466105
18	1.0000000003466105
19	1.0000000003466105
20	1.0000000003466105
21	1.0000000003466105
22	1.0000000003466105
23	1.0000000003466105
24	1.0000000003466105
25	1.0000000003466105
26	1.0000000003466105
27	1.0000000003466105
28	1.0000000003466105
29	1.0000000003466105
30	1.0000000003466105
31	1.0000000003466105
32	1.0000000003466105
33	1.0000000003466105
34	1.0000000003466105
35	1.0000000003466105
36	1.0000000003466105
37	1.0000000003466105
38	1.0000000003466105
39	1.0000000003466105
40	1.0000000003466105
41	1.0000000003466105
42	1.0000000003466105
43	1.0000000003466105
44	1.0000000003466105
45	1.0000000003466105
46	1.0000000003466105
47	1.0000000003466105
48	1.0000000003466105
49	1.0000000003466105
50	1.0000000003466105
51	1.0000000003466105
52	1.0000000003466105
53	1.0000000003466105
54	1.0000000003466105
55	1.0000000003466105
56	1.0000000003466105
57	1.0000000003466105
58	1.0000000003466105
59	1.0000000003466105
60	1.0000000003466105
61	1.0000000003466105
62	1.0000000003466105
63	1.0000000003466105
64	1.0000000003466105
65	1.0000000003466105
66	1.0000000003466103
67	1.0000000003466103
68	1.0000000003466103
69	1.0000000003466103
70	1.0000000003466099
71	1.0000000003466085
72	1.0000000003466052
73	1.0000000003465959
74	1.0000000003465714
75	1.000000000346508
76	1.0000000003463447
77	1.0000000003459357
78	1.000000000344928
79	1.0000000003424927
80	1.0000000003367149
81	1.0000000003232588
82	1.0000000002924863
83	1.0000000002233755
84	1.0000000000709224
85	0.9999999997405435
86	0.9999999990370859
87	0.9999999975651765
88	0.999999994538218
89	0.9999999884192571
90	0.9999999762586096
91	0.9999999524954533
92	0.9999999068309047
93	0.9999998205251598
94	0.9999996600742037
95	0.9999993666186701
96	0.9999988385458772
97	0.9999979034638629
98	0.9999962739358876
99	0.9999934789422844
100	0.9999887598736308
101	0.999980915887675
102	0.999968078699874
103	0.9999473914807927
104	0.9999145608623461
105	0.9998632457345665
106	0.9997842424891916
107	0.9996644249205064
108	0.9994853997242242
109	0.9992218472489083
110	0.9988395336765812
111	0.998293006691793
112	0.997523022840907
113	0.9964538009968326
114	0.994990250918956
115	0.9930153852558548
116	0.9903881818721451
117	0.9869422135763853
118	0.9824853952504585
119	0.9768012045645059
120	0.9696517031568819
121	0.9607826138451748
122	0.9499305933892078
123	0.9368326819983442
124	0.9212377186723925
125	0.9029193002981749
126	0.8816896523082489
127	0.8574135933800336
128	0.830021640806773
129	0.7995212392130617
130	0.7660051199481045
131	0.729655919824085
132	0.6907464031714312
133	0.6496349262661929
134	0.6067561332363574
135	0.5626072446037186
136	0.5177306563159966
137	0.47269387132885254
138	0.42806800530617195
139	0.38440621971414524
140	0.34222342843779535
141	0.3019785003553682
142	0.2640599552159772
143	0.22877584944207702
144	0.1963482049396892
145	0.1669119832072121
146	0.14051828288210574
147	0.11714116970593215
148	0.09668735369605684
149	0.07900781918539444
150	0.06391048946685252
151	0.05117306040947876
152	0.040555251293216736
153	0.03180987693449062
154	0.02469232240303551
155	0.018968180958050418
156	0.014418981108059148
157	0.01084606812174962
158	0.008072811887438375
159	0.005945384336953657
160	0.0043323872126582365
161	0.0031236191509197452
162	0.0022282560414811237
163	0.0015726872713784279
164	0.0010982094704857011
165	0.0007587346187015731
166	0.0005186255200419202
167	0.0003507320082997595
168	0.00023466782113987794
169	0.00015534172544757105
170	0.00010173716858641328
171	6.592182241531763e-05
172	4.226087093466456e-05
173	2.680461022714372e-05
174	1.6820734035765366e-05
175	1.0443540674859273e-05
176	6.415363762061004e-06
177	3.899143068745181e-06
178	2.34474357944258e-06
179	1.3950958130099983e-06
180	8.212958563513928e-07
181	4.783951467964678e-07
182	2.7572124575694787e-07
183	1.5723708435102894e-07
184	8.872501846918368e-08
185	4.9539176021730466e-08
186	2.7369591679484958e-08
187	1.4962704330438804e-08
188	8.09430473390244e-09
189	4.332935120135966e-09
190	2.295215882990749e-09
191	1.203120659939276e-09
192	6.240863853859503e-10
193	3.2035810279684503e-10
194	1.6273756020883352e-10
195	8.181003282660752e-11
196	4.070029837476317e-11
197	2.003855676206181e-11
198	9.763794660867454e-12
199	4.708251855910273e-12
200	2.246958467949538e-12
201	1.0612803636394872e-12
202	4.961012288514552e-13
203	2.295201818265698e-13
204	1.0509622401950613e-13
205	4.762929966400854e-14
206	2.136423057762413e-14
207	9.484869385018623e-15
208	4.16784422289736e-15
209	1.81272757841994e-15
210	7.803678753851513e-16
211	3.3251922468554093e-16
212	1.4024563318310992e-16
213	5.854930455348485e-17
214	2.4194600007270286e-17
215	9.896551396866233e-18
216	4.007028072613853e-18
217	1.605972809349825e-18
218	6.3714083530443455e-19
219	2.502177970310161e-19
220	9.727257507411521e-20
221	3.743311365437117e-20
222	1.4259968948747878e-20
223	5.377519071136818e-21
224	2.007472740345793e-21
225	7.41865434656218e-22
226	2.714011991799884e-22
227	9.829078272006843e-23
228	3.523963383270229e-23
229	1.2507502412439296e-23
230	4.39474180805113e-24
231	1.52870095953293e-24
232	5.264302641274175e-25
233	1.7946961200585378e-25
234	6.057246997802696e-26
235	2.0239339602718468e-26
236	6.695089518046229e-27
237	2.1925909977841073e-27
238	7.108895565486445e-28
239	2.281875160878577e-28
240	7.251514594906689e-29
241	2.281468170102072e-29
242	7.10641524468812e-30
243	2.1914862288625674e-30
244	6.690834944071292e-31
245	2.022444370783824e-31
246	6.052415415380608e-32
247	1.7932374939838966e-32
248	5.260230528458192e-33
249	1.5276731971390835e-33
250	4.392538421945564e-34
251	1.250433796846247e-34
252	3.524247011526371e-35
253	9.834059670771125e-36
254	2.7168173441892105e-36
255	7.431034322981783e-37
256	2.0123305425083067e-37
257	5.395236372698832e-38
258	1.4321301891779026e-38
259	3.763700237406912e-39
260	9.792815497400833e-40
261	2.522664698375171e-40
262	6.43383869904173e-41
263	1.6245707664418059e-41
264	4.061289484743757e-42
265	1.0051826925168972e-42
266	2.4630916401692126e-43
267	5.975431798970793e-44
268	1.4351909571546724e-44
269	3.412715968801107e-45
270	8.034131198726639e-46
271	1.8725099954989347e-46
272	4.3206970912317586e-47
273	9.870196916539717e-48
274	2.232224514556109e-48
275	4.997900379817957e-49
276	1.1078283044372065e-49
277	2.431027088012683e-50
278	5.2812511888945606e-51
279	1.1358228596426615e-51
280	2.418288301607293e-52
281	5.0971337609605125e-53
282	1.0635578832198072e-53
283	2.1968980126862605e-54
284	4.492299532241827e-55
285	9.09355714433941e-56
286	1.8222219626945938e-56
287	3.614656980135384e-57
288	7.097853844493535e-58
289	1.3796751084057637e-58
290	2.6546785504289333e-59
291	5.056240943810148e-60
292	9.532778787851835e-61
293	1.7790259326708215e-61
294	3.2863285314015206e-62
295	6.008974820658227e-63
296	1.0875397007794036e-63
297	1.9482274155996828e-64
298	3.454445030932738e-65
299	6.062547869789989e-66
300	1.0530871871237976e-66
301	1.810504318876105e-67
302	3.0807365674838445e-68
303	5.188273175399944e-69
304	8.647642450179936e-70
305	1.4265020953623434e-70
306	2.328841408899068e-71
307	3.762643482067009e-72
308	6.016231676221028e-73
309	9.519778848417343e-74
310	1.4907070900020083e-74
311	2.310005810012964e-75
312	3.542265376837117e-76
313	5.37512009160796e-77
314	8.070973306048609e-78
315	1.199183745629847e-78
316	1.7630266345874847e-79
317	2.564698850214176e-80
318	3.691552922644459e-81
319	5.2573597965032343e-82
320	7.408028500591446e-83
321	1.032771393125846e-83
322	1.424499927024597e-84
323	1.9438699274102522e-85
324	2.6242678807937247e-86
325	3.5048930491293857e-87
326	4.630802421335734e-88
327	6.052595218046945e-89
328	7.825637187577117e-90
329	1.0008732236720598e-90
330	1.2662168061506625e-91
331	1.5845095066713616e-92
332	1.9612244516808264e-93
333	2.4010051476231446e-94
334	2.9072317672966394e-95
335	3.481562387795997e-96
336	4.1234773700050833e-97
337	4.8298612305674604e-98
338	5.5946605207270085e-99
339	6.408657499158043e-100
340	7.259397036470212e-101
341	8.131297779011693e-102
342	9.005968098786277e-103
343	9.862733221214588e-104
344	1.0679363118365948e-104
345	1.143297270917965e-105
346	1.2101048388899729e-106
347	1.2662539842751125e-107
348	1.309894533477485e-108
349	1.3395313731427435e-109
350	1.3541088402488394e-110
351	1.3530727101173584e-111
352	1.3364047419825076e-112
353	1.3046268123769412e-113
354	1.2587740609200558e-114
355	1.2003389510899786e-115
356	1.1311904567321406e-116
357	1.0534744879785773e-117
358	9.695029798604828e-119
359	8.816396653460649e-120
360	7.921904071879676e-121
361	7.033051199429028e-122
362	6.168968998477216e-123
363	5.34582176438913e-124
364	4.5764371637180945e-125
365	3.8701635946728076e-126
366	3.2329363856991892e-127
367	2.667520732582665e-128
368	2.1738902111489033e-129
369	1.7496954702906576e-130
370	1.3907780283815064e-131
371	1.0916882368027678e-132
372	8.461734137632607e-134
373	6.476107384069954e-135
374	4.8936860638835786e-136
375	3.6508881472319363e-137
376	2.688894341324481e-138
377	1.954940840487065e-139
378	1.4029736135829063e-140
379	9.937843331712105e-142
380	6.947550638259464e-143
381	4.7933352119752044e-144
382	3.2634679090220686e-145
383	2.1924246866533017e-146
384	1.4532538886405194e-147
385	9.503789174978347e-149
386	6.131361442989031e-150
387	3.9020021394532655e-151
388	2.449364752006568e-152
389	1.5164181627335974e-153
390	9.25864563868613e-155
391	5.574443988124763e-156
392	3.3093529888936386e-157
393	1.9370154431748603e-158
394	1.1177165605787244e-159
395	6.357672987110194e-161
396	3.5644372077315734e-162
397	1.9695521793818983e-163
398	1.0724677851736257e-164
399	5.754356703305631e-166
400	3.0420024869095345e-167
401	1.584258573303506e-168
402	8.127344292127687e-170
403	4.106564037098995e-171
404	2.0434593331873986e-172
405	1.0012897625692019e-173
406	4.8306727711722186e-175
407	2.2943303495035425e-176
408	1.0726298384625958e-177
409	4.9355225335865165e-179
410	2.234848493299041e-180
411	9.957162645631086e-182
412	4.364505650637019e-183
413	1.8818468513304766e-184
414	7.980304153503054e-186
415	3.3279368259722716e-187
416	1.3645326526008346e-188
417	5.500180941795843e-190
418	2.179130706592414e-191
419	8.484572432787161e-193
420	3.2459520853864514e-194
421	1.2199518178640124e-195
422	4.5035236572242775e-197
423	1.6326379442870694e-198
424	5.811270217789344e-200
425	2.0305308278530585e-201
426	6.963321080127958e-203
427	2.3431486284102846e-204
428	7.735088073829601e-206
429	2.5044660982333773e-207
430	7.951496511474066e-209
431	2.4749276689140595e-210
432	7.550031546584333e-212
433	2.256819161822275e-213
434	6.608332205488366e-215
435	1.895027523426734e-216
436	5.320409047069843e-218
437	1.4620200061389334e-219
438	3.931051737527434e-221
439	1.0338913128323028e-222
440	2.6589497478123917e-224
441	6.684478695751266e-226
442	1.6420806907678895e-227
443	3.9403275954049116e-229
444	9.23243002870948e-231
445	2.1114159191859556e-232
446	4.7111471143427177e-234
447	1.0251515053920742e-235
448	2.174519158921706e-237
449	4.494163285239487e-239
450	9.045493567063706e-241
451	1.772111385822589e-242
452	3.377474109913591e-244
453	6.258797672987743e-246
454	1.127018638182908e-247
455	1.970801657988138e-249
456	3.3445877058617477e-251
457	5.50466730924886e-253
458	8.779966298822228e-255
459	1.3561086380882374e-256
460	2.0266703012044247e-258
461	2.9280915379191423e-260
462	4.086033406585002e-262
463	5.5018955000078555e-264
464	7.141106729543685e-266
465	8.924428222297487e-268
466	1.0726103764061444e-269
467	1.2382197531832322e-271
468	1.3710496088427701e-273
469	1.4540090171049788e-275
470	1.474503431270552e-277
471	1.4273690609307757e-279
472	1.3164928358094902e-281
473	1.1545051797101726e-283
474	9.604708281671173e-286
475	7.561325428347614e-288
476	5.617383498780497e-290
477	3.926013156845923e-292
478	2.572451654230532e-294
479	1.574063721072486e-296
480	8.954557151362825e-299
481	4.711864138961333e-301
482	2.279777202177468e-303
483	1.0072056837709083e-305
484	4.0296514212934286e-308
485	1.44536351367356e-310
486	4.59043137953e-313
487	1.270746214e-315
488	3.003583e-318
489	5.894e-321
490	1e-323
491	0.0
492	0.0
493	0.0
