k	pvalue
0	0.9999999999443383
1	0.9999999999443383
2	0.9999999999443383
3	0.9999999999443383
4	0.9999999999443383
5	0.9999999999443383
6	0.9999999999443383
7	0.9999999999443383
8	0.9999999999443383
9	0.9999999999443383
10	0.9999999999443383
11	0.9999999999443383
12	0.9999999999443383
13	0.9999999999443383
14	0.9999999999443383
15	0.9999999999443383
16	0.9999999999443383
17	0.9999999999443383
18	0.9999999999443383
19	0.9999999999443383
20	0.9999999999443383
21	0.9999999999443383
22	0.9999999999443383
23	0.9999999999443382
24	0.999999999944338
25	0.9999999999443365
26	0.999999999944328
27	0.9999999999442805
28	0.9999999999440352
29	0.9999999999428482
30	0.9999999999374588
31	0.9999999999144498
32	0.999999999821897
33	0.9999999994704928
34	0.9999999982089727
35	0.9999999939200706
36	0.9999999800903229
37	0.9999999377347993
38	0.9999998143650685
39	0.9999994721874484
40	0.9999985673929369
41	0.9999962839699766
42	0.9999907782082903
43	0.9999780819553803
44	0.9999500553201417
45	0.9998907773942719
46	0.9997705476806403
47	0.999536513334747
48	0.9990989591687669
49	0.9983126590505724
50	0.9969535497171427
51	0.9946924404457052
52	0.991069438661319
53	0.98547492829097
54	0.9771446879293889
55	0.9651772931453484
56	0.9485805443590247
57	0.9263498538958853
58	0.8975754934386917
59	0.8615683210120997
60	0.8179867600539379
61	0.7669434060353383
62	0.7090694278731606
63	0.64551974188598
64	0.5779112613959012
65	0.5081985092674142
66	0.4385027587139563
67	0.3709197477617962
68	0.3073347348008326
69	0.24927143318808345
70	0.19779394835638667
71	0.15347026975756717
72	0.11639477284104296
73	0.08625802101391832
74	0.06244657984374509
75	0.044154112203136545
76	0.03048720865338354
77	0.020554003001941275
78	0.01352915445558462
79	0.008693935042269377
80	0.005454067043286664
81	0.0033402495843923297
82	0.0019970801168553032
83	0.0011656829398792358
84	0.0006642774059101881
85	0.0003695922422816132
86	0.00020078188448136532
87	0.00010650784194097202
88	5.517261768973417e-05
89	2.791143124265629e-05
90	1.3790825852091198e-05
91	6.6555267020299525e-06
92	3.1375726541165136e-06
93	1.4449744735773692e-06
94	6.501562758399078e-07
95	2.8582674959689355e-07
96	1.2278683488963418e-07
97	5.154667599056382e-08
98	2.114877540532583e-08
99	8.480877845403025e-09
100	3.3243150687015855e-09
101	1.2738064713894837e-09
102	4.771753592422346e-10
103	1.7476659816894768e-10
104	6.258589051234712e-11
105	2.191607673973133e-11
106	7.504942806924466e-12
107	2.5133847392091505e-12
108	8.232378695663635e-13
109	2.637382826921277e-13
110	8.264718337125543e-14
111	2.5334622771055897e-14
112	7.597236224883779e-15
113	2.2288136434447135e-15
114	6.397197790181071e-16
115	1.7964844244237914e-16
116	4.936206876093591e-17
117	1.3271402550308525e-17
118	3.491483611643639e-18
119	8.988512690475606e-19
120	2.264456680310143e-19
121	5.582786822273046e-20
122	1.346977055292783e-20
