k	pvalue
0	1.000000000126461
1	1.000000000126461
2	1.000000000126461
3	1.000000000126461
4	1.000000000126461
5	1.000000000126461
6	1.000000000126461
7	1.000000000126461
8	1.000000000126461
9	1.000000000126461
10	1.000000000126461
11	1.000000000126461
12	1.000000000126461
13	1.000000000126461
14	1.000000000126461
15	1.000000000126461
16	1.000000000126461
17	1.000000000126461
18	1.000000000126461
19	1.000000000126461
20	1.000000000126461
21	1.000000000126461
22	1.000000000126461
23	1.000000000126461
24	1.000000000126461
25	1.000000000126461
26	1.000000000126461
27	1.000000000126461
28	1.000000000126461
29	1.000000000126461
30	1.000000000126461
31	1.000000000126461
32	1.000000000126461
33	1.000000000126461
34	1.000000000126461
35	1.000000000126461
36	1.000000000126461
37	1.000000000126461
38	1.000000000126461
39	1.000000000126461
40	1.000000000126461
41	1.000000000126461
42	1.000000000126461
43	1.000000000126461
44	1.000000000126461
45	1.000000000126461
46	1.000000000126461
47	1.000000000126461
48	1.000000000126461
49	1.000000000126461
50	1.000000000126461
51	1.000000000126461
52	1.000000000126461
53	1.000000000126461
54	1.000000000126461
55	1.000000000126461
56	1.000000000126461
57	1.000000000126461
58	1.000000000126461
59	1.000000000126461
60	1.000000000126461
61	1.000000000126461
62	1.000000000126461
63	1.000000000126461
64	1.000000000126461
65	1.000000000126461
66	1.000000000126461
67	1.000000000126461
68	1.000000000126461
69	1.0000000001264608
70	1.0000000001264606
71	1.0000000001264597
72	1.000000000126456
73	1.0000000001264429
74	1.000000000126396
75	1.0000000001262361
76	1.000000000125707
77	1.0000000001240072
78	1.0000000001187113
79	1.0000000001027016
80	1.0000000000557274
81	0.9999999999219185
82	0.9999999995517707
83	0.999999998557183
84	0.9999999959606327
85	0.9999999893728159
86	0.9999999731255903
87	0.9999999341665204
88	0.9999998433164274
89	0.9999996372427878
90	0.9999991824748616
91	0.999998205878974
92	0.999996164693874
93	0.9999920115730428
94	0.9999837840096061
95	0.9999679113436524
96	0.9999380859851016
97	0.9998834911416943
98	0.9997861226166033
99	0.9996169011847315
100	0.9993302665078746
101	0.998857002457021
102	0.9980951994865422
103	0.9968995407100895
104	0.9950695175136891
105	0.992337721775476
106	0.9883599672242545
107	0.9827095561497246
108	0.9748783805463136
109	0.9642875578561785
110	0.950309795372589
111	0.9323045631284811
112	0.9096654553053211
113	0.8818770046132168
114	0.8485760020437264
115	0.8096104954340617
116	0.7650885533928765
117	0.7154089664475105
118	0.6612675062948633
119	0.6036351003886696
120	0.543707937716639
121	0.48283350073509496
122	0.42242009802101066
123	0.36383997212855634
124	0.3083369941213624
125	0.2569491571849906
126	0.21045372213748184
127	0.1693394254225293
128	0.13380629863923765
129	0.10379006259564587
130	0.07900532486498943
131	0.05900027838655204
132	0.04321535024910581
133	0.03103911745921573
134	0.02185644983662374
135	0.01508584457854318
136	0.010204889989682464
137	0.0067644385110491
138	0.0043932118280035504
139	0.0027951629587259683
140	0.0017420436521158216
141	0.0010633940146407143
142	0.0006357297258227279
143	0.0003721832256926977
144	0.00021335971689066894
145	0.00011975866509333245
146	6.581269711664644e-05
147	3.5407190980269124e-05
148	1.8647659125997617e-05
149	9.61349289599634e-06
150	4.851050987516562e-06
151	2.3958655106775826e-06
152	1.1580720035798088e-06
153	5.478099995975455e-07
154	2.5358313656444493e-07
155	1.1486333981678238e-07
156	5.090817826292686e-08
157	2.2075611539035324e-08
158	9.365491052724166e-09
159	3.8869948470256284e-09
160	1.578102793294996e-09
161	6.267092115700127e-10
162	2.434316524979375e-10
163	9.247790648782463e-11
164	3.435719530022161e-11
165	1.248199254853489e-11
166	4.434076962232152e-12
167	1.5400719516215624e-12
168	5.229514635158423e-13
169	1.7359096270868748e-13
170	5.632478786365729e-14
171	1.7862351836094913e-14
172	5.5360843719138245e-15
173	1.6766735518058375e-15
174	4.96170778020321e-16
175	1.4345116560368387e-16
176	4.0515274511079767e-17
177	1.117699370818286e-17
178	3.0114143576010816e-18
179	7.923208408434671e-19
180	2.0354496898189125e-19
181	5.104931373064771e-20
182	1.2497667143257551e-20
183	2.9861694276533054e-21
184	6.962751523311706e-22
185	1.5840187267709683e-22
186	3.515459333995813e-23
187	7.609793497591662e-24
188	1.6064105266604015e-24
189	3.3063893839497285e-25
190	6.634116449375e-26
191	1.2973539491823887e-26
192	2.4722449174783337e-27
193	4.58976017458402e-28
194	8.299620056068641e-29
195	1.4614924866031888e-29
196	2.5055414488264093e-30
197	4.18085919640191e-31
198	6.788540250331528e-32
