k	pvalue
0	1.0000000001665963
1	1.0000000001665963
2	1.0000000001665963
3	1.0000000001665963
4	1.0000000001665963
5	1.0000000001665963
6	1.0000000001665963
7	1.0000000001665963
8	1.0000000001665963
9	1.0000000001665963
10	1.0000000001665963
11	1.0000000001665963
12	1.0000000001665963
13	1.0000000001665963
14	1.0000000001665963
15	1.0000000001665963
16	1.0000000001665963
17	1.0000000001665963
18	1.0000000001665963
19	1.0000000001665963
20	1.0000000001665963
21	1.0000000001665963
22	1.0000000001665963
23	1.000000000166596
24	1.0000000001665952
25	1.0000000001665899
26	1.0000000001665574
27	1.000000000166381
28	1.00000000016548
29	1.0000000001611862
30	1.0000000001420193
31	1.0000000000617038
32	0.9999999997451228
33	0.9999999985690038
34	0.9999999944434687
35	0.9999999807566949
36	0.9999999377441398
37	0.9999998095107457
38	0.9999994463341918
39	0.9999984679523622
40	0.9999959577823196
41	0.9999898173035405
42	0.9999754796500678
43	0.9999434923521142
44	0.999875239005846
45	0.9997358210507963
46	0.9994629590633185
47	0.9989508536921504
48	0.9980284681767703
49	0.9964328424215746
50	0.9937798967741184
51	0.9895375760316745
52	0.9830086429498667
53	0.973332155882561
54	0.9595126832663471
55	0.9404837752846305
56	0.9152068120603654
57	0.8827986256349005
58	0.842672774503197
59	0.7946722904558077
60	0.7391684995220483
61	0.6771028463140049
62	0.6099568378709133
63	0.5396478712422202
64	0.46836296118972154
65	0.3983547133010668
66	0.33173116428980765
67	0.2702715681913074
68	0.21529395153661826
69	0.1675891632458405
70	0.127423178678898
71	0.0945977115060442
72	0.06855114407541521
73	0.0484785391789206
74	0.03345082493005684
75	0.02251790262766388
76	0.014786683704794301
77	0.009471252674186012
78	0.005917275990238318
79	0.003605852834488565
80	0.002143227950873807
81	0.0012425457430756419
82	0.0007026764055995364
83	0.00038763007351385383
84	0.00020860406736821114
85	0.0001095213093440282
86	5.610156086365173e-05
87	2.804036596725507e-05
88	1.3675976629574916e-05
89	6.50929047438046e-06
90	3.0237445245019078e-06
91	1.3709723980453812e-06
92	6.067653875516697e-07
93	2.621547305484089e-07
94	1.1057974996661963e-07
95	4.554182084660366e-08
96	1.8314601727739842e-08
97	7.192364767516024e-09
98	2.7584633237966956e-09
99	1.0332784369787545e-09
100	3.78054712334944e-10
101	1.351172003944541e-10
102	4.7175430261569254e-11
103	1.6091623156777525e-11
104	5.362792469669048e-12
105	1.7462907031177407e-12
106	5.5565162437959e-13
107	1.7277225516148317e-13
108	5.2499409403642924e-14
109	1.5590721307916622e-14
110	4.525123778744709e-15
111	1.2837101336398165e-15
112	3.559542602068904e-16
113	9.647821804805863e-17
114	2.556159738763719e-17
115	6.620408240357279e-18
116	1.676226370846979e-18
117	4.1489992589929694e-19
118	1.0039847521039664e-19
119	2.375159772050778e-20
120	5.493485278020234e-21
121	1.242220177896854e-21
122	2.7463083733814267e-22
123	5.936128928178824e-23
124	1.2544761351046371e-23
125	2.591951315294466e-24
126	5.235949824934235e-25
127	1.0341074979438953e-25
128	1.9967944890291036e-26
129	3.7695797185706166e-27
130	6.9572448191280395e-28
131	1.2553297823083097e-28
132	2.2143407453663982e-29
133	3.818435766202177e-30
134	6.436766353418601e-31
135	1.0606606481367075e-31
136	1.7084225045044815e-32
137	2.689715184579421e-33
138	4.138947778927787e-34
139	6.224795216119243e-35
140	9.149320460935583e-36
141	1.3141857974521172e-36
142	1.8446020080317234e-37
143	2.529872677863747e-38
144	3.3901201775254274e-39
145	4.43833989317616e-40
146	5.676515833297869e-41
147	7.091921999622354e-42
148	8.654260396626236e-43
149	1.0314331702455665e-43
150	1.2004847353941515e-44
151	1.3643755219823861e-45
152	1.5140082085897092e-46
153	1.6401849549294378e-47
154	1.734518152863665e-48
155	1.7903391244244233e-49
156	1.8034702158361672e-50
157	1.7727373503809563e-51
158	1.700136428093279e-52
159	1.590621800395714e-53
160	1.4515474465324317e-54
161	1.291848340073301e-55
162	1.1210889017049032e-56
163	9.485196890266946e-58
164	7.8227093564214585e-59
165	6.287767697493727e-60
166	4.924761003577637e-61
167	3.7578639759723552e-62
168	2.793050766427623e-63
169	2.0216678800564024e-64
170	1.4247605389809602e-65
171	9.774157028369174e-67
172	6.5256329991555805e-68
173	4.239049606164361e-69
174	2.6786094917528028e-70
175	1.6460143342264026e-71
176	9.833879882690706e-73
177	5.710344816803139e-74
178	3.221959307072047e-75
179	1.765903610447239e-76
180	9.398675197413096e-78
181	4.855977949640323e-79
182	2.434718852980081e-80
183	1.1842085106497472e-81
184	5.585385762614199e-83
185	2.55361239571684e-84
186	1.131246112657648e-85
187	4.85372204607392e-87
188	2.0161139447221935e-88
189	8.103545046767116e-90
190	3.150230922086216e-91
191	1.1838429072355454e-92
192	4.2982905044011924e-94
193	1.506957292517911e-95
194	5.098589228609986e-97
195	1.663678144729718e-98
196	5.232025961165627e-100
197	1.584697493829697e-101
198	4.619292893507906e-103
199	1.2948355282126958e-104
200	3.487384765092093e-106
201	9.016631920534553e-108
202	2.235814590961821e-109
203	5.311707488204216e-111
204	1.2077269344654567e-112
205	2.6250346770587463e-114
206	5.447420802723552e-116
207	1.077835468575331e-117
208	2.0304346627798636e-119
209	3.6359460641324685e-121
210	6.178675606564154e-123
211	9.94519972187347e-125
212	1.5131637509125914e-126
213	2.1713965995853454e-128
214	2.931558252163239e-130
215	3.713400753935937e-132
216	4.3997605263058885e-134
217	4.859340662301392e-136
218	4.9834430648371133e-138
219	4.724583925574453e-140
220	4.119748199225121e-142
221	3.284626519986725e-144
222	2.3779115747560023e-146
223	1.5502734191270164e-148
224	9.010971935331177e-151
225	4.6121490832510427e-153
226	2.0463345831405536e-155
227	7.709911451212094e-158
228	2.398279523415198e-160
229	5.91305321879259e-163
230	1.083351316601856e-165
231	1.311090114533949e-168
232	7.860956860187031e-172
