k	pvalue
0	0.9999999999513837
1	0.9999999999513837
2	0.9999999999513837
3	0.9999999999513837
4	0.9999999999513837
5	0.9999999999513837
6	0.9999999999513837
7	0.9999999999513837
8	0.9999999999513837
9	0.9999999999513837
10	0.9999999999513837
11	0.9999999999513837
12	0.9999999999513837
13	0.9999999999513837
14	0.9999999999513837
15	0.9999999999513837
16	0.9999999999513837
17	0.9999999999513837
18	0.9999999999513837
19	0.9999999999513837
20	0.9999999999513837
21	0.9999999999513836
22	0.9999999999513829
23	0.9999999999513781
24	0.9999999999513475
25	0.9999999999511677
26	0.9999999999501917
27	0.999999999945271
28	0.999999999922161
29	0.9999999998208103
30	0.9999999994047308
31	0.9999999978021525
32	0.9999999919991043
33	0.9999999722055901
34	0.9999999084970815
35	0.999999714674016
36	0.9999991564284428
37	0.999997632051951
38	0.9999936801837108
39	0.9999839411408571
40	0.9999610977126446
41	0.9999100431028961
42	0.9998011984428785
43	0.9995796227771871
44	0.9991485005042613
45	0.9983460076606068
46	0.9969157220495201
47	0.9944728258627308
48	0.9904712587582226
49	0.9841801976803811
50	0.9746807800846528
51	0.9608945468814603
52	0.941652435970725
53	0.9158067191375371
54	0.8823786153602163
55	0.840723379164621
56	0.7906854757337113
57	0.7327122687112327
58	0.667897792002008
59	0.5979390281174848
60	0.5250036474973735
61	0.45152636262071205
62	0.3799661087586531
63	0.3125641276044681
64	0.2511417257513838
65	0.19696669532683803
66	0.15070212498972263
67	0.11243482447619134
68	0.08176689917624926
69	0.05794588358487816
70	0.04000712431577889
71	0.0269058704410038
72	0.017623709853919343
73	0.011242191727294834
74	0.006983694878888168
75	0.0042246382282513885
76	0.0024886471268513732
77	0.0014276265863758608
78	0.0007975509472643479
79	0.0004339258496442431
80	0.00022993834956778822
81	0.00011867943647846453
82	5.9667824361042167e-05
83	2.9224059140376705e-05
84	1.3944833936233237e-05
85	6.483312377739546e-06
86	2.9371810315967562e-06
87	1.2967454839622643e-06
88	5.579683435253186e-07
89	2.3401078301680902e-07
90	9.566968732404749e-08
91	3.8129884225805174e-08
92	1.4816627955950644e-08
93	5.613912479063597e-09
94	2.074212652700999e-09
95	7.473957129032406e-10
96	2.626607145929262e-10
97	9.003751310970575e-11
98	3.0107274716408575e-11
99	9.821407848941386e-12
100	3.1258212397777945e-12
101	9.70678273918468e-13
102	2.9412968679102357e-13
103	8.6973165178156e-14
104	2.509827637075281e-14
105	7.068754644251155e-15
106	1.943163343711609e-15
107	5.213974591361958e-16
108	1.3656717062194197e-16
109	3.491924900735396e-17
110	8.71659387963783e-18
111	2.1242859510292162e-18
112	5.054556525039764e-19
113	1.1742902864483877e-19
114	2.663835263230897e-20
115	5.90057902376025e-21
116	1.2762974033353354e-21
117	2.6958297654491516e-22
118	5.560686597831737e-23
119	1.1201353703498255e-23
120	2.203576874221684e-24
121	4.233598462712341e-25
122	7.943679962451215e-26
123	1.4556935629864087e-26
124	2.6053048080521875e-27
125	4.553971945982103e-28
126	7.774400721653384e-29
127	1.2962489929487248e-29
128	2.1108321225611943e-30
129	3.3570680792833476e-31
130	5.214394016634213e-32
131	7.910053726160973e-33
132	1.1718719221638362e-33
133	1.6955000037437486e-34
134	2.395646469671394e-35
135	3.3055508409502484e-36
136	4.4539828432397684e-37
137	5.860338842329914e-38
138	7.529233764090104e-39
139	9.445295042453268e-40
140	1.1569064003066508e-40
141	1.3834979530113765e-41
142	1.6152302768804134e-42
143	1.8409515994686128e-43
144	2.0482217510686833e-44
145	2.224391445004156e-45
146	2.3578506938902677e-46
147	2.4392799029050884e-47
148	2.462718674925222e-48
149	2.4262832586432618e-49
150	2.3324133372818236e-50
151	2.187603793266821e-51
152	2.0016620881320047e-52
153	1.7866091181640714e-53
154	1.5553947842059145e-54
155	1.3206188323638085e-55
156	1.0934307872472393e-56
157	8.827362876156771e-58
158	6.947732169966291e-59
159	5.330545533857195e-60
160	3.9861930156019816e-61
161	2.9049726363434604e-62
162	2.0628094793945557e-63
163	1.4270627273018138e-64
164	9.616665990593414e-66
165	6.311479956387624e-67
166	4.033552293987381e-68
167	2.5096629324477314e-69
168	1.5199609010969122e-70
169	8.958873499920264e-72
170	5.137944745553329e-73
171	2.866472844473513e-74
172	1.5553640792090396e-75
173	8.206189222440396e-77
174	4.2089268930695113e-78
175	2.0980332572457968e-79
176	1.0161330761111477e-80
177	4.7804336155322956e-82
178	2.183929598856626e-83
179	9.68579835664766e-85
180	4.168913087942951e-86
181	1.740845171381803e-87
182	7.050182468053565e-89
183	2.768151756264483e-90
184	1.0533391297214062e-91
185	3.883000118197795e-93
186	1.3861547347174938e-94
187	4.789796927809948e-96
188	1.6013663427587246e-97
189	5.177620590106915e-99
190	1.6181671222739782e-100
191	4.885928649296073e-102
192	1.4245147929208587e-103
193	4.0080773460139266e-105
194	1.0876633132918665e-106
195	2.8449055717843997e-108
196	7.16748176536618e-110
197	1.7381388827305423e-111
198	4.054126276744333e-113
199	9.087851632763716e-115
200	1.9561912360802846e-116
201	4.039794305015748e-118
202	7.996342224794546e-120
203	1.5155353411577275e-121
204	2.7473310691985677e-123
205	4.757949764021091e-125
206	7.862282825183477e-127
207	1.2379740503387611e-128
208	1.8547089316478173e-130
209	2.639708889326333e-132
210	3.562934103122112e-134
211	4.552178595639111e-136
212	5.49417217509738e-138
213	6.250009699017853e-140
214	6.684629072437387e-142
215	6.703432034436836e-144
216	6.283586762099412e-146
217	5.486720501624069e-148
218	4.4455212545840006e-150
219	3.327455193513407e-152
220	2.2891245729702053e-154
221	1.4388857441714767e-156
222	8.206646884205868e-159
223	4.212043814439412e-161
224	1.925981419690221e-163
225	7.749210583505112e-166
