k	pvalue
0	1.000000000051993
1	1.000000000051993
2	1.000000000051993
3	1.000000000051993
4	1.000000000051993
5	1.000000000051993
6	1.000000000051993
7	1.000000000051993
8	1.000000000051993
9	1.000000000051993
10	1.000000000051993
11	1.000000000051993
12	1.000000000051993
13	1.000000000051993
14	1.000000000051993
15	1.000000000051993
16	1.000000000051993
17	1.000000000051993
18	1.000000000051993
19	1.000000000051993
20	1.000000000051993
21	1.000000000051993
22	1.000000000051993
23	1.000000000051993
24	1.000000000051993
25	1.000000000051993
26	1.000000000051993
27	1.000000000051993
28	1.000000000051993
29	1.000000000051993
30	1.000000000051993
31	1.000000000051993
32	1.000000000051993
33	1.000000000051993
34	1.000000000051993
35	1.000000000051993
36	1.000000000051993
37	1.000000000051993
38	1.000000000051993
39	1.000000000051993
40	1.000000000051993
41	1.000000000051993
42	1.000000000051993
43	1.000000000051993
44	1.000000000051993
45	1.000000000051993
46	1.000000000051993
47	1.000000000051993
48	1.0000000000519926
49	1.000000000051991
50	1.0000000000519842
51	1.000000000051953
52	1.0000000000518234
53	1.0000000000513032
54	1.0000000000493066
55	1.0000000000419622
56	1.0000000000160545
57	0.9999999999283559
58	0.9999999996432943
59	0.9999999987529914
60	0.9999999960796742
61	0.9999999883577331
62	0.9999999668890749
63	0.9999999094092776
64	0.9999997611309616
65	0.9999993924051171
66	0.9999985081122387
67	0.9999964619008962
68	0.9999918914995124
69	0.9999820335128466
70	0.9999614923102597
71	0.9999201271702329
72	0.9998395939299194
73	0.9996879576821991
74	0.9994117297716074
75	0.9989247478315518
76	0.9980936008184965
77	0.9967198862061328
78	0.9945205171867697
79	0.9911085307448858
80	0.9859782110729433
81	0.9784995193547165
82	0.9679273765800931
83	0.9534308209184971
84	0.9341451139863587
85	0.9092464443062447
86	0.8780443297187305
87	0.8400819581730163
88	0.7952306650605414
89	0.7437627329602512
90	0.6863876436923867
91	0.6242411236413616
92	0.5588232970554948
93	0.4918907102379546
94	0.425315120876436
95	0.3609279281707683
96	0.3003715785131805
97	0.24497768801379444
98	0.1956864254897922
99	0.15301417561691047
100	0.1170683818150075
101	0.08760145768298579
102	0.06409101192062379
103	0.045831912999125896
104	0.03202675702515592
105	0.0218643658360388
106	0.014580024132197647
107	0.009495271393545198
108	0.006038441813825366
109	0.0037493860650532644
110	0.0022728470260269585
111	0.0013449883916880718
112	0.0007769163106300897
113	0.00043803737055192054
114	0.00024105003602955334
115	0.00012946240365849105
116	6.785857777460714e-05
117	3.471179401755769e-05
118	1.7328029255398784e-05
119	8.441338183675697e-06
120	4.01286872218071e-06
121	1.8615412342744583e-06
122	8.426703695341501e-07
123	3.722236703680814e-07
124	1.6043741279220036e-07
125	6.747720485916549e-08
126	2.7691895339514063e-08
127	1.1088855146343045e-08
128	4.3326458325576985e-09
129	1.651755544370974e-09
130	6.144091091095107e-10
131	2.2298796607713402e-10
132	7.896035276629137e-11
133	2.727921303734518e-11
134	9.194754089603526e-12
135	3.023593910824222e-12
136	9.69997148968925e-13
137	3.0357687401946475e-13
138	9.268397462329952e-14
139	2.7603473160862862e-14
140	8.0191828583113e-15
141	2.27241035992208e-15
142	6.280805116253855e-16
143	1.6931525878399224e-16
144	4.451516753311389e-17
145	1.1413754216207322e-17
146	2.8538659099558274e-18
147	6.958210288618358e-19
148	1.6542199605193976e-19
149	3.834350425595124e-20
150	8.664880431356217e-21
151	1.908856085891298e-21
152	4.0991084499260445e-22
153	8.579759321083444e-23
154	1.750218119245117e-23
155	3.479368956726131e-24
156	6.73996734393422e-25
157	1.2720954052117268e-25
158	2.3390499217149535e-26
159	4.189558050775436e-27
160	7.308940576943444e-28
161	1.2417787524501516e-28
162	2.0543813936025097e-29
163	3.3090685232431824e-30
164	5.1886726406222525e-31
165	7.918951463688521e-32
166	1.1761752594942195e-32
167	1.6998016643652005e-33
168	2.389857115094836e-34
169	3.2682502692580187e-35
170	4.3465732537512835e-36
171	5.620590617255667e-37
172	7.065309597223772e-38
173	8.631806742906071e-39
174	1.0246987624197257e-39
175	1.1817156214163234e-40
176	1.3235660012024972e-41
177	1.4394042768263835e-42
178	1.5195258213381938e-43
179	1.55668100361152e-44
180	1.5471408343634402e-45
181	1.4913005699236532e-46
182	1.393688524269445e-47
183	1.2623647806336756e-48
184	1.1078193372317341e-49
185	9.41579006838106e-51
186	7.747814705413031e-52
187	6.1696248987655985e-53
188	4.7523546685265214e-54
189	3.539430588062519e-55
190	2.547570216090478e-56
191	1.7712097394754154e-57
192	1.1888747524785327e-58
193	7.699867355430249e-60
194	4.809021927797675e-61
195	2.8945934901188447e-62
196	1.677996747889811e-63
197	9.361942614700778e-65
198	5.023340354572594e-66
