k	pvalue
0	0.9999999994886282
1	0.9999999348076148
2	0.9999987395078658
3	0.9999879111267969
4	0.9999237030774899
5	0.9996429767152191
6	0.998676452402853
7	0.9959436280609263
8	0.9894095105836578
9	0.9759094401841267
10	0.9514011025412272
11	0.9117818956355337
12	0.8541259832125482
13	0.7779043839732255
14	0.6856555698449845
15	0.5827647333314916
16	0.47639043252353
17	0.3739319581437878
18	0.2815757311696736
19	0.2033522173492106
20	0.1408739928982937
21	0.09366174346508707
22	0.059808733315776935
23	0.03671348984031886
24	0.021685725352930608
25	0.012338429358125883
26	0.006769272386840995
27	0.003584899945491858
28	0.0018344799289310364
29	0.0009079961651956538
30	0.000435118413899827
31	0.0002020605374227972
32	9.100893156523757e-05
33	3.9789819510103334e-05
34	1.6899790015608198e-05
35	6.977939266274438e-06
36	2.802879621333654e-06
37	1.0959438537139837e-06
38	4.173833770869467e-07
39	1.5491141549580377e-07
40	5.60601916951579e-08
41	1.9790376051413975e-08
42	6.8182388556375836e-09
43	2.2934294179687326e-09
44	7.534539614382976e-10
45	2.4184503779627683e-10
46	7.586934689932165e-11
47	2.326876125526501e-11
48	6.9787432614729835e-12
49	2.04733291428454e-12
50	5.876366773367201e-13
51	1.6505651140359538e-13
52	4.537815078639759e-14
53	1.2213263427090785e-14
54	3.2185614760801053e-15
55	8.306265375703914e-16
56	2.0995552504933936e-16
57	5.1985855492709144e-17
58	1.2610549025038306e-17
59	2.997258951716312e-18
60	6.980763792706669e-19
61	1.593359080898589e-19
62	3.564487132425384e-20
63	7.816116703390744e-21
64	1.6800842989617565e-21
65	3.5403843320892745e-22
66	7.314426745093005e-23
67	1.481665536908377e-23
68	2.9429839975817454e-24
69	5.732180275383898e-25
70	1.09489146243096e-25
71	2.050999111405747e-26
72	3.76812981968935e-27
73	6.790066791804125e-28
74	1.2001373697401363e-28
75	2.080734517840717e-29
76	3.5387548224058716e-30
77	5.9040619917944245e-31
78	9.663530106908291e-32
79	1.551751937449569e-32
80	2.444707168525233e-33
81	3.7788986663619147e-34
82	5.731293193087866e-35
83	8.529104776420251e-36
84	1.2454649520336252e-36
85	1.7846371355028477e-37
86	2.5094070986975774e-38
