k	pvalue
0	1.000000000113469
1	1.000000000113469
2	1.000000000113469
3	1.000000000113469
4	1.000000000113469
5	1.000000000113469
6	1.000000000113469
7	1.000000000113469
8	1.000000000113469
9	1.000000000113469
10	1.000000000113469
11	1.000000000113469
12	1.000000000113469
13	1.000000000113469
14	1.000000000113469
15	1.000000000113469
16	1.000000000113469
17	1.000000000113469
18	1.000000000113469
19	1.000000000113469
20	1.000000000113469
21	1.000000000113469
22	1.000000000113469
23	1.000000000113469
24	1.000000000113469
25	1.000000000113469
26	1.000000000113469
27	1.000000000113469
28	1.000000000113469
29	1.000000000113469
30	1.000000000113469
31	1.000000000113469
32	1.000000000113469
33	1.000000000113469
34	1.000000000113469
35	1.000000000113469
36	1.000000000113469
37	1.000000000113469
38	1.000000000113469
39	1.000000000113469
40	1.000000000113469
41	1.000000000113469
42	1.000000000113469
43	1.000000000113469
44	1.000000000113469
45	1.000000000113469
46	1.000000000113469
47	1.000000000113469
48	1.000000000113469
49	1.000000000113469
50	1.000000000113469
51	1.000000000113469
52	1.000000000113469
53	1.000000000113469
54	1.000000000113469
55	1.000000000113469
56	1.000000000113469
57	1.000000000113469
58	1.000000000113469
59	1.0000000001134688
60	1.0000000001134688
61	1.0000000001134688
62	1.0000000001134681
63	1.0000000001134657
64	1.0000000001134564
65	1.0000000001134202
66	1.0000000001132872
67	1.0000000001128155
68	1.0000000001111984
69	1.0000000001058418
70	1.0000000000886897
71	1.0000000000355804
72	0.9999999998764998
73	0.9999999994153768
74	0.999999998121414
75	0.9999999946051712
76	0.9999999853490263
77	0.9999999617381279
78	0.9999999033589186
79	0.9999997634018212
80	0.9999994379804754
81	0.9999987039218569
82	0.9999970971128442
83	0.9999936831564431
84	0.9999866407745023
85	0.9999725331715644
86	0.9999450820766091
87	0.9998931857802756
88	0.9997978452430968
89	0.9996276001541871
90	0.9993320605834045
91	0.9988331919960403
92	0.9980142204357929
93	0.9967064135384451
94	0.9946745806826597
95	0.9916028948709227
96	0.9870834766185709
97	0.9806109280010842
98	0.9715864317881535
99	0.9593348811767268
100	0.943137566877975
101	0.922281129855622
102	0.8961208960817432
103	0.8641536857328613
104	0.8260922882933179
105	0.781931692104984
106	0.7319964926577016
107	0.6769601043678235
108	0.6178295230496538
109	0.5558940447922569
110	0.49264175278480393
111	0.42965270316794796
112	0.368481535253849
113	0.310543912256315
114	0.25702042713216394
115	0.20878857703564255
116	0.16638878648801508
117	0.1300252082675921
118	0.09959717192222262
119	0.07475352088863688
120	0.05496016951250317
121	0.039571098735245815
122	0.02789440646818972
123	0.019247408009457675
124	0.012997533650974839
125	0.008588348648611093
126	0.0055520409292889724
127	0.003511000995019699
128	0.0021716579138944024
129	0.0013136689738056611
130	0.0007770889672335594
131	0.0004494751623575228
132	0.00025418727520296747
133	0.00014053376618119716
134	7.595460997001411e-05
135	4.0127653074050924e-05
136	2.0721471688118276e-05
137	1.0458197405984046e-05
138	5.1585248869560974e-06
139	2.486568102499227e-06
140	1.1712656248929205e-06
141	5.390945332661569e-07
142	2.4243942834538455e-07
143	1.0652327942248305e-07
144	4.572593846047737e-08
145	1.9174806513841813e-08
146	7.854571598893451e-09
147	3.142746705593907e-09
148	1.2281829236843063e-09
149	4.687638129946035e-10
150	1.747237815824052e-10
151	6.359535280215528e-11
152	2.260172043088452e-11
153	7.842715654504702e-12
154	2.6568379352745992e-12
155	8.786191117194683e-13
156	2.8361885339329854e-13
157	8.935703229950032e-14
158	2.7475161016084814e-14
159	8.243783756224223e-15
160	2.413475773688419e-15
161	6.893544824496262e-16
162	1.9207768789235802e-16
163	5.220296895687369e-17
164	1.3837086351633011e-17
165	3.576599008678035e-18
166	9.013940752863904e-19
167	2.214717299281411e-19
168	5.3041874804943763e-20
169	1.2380883384480769e-20
170	2.8161068708770767e-21
171	6.240811847509295e-22
172	1.3472689587780175e-22
173	2.8327778846595374e-23
174	5.800111103667308e-24
175	1.1562264867290552e-24
176	2.243603440537502e-25
177	4.2369760077494735e-26
178	7.785365066947171e-27
179	1.3916095505369612e-27
180	2.419187152079826e-28
181	4.08911214865915e-29
182	6.718701070903692e-30
183	1.0728099604866192e-30
184	1.664258674677859e-31
185	2.5075722556695133e-32
186	3.668504857159094e-33
187	5.209430514896294e-34
188	7.178160136054101e-35
189	9.594169606977381e-36
190	1.2434135756020952e-36
191	1.561970992673563e-37
192	1.901107932563083e-38
193	2.2409695969812313e-39
194	2.557234521112995e-40
195	2.823651446106328e-41
196	3.015420947433507e-42
197	3.112868082500984e-43
198	3.104683804489218e-44
199	2.990015777425622e-45
200	2.7788891814507997e-46
201	2.4907976532369175e-47
202	2.1517284729341782e-48
203	1.7902507336021552e-49
204	1.433491298750694e-50
205	1.1037959724187677e-51
206	8.166414007711107e-53
207	5.800103453265988e-54
208	3.950837537467603e-55
209	2.5784038317171518e-56
210	1.6104579373225892e-57
211	9.615651968288242e-59
212	5.481449107699608e-60
213	2.979296072249215e-61
214	1.5417036642716518e-62
215	7.583535564945842e-64
216	3.5398213036280065e-65
217	1.5650118653206814e-66
218	6.540212249868465e-68
219	2.577670059311633e-69
220	9.557539368472567e-71
221	3.3246994073413183e-72
222	1.08171410469627e-73
223	3.2804218397934974e-75
224	9.236612022295403e-77
225	2.4040050631657927e-78
226	5.754194065424038e-80
227	1.2591886105112438e-81
228	2.501703244731352e-83
229	4.4753120343968365e-85
230	7.136683002588873e-87
231	1.0020001188917743e-88
232	1.2192862614661731e-90
233	1.2596877495247889e-92
234	1.0742677949988334e-94
235	7.259945805764728e-97
236	3.6450552954186225e-99
237	1.2085919486014805e-101
238	1.9848549617623073e-104
