k	pvalue
0	0.9999999998171982
1	0.9999999998171982
2	0.9999999998171982
3	0.9999999998171982
4	0.9999999998171982
5	0.9999999998171982
6	0.9999999998171982
7	0.9999999998171982
8	0.9999999998171982
9	0.9999999998171982
10	0.9999999998171981
11	0.9999999998171979
12	0.9999999998171966
13	0.9999999998171889
14	0.9999999998171503
15	0.9999999998169684
16	0.9999999998161726
17	0.9999999998129205
18	0.9999999998004543
19	0.9999999997554714
20	0.9999999996021945
21	0.999999999107587
22	0.9999999975922148
23	0.9999999931737689
24	0.9999999808869318
25	0.9999999482369989
26	0.9999998651793747
27	0.9999996625720499
28	0.9999991879156077
29	0.9999981184300398
30	0.9999957977140198
31	0.9999909418938331
32	0.9999811333567928
33	0.9999619853657176
34	0.9999258221148443
35	0.9998596828965577
36	0.999742437324539
37	0.9995408067231123
38	0.9992041432798607
39	0.9986579408896571
40	0.997796250902524
41	0.996473450349188
42	0.9944961387144917
43	0.9916162785082577
44	0.9875269801783711
45	0.9818624853754816
46	0.9742038470128902
47	0.9640914821107321
48	0.9510451647700158
49	0.934591165803082
50	0.9142952251529746
51	0.8897990068192421
52	0.860856807052948
53	0.8273687371505914
54	0.7894065175000161
55	0.7472284666113691
56	0.7012812268664329
57	0.6521871265913041
58	0.6007176508499947
59	0.5477550541996429
60	0.49424546961328103
61	0.44114776077705964
62	0.38938271403363106
63	0.33978694477469445
64	0.2930751634029541
65	0.2498133425016368
66	0.21040402764126195
67	0.17508372771809205
68	0.14393117431472283
69	0.11688437624567374
70	0.09376388102993322
71	0.07429949718651731
72	0.05815788821960648
73	0.04496884494597605
74	0.034348584901410927
75	0.025919023595083555
76	0.019322533214741398
77	0.014232192108574382
78	0.010357899199706875
79	0.007448970343306705
80	0.005293955724721452
81	0.0037184383442487013
82	0.0025815194572558144
83	0.001771594755966169
84	0.0012018996955744856
85	0.0008061733858758769
86	0.0005346717943997854
87	0.00035066091572028685
88	0.00022744256912414135
89	0.00014590954193529452
90	9.259052510821163e-05
91	5.8125096091731696e-05
