k	pvalue
0	0.9999999998007283
1	0.9999999998007283
2	0.9999999998007283
3	0.9999999998007283
4	0.9999999998007283
5	0.9999999998007283
6	0.9999999998007281
7	0.9999999998007266
8	0.9999999998007149
9	0.9999999998006345
10	0.9999999998001495
11	0.999999999797529
12	0.9999999997847098
13	0.9999999997274664
14	0.9999999994924652
15	0.9999999986001155
16	0.9999999954494855
17	0.9999999850587669
18	0.9999999529198442
19	0.9999998593556474
20	0.9999996021555823
21	0.9999989326314125
22	0.9999972779026272
23	0.9999933858237104
24	0.9999846546929844
25	0.9999659368687656
26	0.9999275192986161
27	0.9998519009247333
28	0.9997089367108625
29	0.9994489436540012
30	0.9989935158260889
31	0.9982241174782448
32	0.9969690343670071
33	0.9949899357831602
34	0.99197004263965
35	0.9875065553979301
36	0.9811103697233212
37	0.9722159950061612
38	0.9602038441665663
39	0.9444356502704913
40	0.9243018104868862
41	0.8992772465776733
42	0.8689803109048788
43	0.8332278054540355
44	0.7920787011029192
45	0.7458598615679586
46	0.6951689733517307
47	0.640852694648299
48	0.5839612983010768
49	0.5256842307284019
50	0.4672734951145245
51	0.4099631839427059
52	0.35489363963574455
53	0.30304766162879526
54	0.25520416652858063
55	0.21191215012916614
56	0.17348514939993542
57	0.14001406944748096
58	0.11139452262967002
59	0.08736387388948728
60	0.067542998668549
61	0.05147821769503715
62	0.0386797815550385
63	0.028654416413214322
64	0.02093060646990196
65	0.015076320620360944
66	0.010709691786853912
67	0.007503688171849589
68	0.005186085644365088
69	0.003536102204422219
70	0.0023789483264113095
71	0.0015793430570091311
72	0.0010347999183694312
73	0.0006692410942020588
74	0.0004272808300375643
75	0.00026934400029638876
76	0.00016765743146696902
77	0.00010306668109616511
78	6.258234805210117e-05
79	3.7538870620062045e-05
80	2.2246595403843e-05
81	1.3027334466096662e-05
82	7.538991140220962e-06
83	4.312130336850571e-06
84	2.4380694636428267e-06
85	1.3627921211601741e-06
86	7.531742791770574e-07
87	4.116193906918193e-07
88	2.224753757896958e-07
89	1.189335239255137e-07
90	6.289446128611955e-08
91	3.290447579961552e-08
92	1.7032555542045243e-08
93	8.72436516248609e-09
94	4.422451535538499e-09
95	2.218772244027454e-09
96	1.1018616332747346e-09
97	5.41688395480161e-10
98	2.6364693244395965e-10
99	1.2705401004141879e-10
100	6.062997704354952e-11
101	2.865232649009521e-11
102	1.3410504457882583e-11
103	6.217009778338083e-12
104	2.855005082229494e-12
105	1.2988471086232888e-12
106	5.854248269848643e-13
107	2.614457543393951e-13
108	1.156975223902327e-13
109	5.0737896530041676e-14
110	2.2051594761672863e-14
111	9.49902866272305e-15
112	4.055849741346565e-15
113	1.7166395402295578e-15
114	7.202801114756496e-16
115	2.9962537739486214e-16
116	1.2357760631918437e-16
117	5.0537469689374e-17
118	2.0494042338620223e-17
119	8.241560615583186e-18
120	3.2868935870050823e-18
121	1.3001164662396893e-18
122	5.100641298219066e-19
123	1.9848976626545698e-19
124	7.662078659748297e-20
125	2.934093952534995e-20
126	1.1146629753380535e-20
127	4.201244612547623e-21
128	1.5710837807609143e-21
129	5.829473495061113e-22
130	2.1462931510609955e-22
131	7.84149863747248e-23
132	2.843017486292116e-23
133	1.022939694584383e-23
134	3.6528320412464335e-24
135	1.294604771272581e-24
136	4.553975816626759e-25
137	1.590039763037521e-25
138	5.510693791792544e-26
139	1.8958433188159088e-26
140	6.474599035535914e-27
141	2.195096239722416e-27
142	7.388224197811595e-28
143	2.4688092098545963e-28
144	8.190505454736612e-29
145	2.6978881829697546e-29
146	8.823506787489942e-30
147	2.865339786520623e-30
148	9.239359937564145e-31
149	2.9583622554966767e-31
150	9.406261264621886e-32
151	2.9699634300718277e-32
152	9.312480383192624e-33
153	2.899822000981518e-33
154	8.967681706802084e-34
155	2.754246249904265e-34
156	8.401360905759595e-35
157	2.5452536500427926e-35
158	7.658734581881132e-36
159	2.2889546093220464e-36
160	6.794867125414562e-37
161	2.0035377593236155e-37
162	5.868076417539487e-38
163	1.7071995812825014e-38
164	4.933686298534034e-39
165	1.416333835179365e-39
166	4.039006213201375e-40
167	1.1442104613122055e-40
168	3.220084756904838e-41
169	9.002558954036812e-42
170	2.5003972452910525e-42
171	6.899272615575914e-43
172	1.8912788136334394e-43
173	5.150771522068842e-44
174	1.3936696216725383e-44
175	3.746488239435217e-45
176	1.000626301460603e-45
177	2.6552676520867905e-46
178	7.000664123314938e-47
179	1.83387729396787e-47
180	4.773168934119165e-48
181	1.2343948623418178e-48
182	3.171884089452988e-49
183	8.098440967098832e-50
184	2.0545245029433744e-50
185	5.179070046858186e-51
186	1.2972612570012528e-51
187	3.2288126890964047e-52
188	7.985505708733113e-53
189	1.9625037421538918e-53
190	4.79260111661231e-54
191	1.1630246707293703e-54
192	2.8045775818752217e-55
193	6.720642961693787e-56
194	1.6003791469943123e-56
195	3.787105589182066e-57
196	8.905700970996675e-58
197	2.0811749212723115e-58
198	4.8331734358490634e-59
199	1.11543164952751e-59
200	2.558254396490463e-60
201	5.8309323737861134e-61
202	1.3207756364649836e-61
203	2.9731721632953525e-62
204	6.651416805591196e-63
205	1.478817007535667e-63
206	3.267562399728132e-64
207	7.175389452611165e-65
208	1.5659651733696214e-65
209	3.396538942920536e-66
210	7.321697243773033e-67
211	1.5685932572863247e-67
212	3.3399119649035154e-68
213	7.067868072948999e-69
214	1.4865282985999715e-69
215	3.107361679445846e-70
216	6.455751551224886e-71
217	1.333032214259801e-71
218	2.7357457119547617e-72
219	5.5802598762016376e-73
220	1.1313033286444743e-73
221	2.279564757296135e-74
222	4.565362614265054e-75
223	9.087643955950282e-76
224	1.7979689111540828e-76
225	3.5356562213484566e-77
226	6.91061907614808e-78
227	1.3425331052262693e-78
228	2.592365283284841e-79
229	4.975451724960923e-80
230	9.4915231463423e-81
231	1.7997338808972288e-81
232	3.391966381598796e-82
233	6.354296790402941e-83
234	1.1831994862347074e-83
235	2.189902339040904e-84
236	4.028743016415455e-85
237	7.367058859777136e-86
238	1.33906034805238e-86
239	2.4192973258042995e-87
240	4.34473250590219e-88
241	7.755738001837008e-89
242	1.3761667486836286e-89
243	2.427215625130382e-90
244	4.2553621008719395e-91
245	7.415782960195766e-92
246	1.2846098909083128e-92
247	2.211977364637878e-93
248	3.7860525403393816e-94
249	6.441551471798771e-95
250	1.0894154490546611e-95
251	1.8314584447201378e-96
252	3.060570291342593e-97
253	5.084059533489375e-98
254	8.395045960926416e-99
255	1.3779735570467197e-99
256	2.2483565763008724e-100
257	3.64667542942466e-101
258	5.879464037122363e-102
259	9.42297702214903e-103
260	1.5012372277153706e-103
261	2.3775098451675882e-104
262	3.742898977261855e-105
263	5.857436918999433e-106
264	9.112169533450585e-107
265	1.409131470611104e-107
266	2.1661955411573393e-108
267	3.3102520438033577e-109
268	5.0285473372933553e-110
269	7.593515537366515e-111
270	1.139889758683698e-111
271	1.7009955347165976e-112
272	2.523274841604021e-113
273	3.720897300558572e-114
274	5.45447811597983e-115
275	7.948437150645747e-116
276	1.1514203623760619e-116
277	1.6580982437565368e-117
278	2.373620872128377e-118
279	3.3778293430314095e-119
280	4.7784803900285145e-120
281	6.7199823307323375e-121
282	9.394487949504471e-122
283	1.3055850541701147e-122
284	1.8037015865007438e-123
285	2.477148415196159e-124
286	3.3819526736662266e-125
287	4.589987377041992e-126
288	6.192759386277243e-127
289	8.305885265786706e-128
290	1.1074315339388296e-128
291	1.4678351554488665e-129
292	1.934048246003879e-130
293	2.5333027442257053e-131
294	3.2986541274357235e-132
295	4.26988782716479e-133
296	5.494475262898562e-134
297	7.028555823299432e-135
298	8.937912859362557e-136
299	1.1298902772616738e-136
300	1.4199286915729914e-137
301	1.773890672545865e-138
302	2.2030133853098308e-139
303	2.71980197328714e-140
304	3.338006381480525e-141
305	4.07255174276181e-142
306	4.939414178674349e-143
307	5.955434483847675e-144
308	7.138063313863039e-145
309	8.505033232122676e-146
310	1.0073955317319857e-146
311	1.186184098069189e-147
312	1.3884553142045381e-148
313	1.6156194870925274e-149
314	1.868844787212814e-150
315	2.1489877594543067e-151
316	2.4565226038771323e-152
317	2.7914717269382856e-153
318	3.15334039188989e-154
319	3.541058531638448e-155
320	3.952932901338125e-156
321	4.386612717977157e-157
322	4.839071742692721e-158
323	5.306609398693793e-159
324	5.78487298323219e-160
325	6.2689023363223636e-161
326	6.753197493319996e-162
327	7.231808905365634e-163
328	7.698448803149423e-164
329	8.146621255434384e-165
330	8.569767489434397e-166
331	8.961422152541931e-167
332	9.31537545931995e-168
333	9.625835633862215e-169
334	9.887585766002158e-170
335	1.0096129178480668e-170
336	1.0247817664083345e-171
337	1.0339957493574177e-172
338	1.0370888896658838e-173
339	1.0340035742906534e-174
340	1.0247923346965848e-175
341	1.009616363103744e-176
342	9.887408228447512e-178
343	9.625271433713904e-179
344	9.314226126698322e-180
345	8.959476857835988e-181
346	8.566815124647499e-182
347	8.142462457231477e-183
348	7.692907238382151e-184
349	7.22474120554137e-185
350	6.744501326992679e-186
351	6.258522239103538e-187
352	5.772803713775683e-188
353	5.292896744546711e-189
354	4.823810851403171e-190
355	4.3699441663360797e-191
356	3.935036830844545e-192
357	3.5221472651157974e-193
358	3.133650001076563e-194
359	2.7712530428149073e-195
360	2.4360321518881166e-196
361	2.128479064172813e-197
362	1.848560430499377e-198
363	1.5957842266751958e-199
364	1.3692704825513854e-200
365	1.1678234111104576e-201
366	9.900023495301969e-203
367	8.34189325232103e-204
368	6.986515015715827e-205
369	5.815972124331449e-206
370	4.812247381955463e-207
371	3.957633872293895e-208
372	3.235068119896961e-209
373	2.6283879657460693e-210
374	2.122519978281947e-211
375	1.7036030348805929e-212
376	1.3590559098976516e-213
377	1.077597346734573e-214
378	8.492272465401199e-216
379	6.651773609302575e-217
380	5.178393210394535e-218
381	4.006770593987045e-219
382	3.0812976726321617e-220
383	2.3551055088553796e-221
384	1.789049665715163e-222
385	1.3507267390944313e-223
386	1.0135458415586347e-224
387	7.558711921182563e-226
388	5.602454816668642e-227
389	4.126983645228829e-228
390	3.0214023766497497e-229
391	2.1983832593573503e-230
392	1.5896987577062292e-231
393	1.1424583604675068e-232
394	8.159763098451901e-234
395	5.791936909815803e-235
396	4.085795701735756e-236
397	2.864398552736522e-237
398	1.99568324417994e-238
399	1.381810562623456e-239
400	9.508269294306964e-241
401	6.5020127152430745e-242
402	4.418601243816083e-243
403	2.9840748450966175e-244
404	2.0027177157909795e-245
405	1.3357097203426195e-246
406	8.852866512951687e-248
407	5.830856612010405e-249
408	3.816405640560449e-250
409	2.482261282067392e-251
410	1.6043839188528544e-252
411	1.0304667105627118e-253
412	6.576903626264958e-255
413	4.1712651008586124e-256
414	2.6288743838520804e-257
415	1.6463588502262637e-258
416	1.0245393947043335e-259
417	6.335474527181373e-261
418	3.892895705603207e-262
419	2.3768747420946e-263
420	1.442037232390672e-264
421	8.693206895713774e-266
422	5.2073120510246675e-267
423	3.0993733052442257e-268
424	1.8329789946324845e-269
425	1.0771123147906796e-270
426	6.288990715591947e-272
427	3.6484962071276737e-273
428	2.103082550003377e-274
429	1.2044940967308166e-275
430	6.854178248696784e-277
431	3.8752959160201855e-278
432	2.176955075166982e-279
433	1.2150258345595095e-280
434	6.737663285584627e-282
435	3.7120780847516267e-283
436	2.0319131518472798e-284
437	1.1050186653978685e-285
438	5.97044474108291e-287
439	3.2048851959542806e-288
440	1.709161453126254e-289
441	9.055544733111905e-291
442	4.7665370590434e-292
443	2.4925521903151298e-293
444	1.2948945261466817e-294
445	6.68296669567344e-296
446	3.4264535605640424e-297
447	1.745247011783962e-298
448	8.83082478738733e-300
449	4.4388832335114824e-301
450	2.2165115631427232e-302
451	1.0994761472349951e-303
452	5.417723276722698e-305
453	2.6519091996093884e-306
454	1.2894570968990316e-307
455	6.2281220181347e-309
456	2.9881666340989e-310
457	1.4241163501073e-311
458	6.74177931097e-313
459	3.1702053145e-314
460	1.48074204e-315
461	6.8698287e-317
462	3.16579e-318
463	1.44905e-319
464	6.586e-321
465	2.96e-322
