k	pvalue
0	0.9999999996489817
1	0.7000625312204227
2	0.5776273113574952
3	0.4758506103934589
4	0.40913663383610327
5	0.356942160488347
6	0.31464156854821934
7	0.27065195122698044
8	0.2233196263276706
9	0.19573532764893328
10	0.15182178979739994
11	0.12148723836077348
12	0.10022913845604715
13	0.08454607998175079
14	0.07147609231778737
15	0.06151607105273588
16	0.051848047151744736
17	0.04229837916301765
18	0.035891839353497816
19	0.030632472639882436
20	0.026316333874751616
21	0.023077671645212045
22	0.020392467148471555
23	0.016740033750096504
24	0.014344306249239562
25	0.010750678487455203
26	0.008352423259176211
27	0.006381094106514359
28	0.005118826273947538
29	0.004097087178393439
30	0.003275149985821738
31	0.0026102030810130675
32	0.0019422905068037682
33	0.0014910486877384994
34	0.0010527164916447852
35	0.0007560323427991391
36	0.0005331279849293922
37	0.00038841576715489487
38	0.0002803348307447559
39	0.00020102530907095887
40	0.00014206099177552423
41	9.598937917915057e-05
42	6.395901055061689e-05
43	4.2927953748155e-05
44	2.820219424759894e-05
45	1.870428225081087e-05
46	1.2225062545483364e-05
47	7.933647105705206e-06
48	5.08007858082258e-06
49	3.220719211115233e-06
50	2.029478227617198e-06
51	1.2248241294570565e-06
52	7.433915693055035e-07
53	4.433531240152699e-07
54	2.6851167799873455e-07
55	1.5983906375496864e-07
56	9.450756671105633e-08
57	5.320433808589701e-08
58	2.962449601746252e-08
59	1.619700493367275e-08
60	8.938323833270233e-09
61	4.874961710144227e-09
62	2.632065919121296e-09
63	1.3786697527579116e-09
64	7.065945620000031e-10
65	3.569237774505199e-10
66	1.7753892513820483e-10
67	8.725077536207785e-11
68	4.203728930570849e-11
69	1.9919546407621856e-11
70	9.264764755414285e-12
71	4.239850553679112e-12
72	1.8890998890771107e-12
73	8.175872760075883e-13
74	3.406205765622019e-13
75	1.355073463735791e-13
76	5.072803789195368e-14
77	1.774529614918842e-14
78	5.743928053600161e-15
79	1.7537165068228277e-15
80	5.0931954551408975e-16
81	1.3056549196435267e-16
82	2.741032736853825e-17
83	4.243109904609517e-18
84	5.027219013738304e-19
85	1.77228975272662e-20
