k	pvalue
0	1.0000000000761282
1	0.9999999722919165
2	0.9999991628492824
3	0.9999883574191032
4	0.9998997349704478
5	0.9993950919050709
6	0.9972595910308953
7	0.9902454151388507
8	0.9718151103473452
9	0.9322064151128071
10	0.8613971313617558
11	0.7546899478185369
12	0.617688075723567
13	0.46651750243197815
14	0.3221248374260996
15	0.20201480236185523
16	0.11456086850440679
17	0.058582663738284434
18	0.026967873947858163
19	0.011164707193184489
20	0.0041546931844031855
21	0.0013892753318418877
22	0.0004173428294209185
23	0.00011259737555925631
24	2.727120362479835e-05
25	5.925544729464536e-06
26	1.1539060064821947e-06
27	2.011090689491432e-07
28	3.131206537218195e-08
29	4.34487214668987e-09
30	5.357056664768571e-10
31	5.847252171504247e-11
32	5.624618513735656e-12
33	4.742156429821298e-13
34	3.481211750881803e-14
35	2.207367127884224e-15
36	1.1971338527347338e-16
37	5.485646267853846e-18
38	2.0911118727341467e-19
39	6.497266471103868e-21
40	1.6001567928325865e-22
41	2.999666718805431e-24
42	4.0140808022239674e-26
43	3.409796195685056e-28
44	1.3796465858116282e-30
