k	pvalue
0	1.0000000023141935
1	0.9999892980913655
2	0.99993098118631
3	0.9997494027270626
4	0.9993240157779087
5	0.9984906893823213
6	0.9970502545553289
7	0.9947812330661039
8	0.9914542200086788
9	0.9868464554867155
10	0.9807545950513037
11	0.9730049736636301
12	0.9634610766754795
13	0.9520279664557275
14	0.9386541818862031
15	0.9233316001138565
16	0.9060934383785781
17	0.8870108904498357
18	0.8661887300866516
19	0.8437601953097801
20	0.8198814307551103
21	0.7947258657790018
22	0.7684787979078532
23	0.7413323884893409
24	0.7134811382584192
25	0.6851178368690917
26	0.6564300337672534
27	0.6275970892450723
28	0.5987878292047544
29	0.5701587934868005
30	0.5418530256922648
31	0.513999320878492
32	0.4867118633912219
33	0.4600902000098863
34	0.4342194562490788
35	0.4091707138214664
36	0.38500156509059197
37	0.3617568466546294
38	0.33946952772371497
39	0.3181617170654058
40	0.2978457282600691
41	0.27852515680968404
42	0.2601959384431573
43	0.24284735692316844
44	0.2264629791315304
45	0.21102152218445816
46	0.19649765009057027
47	0.1828625129002435
48	0.17008414387584664
49	0.15812785464852144
50	0.1469566876383893
51	0.13653194505105837
52	0.12681378803800566
53	0.11776185133161254
54	0.10933583122354933
55	0.10149602375016623
56	0.09420378212317866
57	0.08742188604808351
58	0.08111482206648174
59	0.07524897548927321
60	0.06979274834292988
61	0.06471661586607086
62	0.05999312856234084
63	0.055596871662216545
64	0.05150439048554511
65	0.04769408981572174
66	0.04414611508648862
67	0.04084222395099436
68	0.03776565460107927
69	0.034900996227392074
70	0.032234064071637
71	0.029751780317090415
72	0.027442062557862128
73	0.025293721535481345
74	0.023296369450835692
75	0.021440339017144937
76	0.01971661247073044
77	0.018116759360059694
78	0.01663288242338277
79	0.015257570695521649
80	0.013983858525369184
81	0.012805189389110055
82	0.011715384478343385
83	0.01070861585614726
84	0.009779383671087119
85	0.00892249679697993
86	0.008133056148984196
87	0.00740643994201933
88	0.006738290364029023
89	0.0061245012594818345
90	0.005561206526098785
91	0.005044769078949042
92	0.00457177028298832
93	0.004138999791917043
94	0.003743445764270326
95	0.0033822854196308275
96	0.0030528759021884603
97	0.002752745438845639
98	0.002479584777483099
99	0.0022312388994677993
100	0.002005699003472251
101	0.0018010947596312147
102	0.0016156868350020448
103	0.0014478596886593064
104	0.0012961146262491577
105	0.0011590631056317938
106	0.0010354202928501272
107	0.0009239988693400815
108	0.0008237030885915999
109	0.0007335230773810468
110	0.0006525293764876822
111	0.0005798677160887922
112	0.0005147540212707886
113	0.0004564696438370282
114	0.00040435681748404647
115	0.00035781433389324067
116	0.00031629343746498
117	0.00027929393627838627
118	0.00024636052631104227
119	0.00021707932529492933
120	0.00019107461181041676
121	0.00016800576442558974
122	0.00014756439499752133
123	0.0001294716696338614
124	0.00011347581032123475
125	9.934976987437377e-05
126	8.688907253857404e-05
127	7.590981232442686e-05
128	6.624680101403939e-05
129	5.775185775898849e-05
130	5.029223226444318e-05
131	4.374915369276069e-05
132	3.8016497579652486e-05
133	3.2999563255214687e-05
134	2.8613954505141615e-05
135	2.4784556472557766e-05
136	2.1444602077923735e-05
137	1.8534821527373313e-05
138	1.6002668784551912e-05
139	1.380161919129942e-05
140	1.1890532734769245e-05
141	1.0233077767890272e-05
142	8.797210293660124e-06
143	7.554704220402007e-06
144	6.480728283713369e-06
145	5.553465611085109e-06
146	4.753772176929867e-06
147	4.064870658134205e-06
148	3.4720764524686175e-06
149	2.9625528636250566e-06
150	2.5250926868308594e-06
151	2.149923647482705e-06
152	1.8285353520693583e-06
153	1.5535256056748585e-06
154	1.318464133600725e-06
155	1.1177719162461608e-06
156	9.466145065955899e-07
157	8.008078487474827e-07
158	6.76735254204322e-07
159	5.712743205128161e-07
160	4.817326946958745e-07
161	4.0579169227359406e-07
162	3.4145688205822473e-07
163	2.8701483783008445e-07
164	2.409953409725911e-07
165	2.021383936793136e-07
166	1.693654709455625e-07
167	1.417545017183527e-07
168	1.1851812578737457e-07
169	9.898482371552052e-08
170	8.258256277251085e-08
171	6.88246428688417e-08
172	5.729746328201695e-08
173	4.7649963895189164e-08
174	3.958452407840261e-08
175	3.284912855825078e-08
176	2.7230632944595975e-08
177	2.254898229260243e-08
178	1.8652254432824213e-08
179	1.5412416038878772e-08
180	1.2721693739530012e-08
181	1.0489475218868315e-08
182	8.63966636626929e-09
183	7.108440302065372e-09
184	5.842322665112339e-09
185	4.796565040149923e-09
186	3.933764948237915e-09
187	3.2226965325138144e-09
188	2.6373210426476916e-09
189	2.155950542890976e-09
190	1.7605420192884157e-09
191	1.4361023115758138e-09
192	1.170187106854674e-09
193	9.524796605858136e-10
194	7.744370046732995e-10
195	6.289932055938606e-10
196	5.103107857058213e-10
197	4.1357275149439876e-10
198	3.3480881292769895e-10
199	2.707503540167051e-10
200	2.1870954856125237e-10
201	1.7647872652599218e-10
202	1.422467025970221e-10
203	1.1452929405922005e-10
204	9.211169308050921e-11
205	7.400072994187203e-11
206	5.938537834974245e-11
207	4.7604120028370656e-11
208	3.811801047959435e-11
209	3.048847727842437e-11
210	2.435904183534272e-11
211	1.944028973446037e-11
212	1.5497527430307108e-11
213	1.234065756911108e-11
214	9.815884319303485e-12
215	7.798926257109143e-12
216	6.18946960211724e-12
217	4.906640670858438e-12
218	3.885314784858506e-12
219	3.073110778106305e-12
220	2.4279467488206716e-12
221	1.916054678650739e-12
222	1.5103697458213213e-12
223	1.1892252152057252e-12
224	9.352962250969792e-13
225	7.34746049533005e-13
226	5.765368663701121e-13
