k	pvalue
0	0.9999999982701374
1	0.9999999982701374
2	0.9999999982701374
3	0.9999999982701371
4	0.9999999982701334
5	0.9999999982701016
6	0.9999999982698778
7	0.999999998268571
8	0.9999999982620129
9	0.9999999982331368
10	0.9999999981197316
11	0.9999999977172545
12	0.9999999964125902
13	0.9999999925152205
14	0.9999999817048997
15	0.9999999536815679
16	0.9999998854053658
17	0.9999997282806998
18	0.9999993852313681
19	0.9999986718651946
20	0.9999972539678885
21	0.9999945516466389
22	0.9999895989263855
23	0.99998084692396
24	0.999965899336059
25	0.9999411712503169
26	0.999901466435605
27	0.9998394742640261
28	0.9997451949652981
29	0.9996053104489168
30	0.9994025266694363
31	0.9991149215483239
32	0.9987153388824851
33	0.9981708726500974
34	0.9974424870625517
35	0.9964848152836123
36	0.9952461739392165
37	0.9936688216854499
38	0.9916894787763865
39	0.9892401115751503
40	0.9862489722034058
41	0.9826418699848825
42	0.9783436389168638
43	0.9732797548883753
44	0.9673780483691388
45	0.960570453225684
46	0.952794730366762
47	0.9439961060520682
48	0.934128768696931
49	0.9231571744930166
50	0.9110571206452613
51	0.8978165549282789
52	0.8834361009915934
53	0.8679292898029708
54	0.8513224982690517
55	0.8336546059414082
56	0.8149763894247352
57	0.7953496813748432
58	0.7748463266344036
59	0.7535469720303726
60	0.7315397286643602
61	0.7089187462569333
62	0.6857827384096968
63	0.6622334957192364
64	0.638374420737127
65	0.6143091150568961
66	0.5901400445606627
67	0.5659673043049138
68	0.5418874998782864
69	0.5179927575104469
70	0.49436987090473783
71	0.47109958882714553
72	0.4482560439919858
73	0.4259063207855778
74	0.40411015687483176
75	0.38291977174183156
76	0.36237981363068805
77	0.3425274152380685
78	0.32339234766653197
79	0.30499726163302576
80	0.2873580046318175
81	0.27048400264848993
82	0.2543786950761491
83	0.23904001167330477
84	0.22446088071007453
85	0.2106297578668493
86	0.19753116597251516
87	0.18514623629419963
88	0.1734532428128416
89	0.16242812173169327
90	0.15204496935764
91	0.14227651245357537
92	0.1330945461659265
93	0.12447033566372032
94	0.11637497866125053
95	0.10877972701160336
96	0.10165626652965135
97	0.09497695510895098
98	0.08871502001836158
99	0.08284471598582353
100	0.07734144628746438
101	0.07218184955340094
102	0.06734385537511839
103	0.06280671205523453
104	0.05855098998468551
105	0.054558564173946104
106	0.050812579415317825
107	0.04729740142574227
108	0.043998557128110065
109	0.040902666987936674
110	0.03799737204548209
111	0.03527125798393206
112	0.03271377826391052
113	0.03031517804362506
114	0.02806642030098108
115	0.02595911528597429
116	0.02398545416388094
117	0.022138147465969888
118	0.020410368747037128
119	0.018795703659178983
120	0.017288104489030672
121	0.015881850070532093
122	0.014571510875835747
123	0.013351919001462167
124	0.012218142703135083
125	0.01116546508859476
126	0.01018936655070902
127	0.00928551051098902
128	0.008449732043846487
129	0.007678028962390355
130	0.006966554965191903
131	0.006311614468360815
132	0.005709658776769931
133	0.005157283280837152
134	0.004651225399607528
135	0.004188363025855289
136	0.003765713263604802
137	0.0033804312820834856
138	0.003029809142059653
139	0.002711274480320691
140	0.0024223889653790884
141	0.0021608464621384886
142	0.0019244708650928343
143	0.001711213578638319
144	0.00151915063929179
145	0.0013464794881302075
146	0.0011915154127396356
147	0.0010526876865691978
148	0.0009285354400300917
149	0.0008177033021816921
150	0.0007189368546330032
151	0.0006310779405857687
152	0.000553059871978141
153	0.00048390257666836326
154	0.0004227077257271246
155	0.00036865387837068736
156	0.00032099167903325266
157	0.0002790391376972189
158	0.00024217702100671785
159	0.0002098443779977993
160	0.00018153422058505571
161	0.00015678937532991808
162	0.00013519851954537783
163	0.00011639241151623991
164	0.00010004032157111495
165	8.584666795857965e-05
166	7.354785897167099e-05
167	6.290934053981796e-05
168	5.372284656589933e-05
169	4.580384762273478e-05
170	3.898919222752418e-05
171	3.313493377033611e-05
172	2.8114335266694153e-05
173	2.3816043415657127e-05
174	2.0142422953379725e-05
175	1.7008041977252712e-05
176	1.4338298756606646e-05
177	1.2068180522289207e-05
178	1.0141144819622686e-05
179	8.508114198780603e-06
180	7.126575286190802e-06
181	5.95977361424908e-06
182	4.975995969934771e-06
183	4.147932442872821e-06
184	3.4521107984839836e-06
185	2.868396262058811e-06
186	2.3795502662280258e-06
187	1.970842180044681e-06
188	1.62970849663231e-06
189	1.3454544031030324e-06
190	1.108993087248942e-06
191	9.126185473112763e-07
192	7.498080616978709e-07
193	6.150508433195302e-07
194	5.036997473288422e-07
195	4.1184322106628403e-07
196	3.361949809757722e-07
197	2.7399917352663274e-07
198	2.22949026436602e-07
199	1.811172236172959e-07
200	1.4689644331181383e-07
201	1.189486850339933e-07
202	9.616217839718498e-08
203	7.76148170261476e-08
204	6.254319478055335e-08
205	5.03164407736848e-08
206	4.041415540645597e-08
207	3.2407843071726883e-08
208	2.5945319478122538e-08
209	2.0737643793821804e-08
210	1.6548189047793577e-08
211	1.3183519405643947e-08
212	1.048579094356655e-08
213	8.32643418823282e-09
214	6.600912713214129e-09
215	5.224383155600202e-09
216	4.1281087464971256e-09
217	3.2565013810920625e-09
218	2.5646868754135808e-09
219	2.0165048018398582e-09
220	1.5828685486886066e-09
221	1.2404233507712452e-09
222	9.704502866519992e-10
223	7.579728966309713e-10
224	5.910303720851788e-10
225	4.6008740098350085e-10
226	3.5755589894884446e-10
227	2.7740815957170573e-10
228	2.148645505294218e-10
229	1.66141874035698e-10
230	1.2825099595904758e-10
231	9.883440848882345e-11
232	7.603609535467318e-11
233	5.839747477723589e-11
234	4.477435303040493e-11
235	3.4270772502662783e-11
236	2.618641762451837e-11
237	1.9974879507100178e-11
238	1.5210600337063096e-11
239	1.1562742142989683e-11
240	8.774568687619458e-12
241	6.6472082383819156e-12
242	5.026890668350776e-12
243	3.794934530566596e-12
244	2.859906503274153e-12
245	2.151493562264609e-12
246	1.6157228479610421e-12
247	1.2112399193713045e-12
248	9.064165668260995e-13
249	6.771075577535243e-13
250	5.049140261867324e-13
251	3.758416426221672e-13
252	2.7926579799226163e-13
253	2.0713508044049e-13
254	1.5335934414869499e-13
255	1.1334049138225085e-13
256	8.361337399626506e-14
257	6.157149811488121e-14
258	4.525790780593608e-14
259	3.320606645972243e-14
260	2.4319015223929314e-14
261	1.7777777824988643e-14
262	1.2972067716762012e-14
263	9.447968730664438e-15
264	6.868508159295048e-15
265	4.9840030990442035e-15
266	3.609800865687292e-15
267	2.6096023964629094e-15
268	1.8829927882572707e-15
269	1.3561358778205506e-15
270	9.748436496740297e-16
271	6.994245563833218e-16
272	5.00861704992201e-16
273	3.579832235723158e-16
274	2.5537138290128644e-16
275	1.8182067224677143e-16
276	1.292029695917053e-16
277	9.163399574945817e-17
278	6.486229213257342e-17
279	4.582221740526437e-17
280	3.2307593966810405e-17
281	2.2733921552400625e-17
282	1.596547353119269e-17
283	1.1189827611217219e-17
284	7.827003530665804e-18
285	5.4637970793387334e-18
286	3.806420876666006e-18
287	2.6464185892261155e-18
288	1.836183117820254e-18
289	1.2714092106536666e-18
290	8.78542507355202e-19
291	6.058210760299692e-19
292	4.1689455148012033e-19
293	2.862887825938234e-19
294	1.9618902276101219e-19
295	1.3416316144482615e-19
296	9.1553716357558e-20
297	6.23445729099907e-20
298	4.2364017516242295e-20
299	2.872547498889639e-20
300	1.9435899271392756e-20
301	1.3122153320927784e-20
302	8.840244752416325e-21
303	5.94261793522482e-21
304	3.9860363432251544e-21
305	2.6677809618417068e-21
306	1.7815583837145256e-21
307	1.1870974995642603e-21
308	7.892318203476003e-22
309	5.23540199309699e-22
310	3.46511837905277e-22
311	2.288252876739581e-22
312	1.5076589858503042e-22
313	9.910843296202604e-23
314	6.500124364339206e-23
315	4.253353034393732e-23
316	2.776738652280255e-23
317	1.8085372079814407e-23
318	1.1751783341271179e-23
319	7.61831569339835e-24
320	4.927061119201608e-24
321	3.1789640798779162e-24
322	2.0461940978532268e-24
323	1.313912295310328e-24
324	8.416645412114215e-25
325	5.378479407595941e-25
326	3.4286447559291326e-25
327	2.1803318629347235e-25
328	1.3831027079042578e-25
329	8.75210504426407e-26
330	5.52447950593421e-26
331	3.478447211466385e-26
332	2.1846862454905684e-26
333	1.36866352829602e-26
334	8.552687112268801e-27
335	5.3309057271494654e-27
336	3.314256816847848e-27
337	2.055191101728554e-27
338	1.2711396599736895e-27
339	7.841576608983528e-28
340	4.82476958292533e-28
341	2.960784401780023e-28
342	1.8121239779519385e-28
343	1.1061494014235305e-28
344	6.734079137517412e-29
345	4.0886027666783596e-29
346	2.475697439569018e-29
347	1.494995125198919e-29
348	9.003162685649854e-30
349	5.407008130951203e-30
350	3.238314165960156e-30
351	1.934079553429371e-30
352	1.1519042603208209e-30
353	6.841295747946032e-31
354	4.051664174590737e-31
355	2.3927355850006213e-31
356	1.4090136219547354e-31
357	8.273472801940311e-32
358	4.8440157004512757e-32
359	2.8278807387742554e-32
360	1.6460658749559808e-32
361	9.55336899278954e-33
362	5.5281736481589095e-33
363	3.189444608374938e-33
364	1.834632618112015e-33
365	1.0521462791184891e-33
366	6.015729797485126e-34
