k	pvalue
0	1.0000000019268713
1	0.9999999981884983
2	0.99999994364388
3	0.9999995384818147
4	0.999997493459953
5	0.9999895951159078
6	0.999964673526116
7	0.9998976961052559
8	0.9997398670355381
9	0.9994067188813802
10	0.9987663651365613
11	0.9976308361306346
12	0.9957533695431907
13	0.9928336072143751
14	0.9885311290403166
15	0.9824860948753603
16	0.9743444280470772
17	0.9637842621079034
18	0.9505403651916402
19	0.9344238374639362
20	0.9153353168860591
21	0.8932709749255756
22	0.8683215304836946
23	0.8406652283035538
24	0.8105561676760248
25	0.7783095406862589
26	0.7442852974512268
27	0.7088715660766881
28	0.672468884194736
29	0.6354760028077732
30	0.5982777421693779
31	0.5612351381719073
32	0.5246779271247702
33	0.48889927752836965
34	0.4541525834915874
35	0.4206500766845389
36	0.38856298276949536
37	0.3580229363854224
38	0.3291243707849311
39	0.3019276113151471
40	0.27646242468155435
41	0.2527318070162739
42	0.23071583090698092
43	0.2103754112218989
44	0.1916558877153451
45	0.17449035553363293
46	0.1588027008713331
47	0.14451031770627884
48	0.13152649326008695
49	0.11976245572549313
50	0.10912908025651087
51	0.09953825244480341
52	0.0909038974558203
53	0.0831427003868595
54	0.07617456693225415
55	0.06992289574609035
56	0.06431474588768184
57	0.05928097824070932
58	0.054756428676358014
59	0.05068013886148076
60	0.04699563713360927
61	0.04365123546753618
62	0.04060029464102553
63	0.0378014093340692
64	0.035218475476457754
65	0.03282061909917587
66	0.03058198440700095
67	0.028481394945003954
68	0.02650191331832734
69	0.02463033120776436
70	0.02285662281689891
71	0.021173392471982164
72	0.0195753421970111
73	0.018058778963674544
74	0.016621174991304874
75	0.015260788664117298
76	0.013976348761790233
77	0.01276680093127603
78	0.011631112639017492
79	0.0105681310902129
80	0.00957648759052442
81	0.008654541364496263
82	0.007800355780389395
83	0.0070117001569297635
84	0.006286070775355087
85	0.0056207253416708115
86	0.005012725893955461
87	0.00445898597734198
88	0.003956318759530347
89	0.0035014835784065003
90	0.0030912291557491224
91	0.002722332346892627
92	0.0023916318116322896
93	0.00209605638710391
94	0.001832648229875167
95	0.0015985809891077573
96	0.0013911733945026743
97	0.001207898710108338
98	0.0010463905336954985
99	0.0009044454237799886
100	0.0007800228217620717
101	0.0006712427115045951
102	0.0005763814272689031
103	0.0004938659860084735
104	0.00042226728334222586
105	0.0003602924552797927
106	0.00030677667083624986
107	0.00026067458478125686
108	0.00022105164553404253
109	0.00018707542114315259
110	0.00015800707674560476
111	0.00013319311010625328
112	0.00011205742788152409
113	9.409382411014451e-05
114	7.885890400990316e-05
115	6.596548031229787e-05
116	5.507645593207261e-05
117	4.589919557134457e-05
118	3.818037971732672e-05
119	3.170132722232717e-05
120	2.6273767063627877e-05
121	2.1736035774593404e-05
122	1.7949674222259447e-05
123	1.4796395689868217e-05
124	1.2175396422623241e-05
125	1.0000979740582495e-05
126	8.200465358365337e-06
127	6.7123565384994835e-06
128	5.484739023064198e-06
129	4.473887234098944e-06
130	3.643054921638941e-06
131	2.9614291997818888e-06
132	2.4032286907604956e-06
133	1.946928251936441e-06
134	1.5745944589057865e-06
135	1.2713176363580294e-06
136	1.024727751123161e-06
137	8.2458289908048e-07
138	6.624204241580863e-07
139	5.312619021367967e-07
140	4.253643058785459e-07
141	3.400106455625961e-07
142	2.713342526991214e-07
143	2.1617165629176652e-07
144	1.7193969035431166e-07
145	1.365330811725781e-07
146	1.0823929742339283e-07
147	8.566791357854838e-08
148	6.769214373901737e-08
149	5.340055562076367e-08
150	4.2057278895778376e-08
151	3.306928408132949e-08
152	2.5959532804233056e-08
153	2.0344992217236732e-08
154	1.5918669827702506e-08
155	1.2434963793195343e-08
156	9.697741208785158e-09
157	7.550656034814755e-09
158	5.869301712808329e-09
159	4.554863486340308e-09
160	3.5289939830204783e-09
161	2.7296844578986064e-09
162	2.1079447454531668e-09
163	1.6251387050177759e-09
164	1.2508498763429081e-09
165	9.611751294677231e-10
166	7.373630966556453e-10
167	5.647297920427742e-10
168	4.317966295720468e-10
169	3.296065238017477e-10
170	2.511823057789753e-10
171	1.9109864573792953e-10
172	1.4514432815933822e-10
173	1.1005630744916375e-10
174	8.331067884596286e-11
175	6.295869016929091e-11
176	4.7498328499387426e-11
177	3.5773951104715375e-11
178	2.689798157544119e-11
179	2.0189933568168443e-11
180	1.5129015738202093e-11
181	1.1317361128263454e-11
182	8.451552141547773e-12
183	6.3006103831475234e-12
184	4.689015086336268e-12
185	3.483625504966351e-12
186	2.5836284149600847e-12
187	1.9128252674971032e-12
188	1.413725421461052e-12
189	1.0430309230982655e-12
190	7.681914109103304e-13
191	5.647804052825887e-13
192	4.1450086334114226e-13
193	3.036719004694709e-13
194	2.2208273619727446e-13
195	1.6212637136714053e-13
196	1.181459437125999e-13
197	8.594247388138732e-14
198	6.240484864933635e-14
199	4.5232209892482367e-14
200	3.2726064584473354e-14
201	2.363489927740722e-14
202	1.70382580889968e-14
203	1.2260425364141976e-14
204	8.806274414668846e-15
205	6.313680819904329e-15
206	4.5182904203653225e-15
207	3.227484252015201e-15
208	2.301176497969708e-15
209	1.6376792861848678e-15
210	1.16331736511652e-15
211	8.248125831821646e-16
212	5.83710254020362e-16
213	4.123078420616006e-16
214	2.9068681268335334e-16
215	2.0455295020801338e-16
216	1.4366800302332985e-16
217	1.007129803045572e-16
218	7.0465917331616e-17
219	4.9208283531109055e-17
220	3.4297300095126983e-17
221	2.3858405787974323e-17
222	1.656455727105745e-17
223	1.1478161191640519e-17
224	7.938090183023681e-18
225	5.479085872861511e-18
226	3.774380700166694e-18
227	2.594931904569958e-18
228	1.7805166931211957e-18
229	1.2192790578588444e-18
230	8.332864633239054e-19
231	5.683513059811271e-19
232	3.8687254184793475e-19
233	2.628116777001739e-19
234	1.7817399951133209e-19
235	1.2054914754787613e-19
236	8.139567810722466e-20
237	5.484704004466528e-20
238	3.688221285740624e-20
239	2.4750841553212032e-20
240	1.657560980324844e-20
241	1.107778535953183e-20
242	7.388182743769164e-21
243	4.917234861668266e-21
244	3.2658807883795077e-21
245	2.164577775742327e-21
246	1.4316505247574356e-21
247	9.449074700561516e-22
248	6.223397016288751e-22
249	4.0902441617891683e-22
250	2.682575963015577e-22
251	1.755631998960581e-22
252	1.1465453339664454e-22
253	7.471759859126216e-23
254	4.8587682185378106e-23
255	3.15281696416747e-23
256	2.0414481627452043e-23
257	1.3189937010608916e-23
258	8.503733125206775e-24
259	5.4706237875679286e-24
260	3.511738884049581e-24
261	2.249383762711336e-24
262	1.4376683787468435e-24
263	9.16865395617942e-25
264	5.834478288245565e-25
265	3.7046395908206906e-25
266	2.3471200748368378e-25
267	1.483774809998921e-25
268	9.359269782512581e-26
269	5.890540962292813e-26
270	3.699181169330399e-26
271	2.317881357504173e-26
272	1.4491387243132925e-26
273	9.039821680220953e-27
274	5.6265074010500544e-27
275	3.494178143664587e-27
276	2.165091710217965e-27
277	1.3385378128224112e-27
278	8.25669167868655e-28
279	5.0816008077127255e-28
280	3.120412795214344e-28
281	1.911782777803463e-28
282	1.1686325643480235e-28
283	7.127353658271485e-29
284	4.336980294764072e-29
285	2.6330149050553686e-29
286	1.5948645765911645e-29
287	9.638219466679691e-30
288	5.811258221028224e-30
289	3.49576102743685e-30
290	2.098018497890046e-30
291	1.256234430024636e-30
292	7.504532372691122e-31
293	4.472659904465329e-31
294	2.6594701356727515e-31
295	1.5776440782048927e-31
296	9.336954785679609e-32
297	5.512916226746841e-32
298	3.247394193812482e-32
299	1.9083746276779066e-32
300	1.1188316744719249e-32
301	6.543887325477948e-33
302	3.818336655250104e-33
303	2.2226819447752942e-33
304	1.2907509071949269e-33
305	7.477679227080557e-34
306	4.321631284568908e-34
307	2.4916224698287054e-34
308	1.4330703900140047e-34
309	8.222438148035298e-35
310	4.7062881298770275e-35
311	2.687188615688064e-35
312	1.5305813209833945e-35
313	8.696612147138379e-36
314	4.929194797874334e-36
315	2.7869599956817853e-36
316	1.571849574126527e-36
317	8.84327790639499e-37
318	4.962883606916203e-37
319	2.7782405135012806e-37
320	1.5513752475696226e-37
321	8.64114716871406e-38
322	4.800977294805888e-38
323	2.6606497650490897e-38
324	1.4707592713030334e-38
325	8.109372365343066e-39
326	4.459852594938064e-39
327	2.4464545093535494e-39
328	1.3385445705520772e-39
329	7.304713123200124e-40
330	3.9759747566720954e-40
331	2.1584877747409917e-40
332	1.1687359067672837e-40
333	6.311596085093827e-41
334	3.3994849577932196e-41
335	1.8261361661124197e-41
336	9.783498603905224e-42
337	5.227463305195981e-42
338	2.785596730395719e-42
339	1.480370758614231e-42
340	7.845889683799483e-43
341	4.146939200618326e-43
342	2.185853825771495e-43
343	1.1489909974551085e-43
344	6.022934746397121e-44
345	3.14839740614046e-44
346	1.6411734947731837e-44
347	8.530933891206201e-45
348	4.421903197969658e-45
349	2.2855238629592657e-45
350	1.1779295764204108e-45
351	6.053449882674611e-46
352	3.1019122659879563e-46
353	1.5848630204443219e-46
354	8.073878243635813e-47
355	4.10103359455327e-47
356	2.0769086513645028e-47
357	1.0486885172327214e-47
358	5.279254863962094e-48
359	2.6496440132396837e-48
360	1.3258147078763507e-48
361	6.613783689409223e-49
362	3.2891241520765105e-49
363	1.630665080430482e-49
364	8.059246128179209e-50
365	3.970634830427907e-50
366	1.9500776662395345e-50
367	9.546862413575114e-51
368	4.658824862976452e-51
369	2.266152054973401e-51
370	1.0987235384415684e-51
371	5.309628138828466e-52
372	2.5574399864991854e-52
373	1.2277264931882534e-52
374	5.874103413098302e-53
375	2.8010062022793627e-53
376	1.3310905356046018e-53
377	6.303916648985224e-54
378	2.975162870057037e-54
379	1.3992531455183121e-54
380	6.557747903648786e-55
381	3.0624809976715353e-55
382	1.4250808066176131e-55
383	6.607541259448835e-56
384	3.052539114195214e-56
385	1.405044117051708e-56
386	6.443357233570417e-57
387	2.943837863530805e-57
388	1.3399254418465242e-57
389	6.0757211029876856e-58
390	2.744420099219666e-58
391	1.2348771723889988e-58
392	5.534799789902558e-59
393	2.470980665018478e-59
394	1.098778296002131e-59
395	4.866400221717927e-60
396	2.1465748892198774e-60
397	9.42991743033465e-61
398	4.1254964522655574e-61
399	1.7973538593360614e-61
400	7.79762345049254e-62
401	3.368559174720499e-62
402	1.4489753407002866e-62
403	6.20574643285811e-63
404	2.646209865031745e-63
405	1.1233949137174415e-63
406	4.747870794936818e-64
407	1.997577451659699e-64
408	8.366163549885194e-65
409	3.487758554656949e-65
410	1.447247540223977e-65
411	5.977151023864841e-66
412	2.4568516958621674e-66
413	1.0050204518541888e-66
414	4.0912844927879606e-67
415	1.657335712885029e-67
416	6.68042599285862e-68
417	2.679274023828113e-68
418	1.0691175992914444e-68
419	4.2442881363168545e-69
420	1.6762181637091489e-69
421	6.585327622637735e-70
422	2.5734743007594083e-70
423	1.0003037898210024e-70
424	3.867116146319358e-71
425	1.486821725164485e-71
426	5.684858679455433e-72
427	2.16143310086853e-72
428	8.171411261421729e-73
429	3.0715444723559074e-73
430	1.1478677533226846e-73
431	4.264543610723242e-74
432	1.5749572338785023e-74
433	5.78162342870424e-75
434	2.1095240007788609e-75
435	7.64964069201457e-76
436	2.7566854202932718e-76
437	9.871658733478054e-77
438	3.512500310537928e-77
439	1.2417434849337362e-77
440	4.361160233400772e-78
441	1.521568663733331e-78
442	5.273081734659223e-79
443	1.8150320418857613e-79
444	6.2045981485276975e-80
445	2.106272741582465e-80
446	7.099837823690873e-81
447	2.3761598686536955e-81
448	7.895071158458596e-82
449	2.6040454374173046e-82
450	8.525332129653565e-83
451	2.7701389904551677e-83
452	8.932554818347085e-84
453	2.8581771880054265e-84
454	9.073951036414478e-85
455	2.857926415426271e-85
456	8.929054152715273e-86
457	2.767012238988273e-86
458	8.50390122442858e-87
459	2.5916477751531934e-87
460	7.831272355132547e-88
461	2.3460320754273644e-88
462	6.966685610298745e-89
463	2.0504687380689498e-89
464	5.980773742863531e-90
465	1.7285422686673188e-90
466	4.949492058981534e-91
467	1.4039034197176846e-91
468	3.944083455933536e-92
469	1.097290843323691e-92
470	3.022712898589931e-93
471	8.243322501164015e-94
472	2.2251878234176385e-94
473	5.944518470634034e-95
474	1.5713637242042147e-95
475	4.109309862786356e-96
476	1.0629499921458936e-96
477	2.719102873882906e-97
478	6.87735915488913e-98
479	1.7195412526816935e-98
480	4.249197461483925e-99
481	1.0375525607362611e-99
482	2.502789583190323e-100
483	5.962773215230722e-101
484	1.4027393510007161e-101
485	3.2576284316852428e-102
486	7.46636202548645e-103
487	1.6884266634770708e-103
488	3.766163553467403e-104
489	8.283870087469521e-105
490	1.7961917223709395e-105
491	3.8381340952695833e-106
492	8.079650803531376e-107
493	1.6750232508917288e-107
494	3.418606847411977e-108
495	6.866174731214084e-109
496	1.3565874603994632e-109
497	2.635542064696606e-110
498	5.032627574558235e-111
499	9.441189906558111e-112
500	1.7392438273414901e-112
501	3.144707634780259e-113
502	5.57775214785861e-114
503	9.699699682556368e-115
504	1.6528198083171942e-115
505	2.758003695552435e-116
506	4.503862016750559e-117
507	7.192809151477881e-118
508	1.1225861699503534e-118
509	1.7108563646346672e-119
510	2.5440400797932747e-120
511	3.687835530824675e-121
512	5.206568839217249e-122
513	7.152066846978695e-123
514	9.548784635209505e-124
515	1.2376675621005716e-124
516	1.555480314647171e-125
517	1.893010787470019e-126
518	2.2276480971621904e-127
519	2.5308692510712765e-128
520	2.771331626635863e-129
521	2.9194614700496194e-130
522	2.952820778829945e-131
523	2.861082715597595e-132
524	2.6492520461918063e-133
525	2.3379904784585576e-134
526	1.9605772665733505e-135
527	1.5569967830809112e-136
528	1.1665744867982263e-137
529	8.211065211382959e-139
530	5.402919373238558e-140
531	3.304915444228232e-141
532	1.8670768748286988e-142
533	9.667335744971743e-144
534	4.546055915660527e-145
535	1.9202604373688963e-146
536	7.187642962570033e-148
