k	pvalue
0	1.0000000000199791
1	0.9624664991204769
2	0.8349637686120115
3	0.6231912301056881
4	0.3936453712593437
5	0.21081670692914942
6	0.09660926422388527
7	0.03830382396334432
8	0.013279306629308468
9	0.004063328326556796
10	0.0011061506406033386
11	0.0002696759357723601
12	5.919893476581917e-05
13	1.1752325618339648e-05
14	2.117270450188441e-06
15	3.470897773173735e-07
16	5.188051642651814e-08
17	7.081103909672947e-09
18	8.833943563799549e-10
19	1.0078587154055752e-10
20	1.0517269454640566e-11
21	1.003646225338981e-12
22	8.754082007318638e-14
23	6.973368538824697e-15
24	5.067632203358908e-16
25	3.355128750590959e-17
26	2.020459205364195e-18
27	1.1045999528076238e-19
28	5.4705112399428624e-21
29	2.4481604503775714e-22
30	9.872220958994868e-24
31	3.5756864825662383e-25
32	1.1590042741634863e-26
33	3.347887134861937e-28
34	8.576568690677248e-30
35	1.937583636119742e-31
36	3.834571863317598e-33
37	6.595054806832747e-35
38	9.76220280609253e-37
39	1.2287548320415247e-38
40	1.2950697875119677e-40
41	1.12006805876331e-42
42	7.731366941986643e-45
43	4.0904773755101385e-47
44	1.5557596959577014e-49
45	3.782506851800791e-52
46	4.410727488253165e-55
