k	pvalue
0	0.9999999999887335
1	0.9995249751513761
2	0.9953808516189478
3	0.9779760349707614
4	0.9310342630334307
5	0.8395300123435206
6	0.7019615312499579
7	0.535741456117561
8	0.369662255399837
9	0.22954390983349346
10	0.12811457007427743
11	0.0643193813908092
12	0.02910100141597683
13	0.011893917423812876
14	0.0044022998345442975
15	0.001479189373123138
16	0.00045218837129004343
17	0.00012601071333816883
18	3.206201813387114e-05
19	7.458050449660995e-06
20	1.587506788621983e-06
21	3.093957061569005e-07
22	5.522330543176377e-08
23	9.025904873000134e-09
24	1.350273339487686e-09
25	1.8474416169392302e-10
26	2.3091255894453104e-11
27	2.6327892152355676e-12
28	2.73333405367518e-13
29	2.5783515564992874e-14
30	2.2042961206392024e-15
31	1.7029846547881124e-16
32	1.1849789162367716e-17
33	7.397793925142899e-19
34	4.125437834486696e-20
35	2.0445738465203782e-21
36	8.952164412527158e-23
37	3.438917402648969e-24
38	1.1494266560978739e-25
39	3.3093531661206586e-27
40	8.106121854183386e-29
41	1.6628419238779234e-30
42	2.79831514438545e-32
43	3.755799187661804e-34
44	3.859334972597076e-36
45	2.8460983411889864e-38
46	1.3386954094748343e-40
47	3.01121851516134e-43
