k	pvalue
0	0.9999999999552458
1	0.9999999999552458
2	0.9999999999552457
3	0.999999999955242
4	0.9999999999550804
5	0.9999999999504343
6	0.9999999998559554
7	0.9999999984209211
8	0.9999999815283952
9	0.9999998232419951
10	0.9999986186631599
11	0.9999910571384248
12	0.999951421723215
13	0.9997762263649751
14	0.9991179729407447
15	0.9970018524138422
16	0.9911496707849785
17	0.9771640499426519
18	0.9481730476993381
19	0.8958825936557147
20	0.8136031811285236
21	0.7004135509668415
22	0.5640375829042007
23	0.41992324913132967
24	0.28619993745057193
25	0.17715319535514193
26	0.09895635646902715
27	0.049628231776301594
28	0.02225188259210833
29	0.008887292539269056
30	0.0031512071906688527
31	0.0009886668234884296
32	0.00027351009632127493
33	6.646111217562267e-05
34	1.4122311686985686e-05
35	2.6105579279085017e-06
36	4.1723890119850263e-07
37	5.723858969145003e-08
38	6.681093243961556e-09
39	6.565469480734707e-10
40	5.361649246776313e-11
41	3.5797352238262e-12
42	1.913032170956808e-13
43	7.951558353744553e-15
44	2.4667027475760535e-16
45	5.352204995162363e-18
46	7.218478821330543e-20
47	4.538198212848777e-22
