k	pvalue
0	1.0000000000252156
1	1.0000000000252152
2	1.000000000025151
3	1.0000000000211302
4	0.9999999998842629
5	0.9999999969313605
6	0.9999999527751284
7	0.9999994681157605
8	0.9999954066197202
9	0.9999686713572764
10	0.9998274540676754
11	0.9992189729248804
12	0.9970521813444428
13	0.990608265209699
14	0.974466323077103
15	0.9401672478247411
16	0.8779888613459375
17	0.7813641396864365
18	0.652150838380852
19	0.5029950827653074
20	0.35401407256657214
21	0.22502605897582204
22	0.12810809298658965
23	0.06487453594874845
24	0.029051308540031264
25	0.011441716251260775
26	0.003941756642758876
27	0.0011808785319005306
28	0.00030555363368349963
29	6.772952162360133e-05
30	1.2730944135076497e-05
31	2.003307728985448e-06
32	2.595647896495998e-07
33	2.709484930494954e-08
34	2.2119915738209194e-09
35	1.3534688608178792e-10
36	5.808032871517776e-12
37	1.5507309626272735e-13
38	1.928615704120653e-15
