k	pvalue
0	1.000000000044714
1	0.9999997660672172
2	0.9999938535279153
3	0.9999258649391803
4	0.9994488577929513
5	0.9971416982372653
6	0.9889088146988724
7	0.9662759101936582
8	0.9168844916686859
9	0.8294292912866775
10	0.7016843967349741
11	0.5457536896616988
12	0.3850593487893249
13	0.2440875794060328
14	0.13810508340925348
15	0.06944938280081724
16	0.03095572065198865
17	0.012208708957771717
18	0.004255416732827712
19	0.0013096745990880867
20	0.0003556037216407296
21	8.510236469402635e-05
22	1.7930020694254174e-05
23	3.3206346560178923e-06
24	5.394952020972749e-07
25	7.668774009278914e-08
26	9.504340364108275e-09
27	1.0223598403759082e-09
28	9.489027880655863e-11
29	7.542218448916959e-12
30	5.084391477247102e-13
31	2.871167079499242e-14
32	1.3365761080390305e-15
33	5.0218243590564926e-17
34	1.4795767113466946e-18
35	3.2793447311639083e-20
36	5.122757681579995e-22
37	5.010971924780973e-24
38	2.3013347407881044e-26
