k	pvalue
0	0.9999999998268071
1	0.9981681208175098
2	0.9939673559796159
3	0.9870938257747323
4	0.9776960390193935
5	0.9660181447218542
6	0.9521588716945508
7	0.9362042892987884
8	0.9183708483122056
9	0.8989256462195137
10	0.8780772371506339
11	0.8560499688947921
12	0.8330716937365084
13	0.8093595578498693
14	0.7850815477334536
15	0.7604251411459592
16	0.7354887383715137
17	0.7104367291025961
18	0.685422384386592
19	0.6605899940768355
20	0.6360643828799087
21	0.611944837826025
22	0.5883192979266257
23	0.5652284867548492
24	0.542724762113319
25	0.520701984120079
26	0.499166372931244
27	0.47812640417975066
28	0.45760433803466566
29	0.4376106752551589
30	0.41813636581360286
31	0.39919481417796765
32	0.3808073058527573
33	0.36296670533526615
34	0.34567781183954427
35	0.3289441324528403
36	0.31277914867100454
37	0.29719906665390483
38	0.2822100187954618
39	0.26781952189858715
40	0.2540236486357695
41	0.24082459175940538
42	0.22821981869554572
43	0.21620202841356145
44	0.20476073661791408
45	0.19388528143713932
46	0.18349458093842883
47	0.1735541075811491
48	0.16403795923191986
49	0.1549359298961214
50	0.14624131329862003
51	0.13794084881495347
52	0.130018797810882
53	0.12246332270148001
54	0.11526425882904315
55	0.108410698879177
56	0.10189285382861
57	0.09569867827696049
58	0.08981835762221549
59	0.08424042706465491
60	0.07895514093384857
61	0.07395020767231357
62	0.06921582806677164
63	0.06474278996622042
64	0.0605218572418759
65	0.056544188836912264
66	0.05280005263226619
67	0.04927960603850971
68	0.045971850973387365
69	0.04286680167651975
70	0.03994921473844231
71	0.03720870182193472
72	0.034635202619013074
73	0.0322200655693198
74	0.029954514288888335
75	0.027829467696590632
76	0.025837101298904517
77	0.02397055408591428
78	0.022222250690292624
79	0.02058560579738876
80	0.019054507750853465
81	0.01762333288808836
82	0.016286916470121583
83	0.015039985531977057
84	0.01387759501308083
85	0.012794853459168656
86	0.011787319827847535
87	0.010850688414227625
88	0.009980823070623136
89	0.009173789047939722
90	0.008425797224818902
91	0.0077332247718794435
92	0.007092523555940891
93	0.006500346501352903
94	0.0059535110002666815
95	0.005449013571062388
96	0.004983968943541219
97	0.0045556239134861305
98	0.0041613308572543625
99	0.0037985928942353164
100	0.003465119439257122
101	0.003158786674456034
102	0.0028775080432909034
103	0.0026194073552808198
104	0.0023827285077329882
105	0.0021658442761508466
106	0.0019672435789205504
107	0.001785501421781757
108	0.0016193099142416349
109	0.0014674610145630099
110	0.0013288342718259653
111	0.0012023822866997877
112	0.0010871306296725497
113	0.0009821744925738644
114	0.0008866752302072711
115	0.0007998537620581211
116	0.0007209902589405934
117	0.0006494142224068635
118	0.0005845084896193699
119	0.0005257006952002023
120	0.00047246155008086684
121	0.00042430290788549567
122	0.0003807757000669328
123	0.0003414673662332087
124	0.00030599688637724764
125	0.00027401566066309147
126	0.00024520251569765046
127	0.00021926360576961644
128	0.00019592959160174924
129	0.00017495396028424694
130	0.00015611112062882167
131	0.00013919553653376994
132	0.0001240213748960023
133	0.00011041967122581155
134	9.82367843580392e-05
135	8.733311228114289e-05
136	7.758175696951246e-05
137	6.886755929663943e-05
138	6.108636151420531e-05
139	5.4143650880865664e-05
140	4.7953968628009446e-05
141	4.2439977585031925e-05
142	3.75317852572361e-05
143	3.316626374031311e-05
144	2.928646222073909e-05
145	2.5841068834583052e-05
146	2.2783857216909762e-05
147	2.007326051646383e-05
148	1.767188677970864e-05
149	1.554615345706917e-05
150	1.3665904150276164e-05
151	1.2004077544384981e-05
152	1.053642290215056e-05
153	9.241238808197852e-06
154	8.099135248929655e-06
155	7.092795977437719e-06
156	6.206775410348822e-06
157	5.427298008498106e-06
158	4.742081050864655e-06
159	4.140194898608103e-06
160	3.6119192734796028e-06
161	3.148616461492559e-06
162	2.7426169537627136e-06
163	2.387113850963071e-06
164	2.0760735566386503e-06
165	1.804150950557193e-06
166	1.5666148910974872e-06
167	1.3592833242931042e-06
168	1.1784607951234288e-06
169	1.0208857330743573e-06
170	8.836807754122913e-07
171	7.64309705823111e-07
172	6.605390118767493e-07
173	5.704031552730817e-07
174	4.921743297861131e-07
175	4.243347135485896e-07
176	3.6555248034660126e-07
177	3.1465999863883006e-07
178	2.7063442753544987e-07
179	2.3258045431199187e-07
180	1.997150279723512e-07
181	1.7135407360590015e-07
182	1.469003932383728e-07
183	1.2583309024297698e-07
184	1.0769823961679265e-07
185	9.210061343403784e-08
186	7.869636774798275e-08
187	6.718665100931218e-08
188	5.7312011782305877e-08
189	4.884732440783132e-08
190	4.1597431544786055e-08
191	3.5393294906808075e-08
192	3.0088613321169454e-08
193	2.5556891587880097e-08
194	2.1688853925268596e-08
195	1.8390169783468474e-08
196	1.5579491308972553e-08
197	1.3186726027719465e-08
198	1.1151534040649018e-08
199	9.422015910285483e-09
200	7.953572765736775e-09
201	6.7079143059034925e-09
202	5.652194784134048e-09
203	4.758267359537269e-09
204	4.002029389501316e-09
205	3.362862388634457e-09
206	2.82314357926529e-09
207	2.3678241907676576e-09
208	1.9840657154670723e-09
209	1.6609257521533669e-09
210	1.3890867532725873e-09
211	1.1606222249347476e-09
212	9.687958714671587e-10
213	8.07887774050073e-10
214	6.730458533009779e-10
215	5.601580362046844e-10
216	4.657428691763691e-10
217	3.86855655650753e-10
218	3.210082630164276e-10
219	2.6610030842698607e-10
220	2.2036054879831724e-10
221	1.822967772676197e-10
222	1.5065312645229016e-10
223	1.243737234186408e-10
224	1.0257174426071263e-10
225	8.450313135257282e-11
226	6.954423694631016e-11
227	5.717289818542339e-11
228	4.695235546883222e-11
229	3.851768059967236e-11
230	3.156427906040399e-11
231	2.5838189551440982e-11
232	2.112789365471851e-11
233	1.725741511837931e-11
234	1.4080504813110317e-11
235	1.1475752830111506e-11
236	9.342480386361148e-12
237	7.597292047958987e-12
238	6.171186465924455e-12
239	5.0071356106146424e-12
240	4.0580607303535535e-12
241	3.28514031323664e-12
242	2.656398644912809e-12
243	2.1455285016504495e-12
244	1.7309114737235672e-12
245	1.3948027585771608e-12
246	1.1226541443706858e-12
247	9.025521748311391e-13
248	7.247525238151006e-13
249	5.812944923971709e-13
250	4.656823060522224e-13
251	3.726218800545618e-13
