k	pvalue
0	1.0000000000252154
1	1.0000000000252154
2	1.0000000000252134
3	1.0000000000250608
4	1.0000000000186589
5	0.9999999998480646
6	0.9999999967067568
7	0.9999999544399001
8	0.9999995222215283
9	0.9999960645810247
10	0.9999739452698766
11	0.9998588364986153
12	0.9993648818369226
13	0.9975978026341248
14	0.9922806484635518
15	0.9787249267568096
16	0.949267946977949
17	0.8944385700491241
18	0.8066687714919959
19	0.6854423093575064
20	0.5406003531764427
21	0.3905962185845872
22	0.25574402985749556
23	0.1504088007039602
24	0.07888513033809871
25	0.03667058906952775
26	0.015026546484433651
27	0.005398963178185644
28	0.001691418379269709
29	0.000459165995795585
30	0.00010722189664407638
31	2.1347525794222683e-05
32	3.5845786300107206e-06
33	5.008146164260745e-07
34	5.7231752434996635e-08
35	5.23251386850806e-09
36	3.715318841474456e-10
37	1.9640071316757893e-11
38	7.237727639014006e-13
39	1.651414154164619e-14
40	1.7490345611228913e-16
