k	pvalue
0	0.9999999999564279
1	0.9999999999564276
2	0.999999999956405
3	0.9999999999549324
4	0.9999999999017046
5	0.9999999986698547
6	0.9999999788544001
7	0.9999997450145208
8	0.999997642144087
9	0.9999828220881799
10	0.9998992069967868
11	0.9995152097758847
12	0.9980607523126427
13	0.9934687517050234
14	0.9812799952676193
15	0.9538888239316466
16	0.9014768498581666
17	0.8156886763961935
18	0.6951253979820248
19	0.5492211388713739
20	0.3968283083954326
21	0.25922782423793406
22	0.15170251984580796
23	0.07894300404478545
24	0.0363054554313725
25	0.014676935712340506
26	0.005189434403212656
27	0.0015966555902583372
28	0.0004251008627705622
29	9.731300150917001e-05
30	1.900668978445308e-05
31	3.1377764907302867e-06
32	4.328087625134697e-07
33	4.916978337592484e-08
34	4.518632324532714e-09
35	3.2823728790793183e-10
36	1.8276389942687083e-11
37	7.469642560321382e-13
38	2.096080868418214e-14
39	3.583299150540169e-16
40	2.795861301580093e-18
