k	pvalue
0	1.000000000044714
1	0.9999999527578568
2	0.9999985943711484
3	0.9999807444867991
4	0.9998370971853981
5	0.9990380765223967
6	0.9957529975536936
7	0.9853334640915616
8	0.9590697453391694
9	0.9053035755673515
10	0.814420418301898
11	0.6859263883602407
12	0.5324052445365842
13	0.37611292413635683
14	0.2396169360308643
15	0.13678946413141163
16	0.06966770486246095
17	0.031563201386422386
18	0.012694931565077307
19	0.004526378162305255
20	0.0014290287265432244
21	0.00039906365225304824
22	9.846319484742457e-05
23	2.1437725104103735e-05
24	4.112157987379351e-06
25	6.935476876642197e-07
26	1.025844547636492e-07
27	1.3263306658309116e-08
28	1.4926382492042527e-09
29	1.4543335572023473e-10
30	1.2185717169331545e-11
31	8.706624168628442e-13
32	5.249078456128122e-14
33	2.635206605327418e-15
34	1.0833418632307283e-16
35	3.568425164887319e-18
36	9.144852017335488e-20
37	1.7482119039051666e-21
38	2.3343782670777673e-23
39	1.9331259718839726e-25
40	7.438592050838953e-28
