k	pvalue
0	1.0000000016803903
1	1.0000000016803903
2	1.0000000016803903
3	1.0000000016803903
4	1.0000000016803903
5	1.0000000016803903
6	1.0000000016803903
7	1.0000000016803903
8	1.0000000016803903
9	1.0000000016803903
10	1.0000000016803903
11	1.0000000016803903
12	1.0000000016803903
13	1.0000000016803903
14	1.0000000016803903
15	1.0000000016803903
16	1.0000000016803903
17	1.0000000016803903
18	1.0000000016803903
19	1.0000000016803903
20	1.0000000016803903
21	1.0000000016803903
22	1.0000000016803903
23	1.0000000016803903
24	1.0000000016803903
25	1.0000000016803903
26	1.0000000016803903
27	1.0000000016803903
28	1.0000000016803903
29	1.0000000016803903
30	1.0000000016803903
31	1.0000000016803903
32	1.0000000016803903
33	1.0000000016803903
34	1.0000000016803903
35	1.0000000016803903
36	1.0000000016803903
37	1.0000000016803903
38	1.0000000016803903
39	1.0000000016803903
40	1.0000000016803903
41	1.0000000016803903
42	1.0000000016803903
43	1.0000000016803903
44	1.0000000016803903
45	1.0000000016803903
46	1.0000000016803903
47	1.0000000016803903
48	1.0000000016803903
49	1.0000000016803903
50	1.0000000016803903
51	1.0000000016803903
52	1.0000000016803903
53	1.0000000016803903
54	1.0000000016803903
55	1.0000000016803903
56	1.0000000016803903
57	1.0000000016803903
58	1.0000000016803903
59	1.0000000016803903
60	1.0000000016803903
61	1.0000000016803903
62	1.0000000016803903
63	1.0000000016803903
64	1.0000000016803903
65	1.0000000016803903
66	1.0000000016803903
67	1.00000000168039
68	1.0000000016803898
69	1.0000000016803892
70	1.0000000016803876
71	1.0000000016803845
72	1.0000000016803783
73	1.000000001680365
74	1.0000000016803379
75	1.0000000016802835
76	1.000000001680175
77	1.0000000016799617
78	1.0000000016795472
79	1.0000000016787505
80	1.0000000016772377
81	1.000000001674398
82	1.0000000016691275
83	1.000000001659454
84	1.0000000016418935
85	1.000000001610361
86	1.000000001554343
87	1.0000000014558748
88	1.0000000012845862
89	1.0000000009896808
90	1.000000000487089
91	0.9999999996391139
92	0.9999999982225348
93	0.9999999958791584
94	0.9999999920399707
95	0.9999999858100256
96	0.9999999757955778
97	0.9999999598471812
98	0.9999999346818533
99	0.9999998953330944
100	0.9999998343585242
101	0.9999997407099479
102	0.9999995981383879
103	0.9999993829654683
104	0.9999990610008354
105	0.9999985833213345
106	0.9999978805497999
107	0.9999968551781394
108	0.999995371369951
109	0.9999932415518817
110	0.9999902089610656
111	0.9999859251602423
112	0.9999799213662826
113	0.9999715722675382
114	0.9999600508387797
115	0.9999442725101605
116	0.9999228269220707
117	0.9998938954170498
118	0.9998551524017154
119	0.9998036487764965
120	0.9997356758005892
121	0.9996466080557578
122	0.9995307246158437
123	0.9993810081364405
124	0.9991889223634925
125	0.9989441695257811
126	0.9986344302204228
127	0.9982450897075229
128	0.9977589559721991
129	0.9971559764476923
130	0.996412961866422
131	0.9955033272471758
132	0.994396861454547
133	0.9930595379902084
134	0.9914533805977515
135	0.9895363977858221
136	0.9872626004048778
137	0.9845821158686859
138	0.9814414114275272
139	0.9777836370344242
140	0.9735490957863077
141	0.9686758466904346
142	0.9631004406611305
143	0.956758786289639
144	0.9495871371841824
145	0.9415231877155402
146	0.9325072590206271
147	0.9224835523276802
148	0.9114014422966347
149	0.8992167793407715
150	0.8858931670210791
151	0.8714031787679682
152	0.8557294775342119
153	0.8388658026197712
154	0.8208177898805645
155	0.801603594826781
156	0.7812542926581414
157	0.7598140349397242
158	0.7373399492036029
159	0.7139017750324722
160	0.6895812378691658
161	0.6644711696044492
162	0.6386743926195023
163	0.6123023910994503
164	0.5854737998107663
165	0.5583127459025211
166	0.5309470834485915
167	0.5035065632484503
168	0.47612098176151707
169	0.4489183529405845
170	0.42202314519213324
171	0.39555462282255893
172	0.36962532727859826
173	0.3443397284497478
174	0.3197930704948334
175	0.2960704303293581
176	0.27324600031859003
177	0.25138260011397495
178	0.23053141618349124
179	0.21073196163234503
180	0.1920122435697339
181	0.17438912069400783
182	0.1578688300456246
183	0.14244765907635895
184	0.12811273732500905
185	0.1148429210570077
186	0.10260974416674451
187	0.09137840937748308
188	0.0811087952027383
189	0.0717564561374138
190	0.063273596000321
191	0.05560999712246556
192	0.048713891041025824
193	0.0425327593982076
194	0.037014056749637994
195	0.03210584986559928
196	0.027757370783497846
197	0.02391948328207937
198	0.02054506455492619
199	0.0175893056371932
200	0.015009935575109698
201	0.012767375425722595
202	0.010824828949269174
203	0.009148317332123491
204	0.00770666548491993
205	0.0064714474332358924
206	0.005416898094618511
207	0.004519798353938872
208	0.003759339846332678
209	0.0031169752684826755
210	0.00257625939677144
211	0.002122685323198769
212	0.0017435197511032248
213	0.0014276405425635648
214	0.001165379093568859
215	0.0009483695433072881
216	0.0007694063082215514
217	0.000622310974532631
218	0.0005018091866563413
219	0.00040341783291695605
220	0.0003233425519394077
221	0.00025838535942020977
222	0.00020586202099877118
223	0.00016352866741947507
224	0.00012951705753038687
225	0.0001022778372992525
226	8.053111349104579e-05
227	6.322365380378284e-05
228	4.949203637950219e-05
229	3.863109646122425e-05
230	3.0067052842337814e-05
231	2.333473846969638e-05
232	1.8058405448889295e-05
233	1.3935622578894015e-05
234	1.0723831678377216e-05
235	8.229176020420536e-06
236	6.297259177458286e-06
237	4.8055348018710534e-06
238	3.6570668859915145e-06
239	2.7754356161081023e-06
240	2.1005959762610264e-06
241	1.5855248099898785e-06
242	1.1935172432956537e-06
243	8.960154051571035e-07
244	6.708714894382426e-07
245	5.009636435063022e-07
246	3.7309721284370614e-07
247	2.771357840282131e-07
248	2.0531650759531222e-07
249	1.517125892461477e-07
