k	pvalue
0	1.0000000000000062
1	0.9999999999998658
2	0.9999999999435676
3	0.9999999963670333
4	0.9999998979317639
5	0.99999835098918
6	0.9999824568433827
7	0.9998669041105491
8	0.9992414760407446
9	0.9966321693530916
10	0.9880303508863963
11	0.9652128315328883
12	0.915844940182984
13	0.8278359566862757
14	0.697582074934082
15	0.5366646786530951
16	0.3701037620252202
17	0.2253437206142094
18	0.11961942937325133
19	0.0547675718798362
20	0.021417898225117953
21	0.007086501974488677
22	0.0019640959440461476
23	0.00045097280181255353
24	8.467279619571589e-05
25	1.2794033158687626e-05
26	1.5241585696852983e-06
27	1.3923639956496466e-07
28	9.37016488928962e-09
29	4.3591677101094573e-10
30	1.2476614417800307e-11
31	1.6501111892189889e-13
