k	pvalue
0	0.9999999999805652
1	0.9994115790579003
2	0.9972719158405119
3	0.9926892223320413
4	0.9849931230963344
5	0.9737721715511435
6	0.9588781414328063
7	0.9403465425120332
8	0.9183603173883754
9	0.8932290129629443
10	0.8653339106538572
11	0.8350734415890376
12	0.8028402519665705
13	0.7690257113111644
14	0.7340199134340736
15	0.6981995884505512
16	0.6619234994313332
17	0.6255272535159965
18	0.5893179659793437
19	0.5535700428265822
20	0.5185239724746096
21	0.48438060053805
22	0.45130487303279043
23	0.419428957182423
24	0.388854721947183
25	0.3596568509975369
26	0.3318869573836148
27	0.30557614062584226
28	0.2807380201594722
29	0.2573709742380686
30	0.23546008538513932
31	0.21497942473911355
32	0.19589383415661055
33	0.17816011966434242
34	0.16172850990786763
35	0.14654423384679963
36	0.13254884144976226
37	0.1196813005650551
38	0.10787900859619334
39	0.09707869110142744
40	0.08721726106788269
41	0.07823254958329426
42	0.07006379962271157
43	0.06265204181378811
44	0.05594044616668607
45	0.049874470167472214
46	0.04440210921639218
47	0.039474111770712125
48	0.03504408084729656
49	0.031068501226172135
50	0.027506724057018046
51	0.0243209092925573
52	0.02147595195051634
53	0.018939389389980684
54	0.01668128882975387
55	0.014674124739783263
56	0.012892652636937892
57	0.011313786085117987
58	0.009916470951324242
59	0.00868155382214883
60	0.007591652706169519
61	0.006631029919315085
62	0.0057854672254833844
63	0.005042146540615427
64	0.004389536351555312
65	0.003817282118881494
66	0.0033161047666204753
67	0.002877705211706585
68	0.0024946746360453467
69	0.002160410743868378
70	0.001869040202311888
71	0.0016153468323655649
72	0.0013947056520844916
73	0.0012030222955827178
74	0.0010366777006366114
75	0.0008924777140280825
76	0.000767607270480848
77	0.0006595888797770482
78	0.0005662451622384456
79	0.0004856651220092694
80	0.00041617382011750693
81	0.0003563051716475393
82	0.0003047775779537908
83	0.00026047215440071507
84	0.00022241331766570467
85	0.0001897514927964371
86	0.00016174773432107035
87	0.0001377600804477704
88	0.00011723147845483031
89	9.967911406543566e-05
90	8.468499711965631e-05
91	7.188766527217257e-05
92	6.09748873100488e-05
93	5.1677252696626224e-05
94	4.3762548578375636e-05
95	3.703083516234953e-05
96	3.1310139418862926e-05
97	2.645269446160873e-05
98	2.233166041427069e-05
99	1.8838269329310646e-05
100	1.5879341984753702e-05
101	1.3375131539908616e-05
102	1.1257453113692535e-05
103	9.468063109303853e-06
104	7.957256518614127e-06
105	6.682654581897938e-06
106	5.608158104159967e-06
107	4.70304489867157e-06
108	3.941192326049201e-06
109	3.300408335330198e-06
110	2.761856482443154e-06
111	2.3095623532877307e-06
112	1.9299903031328684e-06
113	1.6116808432657386e-06
114	1.3449402948645522e-06
115	1.1215754787705475e-06
116	9.346671322457469e-07
117	7.783765803422797e-07
118	6.47780942096207e-07
119	5.38732797541134e-07
120	4.477407921768474e-07
121	3.718681583619041e-07
122	3.0864653931363824e-07
123	2.5600287853022216e-07
124	2.1219744573188205e-07
125	1.7577135060613486e-07
126	1.455021289297994e-07
127	1.2036619441198504e-07
128	9.950712044586822e-08
129	8.220887017197345e-08
130	6.787322107815872e-08
131	5.6000743502946837e-08
132	4.6174786476707416e-08
133	3.8048007005051635e-08
134	3.1331047705447734e-08
135	2.5783027782025996e-08
136	2.1203563136153815e-08
137	1.7426075256426987e-08
138	1.4312184966006014e-08
139	1.1747018789866262e-08
140	9.635282364981516e-09
141	7.897978057017638e-09
142	6.469663113997273e-09
143	5.2961611711864e-09
144	4.332653494526147e-09
145	3.542088110567127e-09
146	2.8938548481491753e-09
147	2.3626826729681904e-09
148	1.9277226617219443e-09
149	1.5717859271954432e-09
150	1.2807107602025963e-09
151	1.042837462120752e-09
152	8.485728462598452e-10
153	6.900293601537579e-10
154	5.607262527816566e-10
155	4.5534229740931593e-10
156	3.6951131781893936e-10
157	2.9965322922151966e-10
158	2.428345218082061e-10
159	1.966531379856982e-10
160	1.5914354482177952e-10
161	1.2869851445983116e-10
162	1.0400471603870872e-10
163	8.398971776741673e-11
164	6.777840844641664e-11
165	5.465718980604794e-11
166	4.4044574390210694e-11
167	3.5467060197948796e-11
168	2.853934887046858e-11
169	2.294813694469669e-11
170	1.8438844119022105e-11
171	1.4804754110451913e-11
172	1.1878135793392255e-11
173	9.522988703576288e-12
174	7.629119951626043e-12
175	6.107311684769974e-12
176	4.885381136192541e-12
177	3.904970728770709e-12
178	3.118934839389313e-12
179	2.4892138652611437e-12
180	1.985105979043965e-12
181	1.5818632106642991e-12
182	1.259551828292198e-12
183	1.0021279474937616e-12
184	7.966882740951574e-13
185	6.328632543165509e-13
186	5.023259345698344e-13
187	3.983947685007753e-13
188	3.157126434033187e-13
189	2.499876981084892e-13
190	1.977841963738726e-13
191	1.5635391891600244e-13
