k	pvalue
0	0.9999999986597634
1	0.9937840103016734
2	0.979836498636873
3	0.9593755448911038
4	0.9346746213764412
5	0.9071808064289494
6	0.8781086025804699
7	0.848320930803318
8	0.8181803531177366
9	0.7880979713652891
10	0.7583990403228366
11	0.7292601724562087
12	0.7007415789339337
13	0.673023816143352
14	0.6461506194020998
15	0.6201558909721464
16	0.5951017072045311
17	0.5710684315580283
18	0.5480447514467345
19	0.5259697037878794
20	0.5047963501260803
21	0.48452176454663176
22	0.4650656189466396
23	0.44623458250394366
24	0.42793223991443313
25	0.41017115662726467
26	0.39268498148031955
27	0.37547897524752055
28	0.35868219824668224
29	0.3424388783531466
30	0.3267723907904239
31	0.3117321615773163
32	0.2973604879631214
33	0.28365546591091556
34	0.2706118617464896
35	0.25823072290818605
36	0.24647934543055747
37	0.23531928410243733
38	0.22471189163281757
39	0.2146285108842305
40	0.20504693191299483
41	0.19595333584089758
42	0.18718103075361886
43	0.17867200545412276
44	0.17043906763043065
45	0.16252389465935224
46	0.15494647934909217
47	0.14770949663112637
48	0.14080290951867658
49	0.13421789824710378
50	0.12795299327487014
51	0.12200549904632273
52	0.11636835722493477
53	0.11103190468130861
54	0.10598738584457
55	0.10122113125772854
56	0.09671074542937409
57	0.09243904639827834
58	0.08839556251962813
59	0.08456930220908786
60	0.08094370894018475
61	0.07750333355975342
62	0.07422837860177846
63	0.07110751218215927
64	0.06813147266982954
65	0.0652965612041674
66	0.06258871224245702
67	0.05999399507665781
68	0.057507048129755364
69	0.05512895648484379
70	0.0528619418638892
71	0.050705681327063275
72	0.048658026898357756
73	0.046713045248488176
74	0.04486595830823286
75	0.04311196767102176
76	0.04144696813216899
77	0.039865124578130885
78	0.0383476615480114
79	0.036885052611395484
80	0.035476763097009464
81	0.03411889875006844
82	0.03278598800062619
83	0.03146957098898968
84	0.03012073736748908
85	0.028738052697177777
86	0.027341732600670493
87	0.025958814075383266
88	0.02460514878744926
89	0.023291517777277063
90	0.02202563354778553
91	0.020809699550554405
92	0.019645916861976535
93	0.0185354135020618
94	0.017478510834765197
95	0.01647376785512999
96	0.015520674309385871
97	0.01461745168289151
98	0.013762390255591821
99	0.012953827069200402
100	0.012189898393877163
101	0.011468334608957574
102	0.010786721264138785
103	0.010141846340828637
104	0.009531194594244766
105	0.008952661834331164
106	0.008403525271525021
107	0.00788081392849398
108	0.007383676396232064
109	0.006909524991732513
110	0.00645819899422541
111	0.0060302199028804005
112	0.005626241084994503
113	0.0052457387699668505
114	0.004888079090615403
115	0.004552626260796184
116	0.004238406824825463
117	0.003944406888983496
118	0.0036696275559088484
119	0.003412648123652152
120	0.003172217456912009
121	0.0029474127608912744
122	0.0027372909344070147
123	0.0025404694635290798
124	0.0023560522071473717
125	0.0021822566234304492
126	0.0020184456208938583
127	0.0018644762356283477
128	0.0017203155791531827
129	0.0015856940833418886
130	0.001460192929399051
131	0.0013433857210943018
132	0.0012348213302580304
133	0.0011341200441990773
134	0.001040865690084281
135	0.0009546399322349309
136	0.000875003462665657
137	0.0008015537280148929
138	0.000733869052549162
139	0.0006715568989978568
140	0.0006142424945986534
141	0.0005615556266507575
142	0.0005131418438413462
143	0.00046866618395503975
144	0.00042779914788977906
145	0.0003902465523434206
146	0.0003557437942397862
147	0.00032402948472098686
148	0.00029486227669491173
149	0.00026805934378783063
150	0.0002434085079374367
151	0.0002207674656243666
152	0.000200017709974852
153	0.00018104949211858137
154	0.0001637407887743128
155	0.00014796899100800643
156	0.00013361764317424375
157	0.00012057328940443287
158	0.00010873085168730296
159	9.799035254351993e-05
160	8.825768841775696e-05
161	7.944397977801828e-05
162	7.146814196802519e-05
163	6.425503817589811e-05
164	5.773628835392199e-05
165	5.184847356169246e-05
166	4.65333057448075e-05
167	4.173773454732048e-05
168	3.741310451894941e-05
169	3.351415195659313e-05
170	3.0000187806590098e-05
171	2.68331450416518e-05
172	2.39794363742929e-05
173	2.141028008525581e-05
174	1.9100423174451637e-05
175	1.7026195379382733e-05
176	1.5165953719487373e-05
177	1.3499592098380107e-05
178	1.2008510216313322e-05
179	1.0675416048374922e-05
180	9.484540630825297e-06
181	8.421490382169694e-06
182	7.473143589875255e-06
183	6.6276679554708826e-06
184	5.87436104680558e-06
185	5.203579581015856e-06
186	4.606610675527344e-06
187	4.075610238914907e-06
188	3.6035296259391873e-06
189	3.184075134168528e-06
190	2.811592134528245e-06
191	2.481013154427412e-06
192	2.1878086658669357e-06
193	1.9278906574810915e-06
194	1.6975970463209267e-06
195	1.4936904363754169e-06
196	1.3132261726875032e-06
197	1.1536458687372084e-06
198	1.0126841788452686e-06
199	8.883111615850126e-07
200	7.786789110585922e-07
201	6.821224677598598e-07
202	5.971485769156925e-07
203	5.22420337845105e-07
204	4.567467527581887e-07
205	3.9906924276429513e-07
206	3.484463535088367e-07
207	3.040417938234686e-07
208	2.651157720469558e-07
209	2.3101281462958836e-07
210	2.0115408790272685e-07
211	1.750281242672382e-07
212	1.5218378451844099e-07
213	1.3222262951843325e-07
214	1.1479315230031767e-07
215	9.958477650845021e-08
216	8.632356247855237e-08
217	7.476826636880116e-08
218	6.470595797518922e-08
219	5.5950924197708863e-08
220	4.834053359514239e-08
221	4.173129885100788e-08
222	3.599714290087455e-08
223	3.102690248921272e-08
224	2.6722701495558017e-08
225	2.299830175694598e-08
226	1.9778198704415516e-08
227	1.699628518066518e-08
228	1.4594780358591726e-08
229	1.2523228650442156e-08
230	1.0737675760812053e-08
231	9.199794359831605e-09
232	7.8761927269645e-09
233	6.7378539249151485e-09
234	5.759579699784161e-09
235	4.919507600680229e-09
236	4.1986759446135944e-09
237	3.580656060182946e-09
238	3.0512135717767457e-09
239	2.5980126428599224e-09
240	2.2103768266810128e-09
241	1.879073610194481e-09
242	1.5961402369249222e-09
243	1.3547107710276243e-09
244	1.148880988988154e-09
245	9.735588092799938e-10
246	8.243523587111229e-10
247	6.974757159539962e-10
248	5.896741706007135e-10
249	4.981532699815549e-10
250	4.2051576629616805e-10
251	3.547079205321775e-10
252	2.989712053558946e-10
253	2.518014719381167e-10
254	2.119124102823677e-10
255	1.7820654072801605e-10
256	1.4974761308413198e-10
257	1.2573709750787622e-10
258	1.05495631121524e-10
259	8.844529996478623e-11
260	7.409454066958776e-11
261	6.202543033695833e-11
262	5.1883156936018594e-11
263	4.336676980892692e-11
264	3.622110411112937e-11
265	3.023010184193991e-11
266	2.5210969303573226e-11
267	2.1009257312379056e-11
