k	pvalue
0	1.0000000000133968
1	0.9999999847481382
2	0.9999997742079462
3	0.9999983236960326
4	0.9999916341202822
5	0.9999682936519545
6	0.9999022976840499
7	0.9997441568600354
8	0.9994126671837849
9	0.9987901714361068
10	0.9977233369320244
11	0.9960298391647211
12	0.9935096887070985
13	0.9899589250382432
14	0.9851832392371046
15	0.979009600875977
16	0.9712948005761877
17	0.9619306465143392
18	0.9508461603165926
19	0.9380074341442989
20	0.9234158706149677
21	0.9071054169946235
22	0.8891392211855186
23	0.8696059621831863
24	0.8486159937258977
25	0.8262973952117255
26	0.8027920213033047
27	0.7782516459650379
28	0.7528342899408916
29	0.7267008051298621
30	0.7000117747831308
31	0.6729247793151443
32	0.645592069162933
33	0.618158670924483
34	0.5907609287259251
35	0.5635254550616858
36	0.5365684429896332
37	0.509995280159554
38	0.48390040478989704
39	0.45836735070311596
40	0.4334689385584679
41	0.409267580556175
42	0.385815674773541
43	0.3631560722008703
44	0.34132260377734924
45	0.32034065611175155
46	0.30022778414576734
47	0.28099434859667377
48	0.26264416678573616
49	0.24517516709874523
50	0.22858003864754706
51	0.21284686801176156
52	0.19795975466384894
53	0.1838993968207046
54	0.1706436406719781
55	0.1581679880957986
56	0.1464460604692025
57	0.13545001838235654
58	0.12515093862544777
59	0.11551915070555008
60	0.10652453555020515
61	0.0981367891983174
62	0.0903256543041855
63	0.08306112219327626
64	0.07631360798244491
65	0.07005410096023379
66	0.06425429212946969
67	0.058886680632574004
68	0.053924660705913265
69	0.049342590777100064
70	0.045115846278574706
71	0.04122085770515835
72	0.03763513541554488
73	0.034337282663606764
74	0.03130699831082286
75	0.028525070587910917
76	0.025973363147796445
77	0.02363479451799083
78	0.021493311952952166
79	0.019533860615581967
80	0.01774234896505246
81	0.01610561117512301
82	0.014611367349025604
83	0.013248182242346425
84	0.012005423155210845
85	0.010873217596459409
86	0.009842411242432627
87	0.008904526613165384
88	0.008051722783396218
89	0.00727675634922069
90	0.0065729437908800155
91	0.005934125310040344
92	0.005354630176262246
93	0.004829243591660022
94	0.004353175072410467
95	0.003922028345629772
96	0.0035317727637688427
97	0.0031787162403927854
98	0.002859479707610272
99	0.00257097308610414
100	0.0023103727458747433
101	0.002075100422631853
102	0.001862803543640687
103	0.0016713369085811767
104	0.001498745665413815
105	0.001343249517890442
106	0.0012032280997900848
107	0.0010772074507951989
108	0.0009638475296907024
109	0.0008619307017989684
110	0.0007703511389346453
111	0.000688105071612508
112	0.000614281834912537
113	0.0005480556514445712
114	0.0004886780972655091
115	0.0004354711992785632
116	0.0003878211154760762
117	0.00034517235231623834
118	0.0003070224765205989
119	0.0002729172815963195
120	0.00024244637234094836
121	0.00021523913338485258
122	0.00019096105041115904
123	0.00016931035506567038
124	0.00015001496676274578
125	0.00013282970663406026
126	0.00011753376076192793
127	0.0001039283715891418
128	9.183473801654935e-05
129	8.109210621112452e-05
130	7.155603457016912e-05
131	6.309681762841488e-05
132	5.559805495318373e-05
133	4.895535224717777e-05
134	4.3075142970046335e-05
135	3.787361980007482e-05
136	3.327576618637846e-05
137	2.921447909000662e-05
138	2.5629774781555666e-05
139	2.2468070258616483e-05
140	1.9681533476881804e-05
141	1.722749616357416e-05
142	1.5067923509697058e-05
143	1.3168935524614241e-05
144	1.1500375286259818e-05
145	1.0035419735196005e-05
146	8.750229042791814e-06
147	7.6236309349809835e-06
148	6.636836675221635e-06
149	5.773185705171925e-06
150	5.017916211028961e-06
151	4.357959129452936e-06
152	3.781753331644732e-06
153	3.2790799295333707e-06
154	2.840913835963718e-06
155	2.4592908827259857e-06
156	2.127188957459581e-06
157	1.8384217639972812e-06
158	1.587543941648143e-06
159	1.3697663982573291e-06
160	1.1808808205641903e-06
161	1.0171924242689093e-06
162	8.754600961278056e-07
163	7.5284316211523e-07
164	6.468540899672618e-07
