k	pvalue
0	0.9999999999993402
1	0.9999999999982283
2	0.999999999564808
3	0.9999999734648553
4	0.9999993103548861
5	0.9999899029849216
6	0.9999041778499601
7	0.9993594398764217
8	0.9968149803931675
9	0.9877598229743568
10	0.9625776392307015
11	0.9068384472460148
12	0.8073113733156648
13	0.662531886879649
14	0.48974307806963147
15	0.3197455545469658
16	0.18147412503955482
17	0.0883864311273886
18	0.03653720313188032
19	0.012690434470597428
20	0.0036663234315025524
21	0.0008715066894779538
22	0.00016832078405987046
23	2.601100021579783e-05
24	3.1529766924292876e-06
25	2.9180380240779685e-07
26	1.9822498508304945e-08
27	9.281399795069082e-10
28	2.6674823533947475e-11
29	3.5362529773793006e-13
