k	pvalue
0	1.0000000000417246
1	0.9999992585114147
2	0.9999933702847006
3	0.9999687371091682
4	0.9998952980013877
5	0.9997192136511985
6	0.9993575162760763
7	0.9986961767219084
8	0.997592036580792
9	0.9958782651449198
10	0.9933725043329567
11	0.9898866013928042
12	0.9852367962995611
13	0.9792533622175287
14	0.9717888867545535
15	0.9627246584401112
16	0.9519749451150303
17	0.939489212817229
18	0.9252525021790112
19	0.9092842664167538
20	0.8916359960629364
21	0.8723879460973434
22	0.8516452585110479
23	0.8295337363086962
24	0.8061954784464614
25	0.7817845439651431
26	0.7564627832602985
27	0.7303959523139153
28	0.7037502051336889
29	0.6766890337191771
30	0.6493706908273301
31	0.6219460970402733
32	0.5945572086309154
33	0.5673358064143994
34	0.540402657881391
35	0.5138670037821775
36	0.48782631970308776
37	0.46236630353989705
38	0.437561044707929
39	0.41347333797793795
40	0.3901551145022428
41	0.3676479708348343
42	0.3459837794489907
43	0.3251853637903844
44	0.30526722109877485
45	0.2862362773016061
46	0.26809265930083503
47	0.25083047107470224
48	0.23443856074033564
49	0.2189012657818701
50	0.20419912463045284
51	0.19030954489418286
52	0.1772074209620643
53	0.16486569610720966
54	0.1532558665634579
55	0.1423484270543539
56	0.13211325862894258
57	0.1225199607634568
58	0.11353813140787054
59	0.10513760020212735
60	0.0972886207614721
61	0.08996202791518805
62	0.0831293650929544
63	0.07676298605941709
64	0.0708361347110735
65	0.0653230062961602
66	0.06019879278107174
67	0.05543971441269643
68	0.051023039169051945
69	0.046927091541544286
70	0.04313125204692504
71	0.03961594886712363
72	0.03636264283762902
73	0.03335380675054913
74	0.030572899767714528
75	0.028004337656781134
76	0.025633459547182873
77	0.023446491899268056
78	0.021430510260515342
79	0.019573399276972672
80	0.017863811580988185
81	0.01629112632594332
82	0.014845408118268882
83	0.013517367022023476
84	0.012298320214472698
85	0.011180155692864598
86	0.010155298252050558
87	0.009216677799567747
88	0.00835769990883471
89	0.0075722183808727235
90	0.0068545095270357865
91	0.006199247876023432
92	0.005601483045921545
93	0.005056617593982205
94	0.004560385728639209
95	0.00410883282481966
96	0.0036982957280201987
97	0.0033253838629925822
98	0.0029869611773967776
99	0.002680128953553327
100	0.0024022095145376167
101	0.002150730837967496
102	0.0019234120782529304
103	0.001718149987159633
104	0.001533006212215674
105	0.0013661954436017766
106	0.0012160743732050883
107	0.0010811314238021266
108	0.000959977202212708
109	0.000851335628200411
110	0.0007540356902011726
111	0.0006670037794707349
112	0.0005892565561871133
113	0.0005198943040736916
114	0.00045809473376905787
115	0.000403107199255223
116	0.00035424729575404774
117	0.000310891811240128
118	0.00027247400704114293
119	0.0002384792058906375
120	0.0002084406682230348
121	0.00018193573951000817
122	0.0001585822530933043
123	0.00013803517431036942
124	0.00011998347279859946
125	0.00010414721076327888
126	9.027483573476386e-05
127	7.814066695433443e-05
128	6.754256504474325e-05
129	5.829977505873105e-05
130	5.025093337435058e-05
131	4.325222923967437e-05
132	3.717571207377103e-05
133	3.190773591548532e-05
134	2.734753268655193e-05
135	2.3405906206838834e-05
136	2.0004039170075993e-05
137	1.7072405561774588e-05
138	1.454978127893831e-05
139	1.2382345993927634e-05
140	1.0522869593051049e-05
141	8.929976814237465e-06
