k	pvalue
0	0.9999999999848708
1	0.9999999999848708
2	0.9999999999848708
3	0.9999999999848708
4	0.9999999999848708
5	0.9999999999848708
6	0.9999999999848708
7	0.9999999999848708
8	0.9999999999848708
9	0.9999999999848708
10	0.9999999999848708
11	0.9999999999848708
12	0.9999999999848708
13	0.9999999999848708
14	0.9999999999848708
15	0.9999999999848708
16	0.9999999999848708
17	0.9999999999848708
18	0.9999999999848708
19	0.9999999999848708
20	0.9999999999848708
21	0.9999999999848708
22	0.9999999999848708
23	0.9999999999848708
24	0.9999999999848708
25	0.9999999999848708
26	0.9999999999848708
27	0.9999999999848708
28	0.9999999999848708
29	0.9999999999848708
30	0.9999999999848708
31	0.9999999999848708
32	0.9999999999848708
33	0.9999999999848708
34	0.9999999999848708
35	0.9999999999848708
36	0.9999999999848708
37	0.9999999999848708
38	0.9999999999848708
39	0.9999999999848708
40	0.9999999999848708
41	0.9999999999848708
42	0.9999999999848708
43	0.9999999999848708
44	0.9999999999848708
45	0.9999999999848708
46	0.9999999999848708
47	0.9999999999848708
48	0.9999999999848708
49	0.9999999999848708
50	0.9999999999848708
51	0.9999999999848708
52	0.9999999999848708
53	0.9999999999848708
54	0.9999999999848708
55	0.9999999999848708
56	0.9999999999848708
57	0.9999999999848708
58	0.9999999999848708
59	0.9999999999848708
60	0.9999999999848708
61	0.9999999999848708
62	0.9999999999848708
63	0.9999999999848708
64	0.9999999999848708
65	0.9999999999848708
66	0.9999999999848708
67	0.9999999999848708
68	0.9999999999848708
69	0.9999999999848708
70	0.9999999999848708
71	0.9999999999848708
72	0.9999999999848708
73	0.9999999999848708
74	0.9999999999848707
75	0.9999999999848704
76	0.9999999999848699
77	0.9999999999848677
78	0.9999999999848604
79	0.999999999984837
80	0.9999999999847633
81	0.9999999999845373
82	0.9999999999838618
83	0.9999999999818959
84	0.9999999999763207
85	0.9999999999609106
86	0.9999999999193864
87	0.9999999998102815
88	0.999999999530692
89	0.9999999988317764
90	0.9999999971270971
91	0.9999999930695789
92	0.9999999836428383
93	0.9999999622618797
94	0.9999999149100751
95	0.999999812494299
96	0.9999995961261009
97	0.9999991495560029
98	0.999998248966098
99	0.9999964740593265
100	0.9999930550274175
101	0.999986616651498
102	0.99997476278885
103	0.9999534216752459
104	0.999915845756741
105	0.9998511318377648
106	0.9997421033106534
107	0.999562384179133
108	0.9992725055483316
109	0.998814932450894
110	0.9981079957620393
111	0.9970388709318391
112	0.9954559652846549
113	0.9931613493001552
114	0.9899041685955734
115	0.9853762576667197
116	0.9792113824896495
117	0.9709895958286737
118	0.9602480282899867
119	0.9464990109047802
120	0.9292557195784505
121	0.908064588197272
122	0.8825426541630543
123	0.8524169294072104
124	0.8175620171753226
125	0.7780317079625416
126	0.7340803382733773
127	0.6861703605287814
128	0.6349638272549248
129	0.5812972036395206
130	0.5261408603614205
131	0.47054647539309347
132	0.4155870947026684
133	0.36229552255321884
134	0.31160688512014106
135	0.26431061528440053
136	0.22101584940541832
137	0.1821325217176046
138	0.14786856358362535
139	0.11824184642878191
140	0.09310408937002618
141	0.07217304514058993
142	0.055068941362130676
143	0.04135135225883607
144	0.030553295919607735
145	0.022210236612136676
146	0.015882652177992757
147	0.011171754108624327
148	0.007728713022665196
149	0.0052582839929188555
150	0.003518030464370858
151	0.0023144357748599922
152	0.0014971149021413856
153	0.0009521533663549886
154	0.0005953608395082769
155	0.0003659798843819778
156	0.0002211676990441691
157	0.00013138910415247865
158	7.672860180151932e-05
159	4.4045738734303583e-05
160	2.4853565907629586e-05
161	1.3784854599983713e-05
162	7.515115079075269e-06
163	4.026994475757625e-06
164	2.1209525528579215e-06
165	1.0979395723715125e-06
166	5.586205630915534e-07
167	2.7934449707986586e-07
168	1.3729097659458235e-07
169	6.631574310799742e-08
170	3.148170511828845e-08
171	1.4687944684909919e-08
172	6.734714268132003e-09
173	3.0347771071011314e-09
174	1.3439338508303145e-09
175	5.848793420011038e-10
176	2.5014140746721474e-10
177	1.0513061244365561e-10
178	4.342003842108485e-11
179	1.762225225303785e-11
180	7.028057153576629e-12
181	2.754253495320256e-12
182	1.0606179844565398e-12
183	4.013209190680668e-13
184	1.49208367790281e-13
185	5.450715334468568e-14
186	1.956422481914436e-14
187	6.899378648269586e-15
188	2.390475778194027e-15
189	8.137182090892676e-16
190	2.7212394550145694e-16
191	8.940249705053612e-17
192	2.88542123581661e-17
193	9.14810996400676e-18
194	2.849058424941412e-18
195	8.715729571942292e-19
196	2.618921353035281e-19
197	7.729309428779105e-20
198	2.2404793833264658e-20
199	6.378300732695205e-21
200	1.7832565397693984e-21
201	4.896070865874816e-22
202	1.3200368624394542e-22
203	3.4946812633439895e-23
204	9.0842706417885e-24
205	2.3185183069000615e-24
206	5.809584845959262e-25
207	1.4291210813394566e-25
208	3.4510930163373475e-26
209	8.180530196251604e-27
210	1.9033378458945822e-27
211	4.346418023137089e-28
212	9.740894339748515e-29
213	2.1423353165774217e-29
214	4.6234466674371985e-30
215	9.790424188692996e-31
216	2.0340461315463543e-31
217	4.145806198108569e-32
218	8.2891547128252e-33
219	1.6256517892143874e-33
220	3.126962176813229e-34
221	5.898697403705917e-35
222	1.0911571638942614e-35
223	1.9791295515156003e-36
224	3.51943998899253e-37
225	6.135368763755563e-38
226	1.0484059682629638e-38
227	1.7558705989101542e-39
228	2.881912277816889e-40
229	4.634935858211445e-41
230	7.303471510967457e-42
231	1.1274152027121678e-42
232	1.7047158211259701e-43
233	2.524506811105453e-44
234	3.660990967608512e-45
235	5.1982550257577035e-46
236	7.225878725581448e-47
237	9.831805654342756e-48
238	1.3092384533333481e-48
239	1.7059970070160918e-49
240	2.1749076158995865e-50
241	2.712271141720061e-51
242	3.3081063185380536e-52
243	3.9454971752840477e-53
244	4.600650288079885e-54
245	5.243829034450106e-55
246	5.841218629870905e-56
247	6.357625583952262e-57
248	6.759753496623596e-58
249	7.019657189689511e-59
250	7.1178933298699e-60
251	7.045884218446134e-61
252	6.8071023907705e-62
253	6.41685628234666e-63
254	5.900680436285827e-64
255	5.291562701922853e-65
256	4.6264277074908354e-66
257	3.942401745645091e-67
258	3.2733892159446985e-68
259	2.647398712731712e-69
260	2.0848933299296717e-70
261	1.5982445128154268e-71
262	1.1921847364713331e-72
263	8.650166960881939e-74
264	6.102655686977872e-75
265	4.184584322347868e-76
266	2.7876794031368145e-77
267	1.8034337305291206e-78
268	1.1324669394608556e-79
269	6.899390234855839e-81
270	4.0760327396656174e-82
271	2.3338757660481134e-83
272	1.2944667385397208e-84
273	6.950641927350508e-86
274	3.6108914640427647e-87
275	1.8137605168500813e-88
276	8.802918013765113e-90
277	4.1251833803698775e-91
278	1.8650930840557645e-92
279	8.129235331196881e-94
280	3.412878866038884e-95
281	1.378862406976232e-96
282	5.355886591585388e-98
283	1.9980475911817924e-99
284	7.151007339985932e-101
285	2.4524747680211997e-102
286	8.049504637120694e-104
287	2.5250530453086606e-105
288	7.559120055967974e-107
289	2.156162342333099e-108
290	5.849947660619481e-110
291	1.5068377395919508e-111
292	3.677325951472374e-113
293	8.483368016464975e-115
294	1.845411455781439e-116
295	3.774916637218016e-118
296	7.238914599136632e-120
297	1.2968544660327484e-121
298	2.1620514058870376e-123
299	3.339398819287047e-125
300	4.754245049426976e-127
301	6.202022236983199e-129
302	7.362104075625671e-131
303	7.886569467408428e-133
304	7.547998274352565e-135
305	6.374447940976539e-137
306	4.676120473067505e-139
307	2.918843801804602e-141
308	1.5072598195173067e-143
309	6.181490105025451e-146
310	1.887564048386065e-148
311	3.814744846316388e-151
312	3.826926489006663e-154
