k	pvalue
0	1.0000000002726395
1	1.0000000002726395
2	1.0000000002726395
3	1.0000000002726395
4	1.0000000002726395
5	1.0000000002726395
6	1.0000000002726395
7	1.0000000002726395
8	1.0000000002726395
9	1.0000000002726395
10	1.0000000002726395
11	1.0000000002726395
12	1.0000000002726395
13	1.0000000002726395
14	1.0000000002726395
15	1.0000000002726395
16	1.0000000002726395
17	1.0000000002726395
18	1.0000000002726395
19	1.0000000002726395
20	1.0000000002726395
21	1.0000000002726395
22	1.0000000002726395
23	1.0000000002726395
24	1.0000000002726395
25	1.0000000002726395
26	1.0000000002726395
27	1.0000000002726395
28	1.0000000002726395
29	1.0000000002726395
30	1.0000000002726395
31	1.0000000002726395
32	1.0000000002726395
33	1.0000000002726395
34	1.0000000002726395
35	1.0000000002726395
36	1.0000000002726395
37	1.0000000002726395
38	1.0000000002726395
39	1.0000000002726395
40	1.0000000002726395
41	1.0000000002726395
42	1.0000000002726392
43	1.0000000002726384
44	1.0000000002726352
45	1.0000000002726235
46	1.00000000027258
47	1.0000000002724247
48	1.000000000271893
49	1.0000000002701328
50	1.0000000002645055
51	1.0000000002471177
52	1.0000000001951597
53	1.0000000000449356
54	0.9999999996244645
55	0.9999999984845825
56	0.999999995490121
57	0.9999999878638326
58	0.9999999690257788
59	0.9999999238742268
60	0.9999998188228225
61	0.9999995814692465
62	0.9999990604899114
63	0.9999979491772969
64	0.9999956445659313
65	0.9999909966928056
66	0.9999818776277356
67	0.9999644665587847
68	0.9999321061019476
69	0.9998735396927526
70	0.9997702983157435
71	0.9995929803549194
72	0.9992961802018558
73	0.9988118929641268
74	0.998041378124416
75	0.99684572200318
76	0.9950356998519461
77	0.9923619810149495
78	0.9885071902827214
79	0.9830817468843931
80	0.9756256347077337
81	0.965618190595048
82	0.9524975298068006
83	0.9356903110629179
84	0.9146512148983758
85	0.8889099077109617
86	0.8581216268779286
87	0.8221161529212173
88	0.7809391462260377
89	0.734879871168564
90	0.6844803339042187
91	0.6305227698036079
92	0.573994994323048
93	0.5160359851542251
94	0.4578667207568552
95	0.40071330240011666
96	0.34573038627486036
97	0.29393278597643485
98	0.24614182657297207
99	0.2029508917054299
100	0.1647119965583538
101	0.13154258756551895
102	0.1033495227908607
103	0.07986562235458358
104	0.060693439758183344
105	0.04535097720490313
106	0.03331480428865694
107	0.024057210821173472
108	0.017075376468967302
109	0.011911842279033275
110	0.008166651545836786
111	0.005502294309576912
112	0.0036430182901111604
113	0.0023701939392771014
114	0.0015153130241906383
115	0.0009519430153313122
116	0.0005876336887659727
117	0.0003564421468941794
118	0.00021245145068688872
119	0.00012442916080879072
120	7.161131269356982e-05
121	4.049903493673693e-05
122	2.2507077009789696e-05
123	1.229175105059452e-05
124	6.59687717729627e-06
125	3.4793933521044846e-06
126	1.8035172021369901e-06
127	9.187563303973269e-07
128	4.5999784041365896e-07
129	2.263596815233143e-07
130	1.0948204344089832e-07
131	5.204753383808576e-08
132	2.43211381098477e-08
133	1.1171390176986947e-08
134	5.0440952023977055e-09
135	2.238850926658819e-09
136	9.76890726160339e-10
137	4.1904307237008536e-10
138	1.767160690671323e-10
139	7.32674007940336e-11
140	2.986588365841791e-11
141	1.1969666598939937e-11
142	4.71675000473376e-12
143	1.8275511482123646e-12
144	6.962634140862747e-13
145	2.608351632539459e-13
146	9.608555168882892e-14
147	3.4806467560304075e-14
148	1.2398864147473875e-14
149	4.34343932993159e-15
150	1.4963216721432967e-15
151	5.069493574717741e-16
152	1.689122900173104e-16
153	5.535071484244487e-17
154	1.7838501104058353e-17
155	5.6542372530624176e-18
156	1.7626951153664184e-18
157	5.404734880323302e-19
158	1.6299401947182448e-19
159	4.8347566465625705e-20
160	1.4105496114173196e-20
161	4.04778606196731e-21
162	1.1425266186145412e-21
163	3.172037784260597e-22
164	8.662370965233769e-23
165	2.3268278292350755e-23
166	6.147844715486998e-24
167	1.597770130294692e-24
168	4.0845060370574007e-25
169	1.0270678874414108e-25
170	2.5403473612713143e-26
171	6.180460493380558e-27
172	1.479044390200103e-27
173	3.4815491386888223e-28
174	8.061066898947743e-29
175	1.835854867965305e-29
176	4.1125060530492515e-30
177	9.061354184976824e-31
178	1.9637824686738966e-31
179	4.1860279547026746e-32
180	8.776340904648943e-33
181	1.8097599698164708e-33
182	3.6704346236995764e-34
183	7.321419328186698e-35
184	1.43630260986235e-35
185	2.7711526627554856e-36
186	5.258102908827334e-37
187	9.811636839425195e-38
188	1.8004727466375864e-38
189	3.249021662636648e-39
190	5.7653702452947735e-40
191	1.0059982113796271e-40
192	1.7260317695310697e-41
193	2.9118390893694e-42
194	4.829894883440581e-43
195	7.876688624463253e-44
196	1.2628989123964074e-44
197	1.990649850049029e-45
198	3.084638161605531e-46
199	4.6986982191209755e-47
200	7.035499990123255e-48
201	1.0354658439545387e-48
202	1.4978850121228242e-49
203	2.1296131342155854e-50
204	2.9756326365246446e-51
205	4.085923363376834e-52
206	5.513260358792771e-53
207	7.309848136425302e-54
208	9.522764643833153e-55
209	1.2188350747095588e-55
210	1.532588076116727e-56
211	1.8931062769226204e-57
212	2.2970109738934743e-58
213	2.7375252349828403e-59
214	3.204259060538297e-60
215	3.683307141287158e-61
216	4.1577119641057e-62
217	4.6083053135127437e-63
218	5.0148919650441514e-64
219	5.357687413654649e-65
220	5.618875379076908e-66
221	5.784119323106343e-67
222	5.843852435060284e-68
223	5.794186335778484e-69
224	5.637319533698571e-70
225	5.381387165086673e-71
226	5.039764559346967e-72
227	4.629907223474571e-73
228	4.171867444480187e-74
229	3.6866636360082495e-75
230	3.1946876509729075e-76
231	2.7143173770606434e-77
232	2.260861661775961e-78
233	1.845910227206399e-79
234	1.4771027216160821e-80
235	1.158278065929654e-81
236	8.899252991218478e-83
237	6.698344316635793e-84
238	4.9384099879390644e-85
239	3.565685422308896e-86
240	2.5209449914567744e-87
241	1.7449144650223327e-88
242	1.1822217461172102e-89
243	7.838968170034295e-91
244	5.0859557374516046e-92
245	3.2281659711750404e-93
246	2.0041112923796564e-94
247	1.2166921447082071e-95
248	7.22170283128662e-97
249	4.18988923127574e-98
250	2.3755826753224056e-99
251	1.3159507207047538e-100
252	7.120402204650488e-102
253	3.7623101262244164e-103
254	1.940776691469158e-104
255	9.771224731336474e-106
256	4.800119276409835e-107
257	2.30015521633618e-108
258	1.0748106275611682e-109
259	4.895971828624175e-111
260	2.1733768591287455e-112
261	9.398782873313122e-114
262	3.958164632477067e-115
263	1.6227085808600159e-116
264	6.473566670739739e-118
265	2.5120476647990354e-119
266	9.477861318036837e-121
267	3.475361158675663e-122
268	1.2379321662749028e-123
269	4.281460782895204e-125
270	1.4370315271042696e-126
271	4.678322903933115e-128
272	1.4764632889417968e-129
273	4.514508185627434e-131
274	1.3365561243064648e-132
275	3.8288855974915805e-134
276	1.060645364149084e-135
277	2.839018789051353e-137
278	7.337300513668956e-139
279	1.8294668370118946e-140
280	4.397055684933849e-142
281	1.0177811238713655e-143
282	2.266638426253656e-145
283	4.851746248302722e-147
284	9.970655836098542e-149
285	1.9649300264481025e-150
286	3.7086720807381952e-152
287	6.694931465012833e-154
288	1.1542283746772751e-155
289	1.897423500548666e-157
290	2.9690224122023324e-159
291	4.413894515693058e-161
292	6.22150960954632e-163
293	8.295705197433566e-165
294	1.0437865220531148e-166
295	1.2358631614622594e-168
296	1.372748817543297e-170
297	1.4255173700734692e-172
298	1.3785387535300187e-174
299	1.2359474605463314e-176
300	1.0221111809021546e-178
301	7.750681723434474e-181
302	5.3518356504743824e-183
303	3.3372327253288014e-185
304	1.860501916021439e-187
305	9.158881313018352e-190
306	3.919112883388257e-192
307	1.4279567140868343e-194
308	4.307184626608671e-197
309	1.0325188986029804e-199
310	1.844180881864141e-202
311	2.18152945191117e-205
312	1.2818450471066958e-208
