k	pvalue
0	1.0000000000774254
1	1.0000000000774254
2	1.0000000000774254
3	1.0000000000774254
4	1.0000000000774254
5	1.0000000000774254
6	1.0000000000774254
7	1.0000000000774254
8	1.0000000000774254
9	1.0000000000774254
10	1.0000000000774254
11	1.0000000000774254
12	1.0000000000774254
13	1.0000000000774254
14	1.0000000000774254
15	1.0000000000774254
16	1.0000000000774254
17	1.0000000000774254
18	1.0000000000774254
19	1.0000000000774254
20	1.0000000000774254
21	1.0000000000774254
22	1.0000000000774254
23	1.0000000000774254
24	1.0000000000774254
25	1.0000000000774254
26	1.0000000000774254
27	1.0000000000774254
28	1.0000000000774254
29	1.0000000000774254
30	1.0000000000774254
31	1.0000000000774254
32	1.0000000000774254
33	1.0000000000774254
34	1.0000000000774254
35	1.0000000000774254
36	1.0000000000774254
37	1.0000000000774254
38	1.0000000000774254
39	1.0000000000774254
40	1.0000000000774254
41	1.0000000000774254
42	1.0000000000774254
43	1.0000000000774254
44	1.0000000000774254
45	1.0000000000774254
46	1.0000000000774254
47	1.0000000000774254
48	1.0000000000774254
49	1.0000000000774254
50	1.0000000000774254
51	1.0000000000774254
52	1.0000000000774254
53	1.0000000000774254
54	1.0000000000774254
55	1.0000000000774254
56	1.0000000000774254
57	1.0000000000774254
58	1.0000000000774254
59	1.0000000000774254
60	1.0000000000774254
61	1.0000000000774254
62	1.0000000000774254
63	1.0000000000774254
64	1.0000000000774254
65	1.0000000000774254
66	1.0000000000774254
67	1.0000000000774254
68	1.0000000000774254
69	1.0000000000774252
70	1.0000000000774247
71	1.0000000000774227
72	1.0000000000774159
73	1.000000000077393
74	1.0000000000773184
75	1.0000000000770812
76	1.000000000076349
77	1.0000000000741505
78	1.0000000000677314
79	1.0000000000494949
80	0.9999999999990729
81	0.9999999998633603
82	0.9999999995076885
83	0.999999998599838
84	0.9999999963423924
85	0.999999990872763
86	0.9999999779566159
87	0.9999999482237573
88	0.999999881487708
89	0.9999997354067933
90	0.9999994235018809
91	0.999998773774847
92	0.9999974530826548
93	0.9999948330060078
94	0.9999897590613718
95	0.9999801656657035
96	0.9999624536718271
97	0.999930516045921
98	0.9998742627963867
99	0.9997774639217857
100	0.9996147079889791
101	0.9993472771007761
102	0.9989177829709557
103	0.998243511321413
104	0.9972085978245556
105	0.9956554148618514
106	0.9933758758823132
107	0.9901037333342892
108	0.9855093026061397
109	0.9791983108392507
110	0.9707166544109114
111	0.9595626630606515
112	0.9452079473392027
113	0.9271270334211739
114	0.9048348183664655
115	0.8779295404338929
116	0.8461376534909099
117	0.809355964498869
118	0.7676858788058933
119	0.7214547843832855
120	0.6712205725857798
121	0.617756980197476
122	0.5620196418521551
123	0.5050951424502615
124	0.4481375738069222
125	0.3922987591229761
126	0.3386591313974969
127	0.288166101808564
128	0.241585668441609
129	0.19947119425291035
130	0.16215104384714976
131	0.12973448088637568
132	0.10213323925736206
133	0.07909475463279757
134	0.06024231837636367
135	0.045117399186706125
136	0.03321996042046538
137	0.024043596063455186
138	0.01710349804980547
139	0.011956446947392018
140	0.008213027166432565
141	0.005543009542582588
142	0.0036752852591969863
143	0.0023938960516060514
144	0.0015316429529945183
145	0.0009625427425807701
146	0.0005941110216143215
147	0.0003601450455003747
148	0.00021440191706759384
149	0.0001253435846365178
150	7.195816638820015e-05
151	4.0564501469715064e-05
152	2.2453542244808347e-05
153	1.2203424234968273e-05
154	6.512126667689034e-06
155	3.411889680743794e-06
156	1.7550330087400828e-06
157	8.86300996125594e-07
158	4.3941057489343247e-07
159	2.1386557309377224e-07
160	1.0218335899012124e-07
161	4.792654711149479e-08
162	2.2065633340575546e-08
163	9.972139829623055e-09
164	4.423633917207905e-09
165	1.9260860442475415e-09
166	8.231222208106624e-10
167	3.4524796414302946e-10
168	1.4212210558766955e-10
169	5.741704985085492e-11
170	2.2764248415359982e-11
171	8.856922090230665e-12
172	3.3815251776966165e-12
173	1.2668502183207558e-12
174	4.656961011409027e-13
175	1.679676779227169e-13
176	5.943947199430742e-14
177	2.063620301790332e-14
178	7.0286018585939765e-15
179	2.3483899116448396e-15
180	7.696805140648582e-16
181	2.474376499877221e-16
182	7.802092628553027e-17
183	2.412795348103581e-17
184	7.317571164515472e-18
185	2.1763186074104284e-18
186	6.346845687174238e-19
187	1.814859994789939e-19
188	5.0879950355777585e-20
189	1.3984149496499958e-20
190	3.767710473565942e-21
191	9.950297996642789e-22
192	2.57558265538937e-22
193	6.53368452459813e-23
194	1.6242211804935283e-23
195	3.956363643284365e-24
196	9.44211995620926e-25
197	2.2076076249421355e-25
198	5.056017677125132e-26
199	1.1341834670771398e-26
200	2.4917138474603625e-27
201	5.360478754760244e-28
202	1.129141256789635e-28
203	2.328515934176495e-29
204	4.700472628050864e-30
205	9.287064651008682e-31
206	1.7956899076724639e-31
207	3.397343340853379e-32
208	6.288397305805391e-33
209	1.1385916576017011e-33
210	2.0163055056736586e-34
211	3.4916885419182957e-35
212	5.91198865639538e-36
213	9.785347158106338e-37
214	1.583020240360239e-37
215	2.5025607372492763e-38
216	3.865345014784463e-39
217	5.8319262389307965e-40
218	8.593449174738593e-41
219	1.236411938836749e-41
220	1.7366176711935878e-42
221	2.380632260963237e-43
222	3.1843853596139083e-44
223	4.155262886053764e-45
224	5.288121451608437e-46
225	6.561765367018876e-47
226	7.936670445321302e-48
227	9.354742927643782e-49
228	1.0741723127819882e-49
229	1.2012471265681994e-50
230	1.3078849402153172e-51
231	1.3859335094951816e-52
232	1.428900496118784e-53
233	1.4328251257196102e-54
234	1.3968646881140317e-55
235	1.32347839799328e-56
236	1.2181613861954625e-57
237	1.0887660139013541e-58
238	9.445263240801082e-60
239	7.949550711056699e-61
240	6.487986658761999e-62
241	5.132110267502397e-63
242	3.932509543374776e-64
243	2.9173531444531667e-65
244	2.0941074515611547e-66
245	1.453555976121031e-67
246	9.750014336623914e-69
247	6.315706294814516e-70
248	3.947913583182325e-71
249	2.37963443251499e-72
250	1.381968157689001e-73
251	7.726058733064684e-75
252	4.154262074229766e-76
253	2.1462681509790142e-77
254	1.0643356835122481e-78
255	5.060546202310143e-80
256	2.304230281864835e-81
257	1.0034875177957992e-82
258	4.174088303398479e-84
259	1.6558993731107998e-85
260	6.255116478809183e-87
261	2.2460179168689524e-88
262	7.651514467387609e-90
263	2.4679787994933685e-91
264	7.51988135501631e-93
265	2.1590890568890666e-94
266	5.8252815581928425e-96
267	1.472343125663587e-97
268	3.474104834527984e-99
269	7.622898374989646e-101
270	1.5484866040361407e-102
271	2.8972413443469523e-104
272	4.963357760321167e-106
273	7.731342132290925e-108
274	1.0859745093685623e-109
275	1.3617773668726745e-111
276	1.505637419597808e-113
277	1.4448546181512527e-115
278	1.1788636773485613e-117
279	7.950698901606325e-120
280	4.255215818049069e-122
281	1.6942783547327836e-124
282	4.46111420668466e-127
283	5.825854589440108e-130
