k	pvalue
0	1.0000000001654046
1	1.0000000001654046
2	1.0000000001654046
3	1.0000000001654046
4	1.0000000001654046
5	1.0000000001654046
6	1.0000000001654046
7	1.0000000001654046
8	1.0000000001654046
9	1.0000000001654046
10	1.0000000001654046
11	1.0000000001654046
12	1.0000000001654046
13	1.0000000001654046
14	1.0000000001654046
15	1.0000000001654046
16	1.0000000001654046
17	1.0000000001654046
18	1.0000000001654046
19	1.0000000001654046
20	1.0000000001654046
21	1.0000000001654046
22	1.0000000001654046
23	1.0000000001654046
24	1.0000000001654046
25	1.0000000001654044
26	1.000000000165403
27	1.000000000165396
28	1.0000000001653615
29	1.000000000165202
30	1.0000000001645064
31	1.0000000001616283
32	1.000000000150331
33	1.0000000001081948
34	0.9999999999586536
35	0.99999999945298
36	0.9999999978217136
37	0.9999999927955923
38	0.9999999779883918
39	0.9999999362345914
40	0.9999998234296185
41	0.9999995311673622
42	0.9999988043734251
43	0.9999970681479469
44	0.9999930806430615
45	0.9999842696726744
46	0.9999655246867826
47	0.9999271024890255
48	0.9998511751436082
49	0.999706430119105
50	0.999440077448448
51	0.998966701868542
52	0.9981537086153802
53	0.9968037284486794
54	0.9946353006220295
55	0.9912643784001143
56	0.986190506960464
57	0.9787925781233471
58	0.9683394462549518
59	0.9540199762192338
60	0.934995017262793
61	0.9104703832839154
62	0.8797855932527748
63	0.8425086992930328
64	0.7985240682114306
65	0.7480985398750375
66	0.6919126935602312
67	0.631048147350742
68	0.5669283109551948
69	0.5012175829822207
70	0.43569104409010884
71	0.3720917089103755
72	0.31199427920759254
73	0.2566927435614943
74	0.2071245590803427
75	0.16383764572922094
76	0.12699947152266816
77	0.09644150238193538
78	0.07172825024487468
79	0.052238529232123646
80	0.03724719704694045
81	0.02599804800489803
82	0.017761838522366652
83	0.011876867014501653
84	0.007772470977118451
85	0.004977878747442992
86	0.0031199625896280764
87	0.0019136931723287502
88	0.0011487255100733947
89	0.0006748214641333878
90	0.0003879730575785482
91	0.00021830761528125509
92	0.0001202286878809375
93	6.480951136574116e-05
94	3.419654179726382e-05
95	1.7662873626132632e-05
96	8.931007420422885e-06
97	4.421042112069002e-06
98	2.1426930412386747e-06
99	1.016793999154245e-06
100	4.724662014046579e-07
101	2.1498127145837518e-07
102	9.579661255124342e-08
103	4.1806800350128005e-08
104	1.7869753035534473e-08
105	7.48156580670567e-09
106	3.06828781401615e-09
107	1.2326972195314838e-09
108	4.851770576645194e-10
109	1.8709150669901632e-10
110	7.068771537432546e-11
111	2.616950718612418e-11
112	9.493669192768606e-12
113	3.375082185776668e-12
114	1.1759005169319816e-12
115	4.0152864196012815e-13
116	1.3438333579210724e-13
117	4.408389063808234e-14
118	1.4175622545977089e-14
119	4.4684163720622686e-15
120	1.3808145710952241e-15
121	4.1831910308122746e-16
122	1.2424829119948875e-16
123	3.618284586081229e-17
124	1.0331494865578057e-17
125	2.8926088742445706e-18
126	7.941448452157041e-19
127	2.1380109083892934e-19
128	5.644642115839171e-20
129	1.4614861195683294e-20
130	3.7110741332803046e-21
131	9.241989137824411e-22
132	2.2573857275336437e-22
133	5.40796126136604e-23
134	1.2707531423685843e-23
135	2.9288717166850607e-24
136	6.621587549079431e-25
137	1.4684425579124692e-25
138	3.194439504929225e-26
139	6.816860546920529e-27
140	1.4270352945693272e-27
141	2.9305792284838215e-28
142	5.904021182279062e-29
143	1.1668757842323548e-29
144	2.2625051235964802e-30
145	4.303759867134776e-31
146	8.031647592859563e-32
147	1.470494452151431e-32
148	2.6413599439033463e-33
149	4.654787830452447e-34
150	8.04789468457394e-35
151	1.3651365173997033e-35
152	2.2718618897134696e-36
153	3.7093666840195222e-37
154	5.941948398939974e-38
155	9.338300215115607e-39
156	1.4398409345030538e-39
157	2.1780412892448586e-40
158	3.232355195873736e-41
159	4.7061870099382724e-42
160	6.722200290719813e-43
161	9.419767509615826e-44
162	1.2949379361473932e-44
163	1.7463471479183413e-45
164	2.3103465436037485e-46
165	2.9983332707094263e-47
166	3.817064010856353e-48
167	4.766674515824712e-49
168	5.838846134640136e-50
169	7.015396191670108e-51
