k	pvalue
0	0.9999999862947685
1	0.9999999862947669
2	0.9999999862947504
3	0.9999999862946521
4	0.9999999862942343
5	0.9999999862928007
6	0.9999999862885944
7	0.9999999862776395
8	0.9999999862516888
9	0.9999999861947914
10	0.9999999860778311
11	0.9999999858501868
12	0.9999999854274303
13	0.9999999846737186
14	0.999999983377241
15	0.999999981216763
16	0.9999999777169675
17	0.9999999721899332
18	0.9999999636597178
19	0.9999999507666409
20	0.9999999316474867
21	0.9999999037874848
22	0.9999998638395915
23	0.9999998074062773
24	0.9999997287787592
25	0.9999996206283915
26	0.9999994736447578
27	0.9999992761149075
28	0.9999990134381437
29	0.9999986675708152
30	0.9999982163956913
31	0.9999976330107073
32	0.999996884932175
33	0.9999959332079349
34	0.9999947314364124
35	0.9999932246881026
36	0.9999913483266629
37	0.9999890267275248
38	0.9999861718927433
39	0.999982681961682
40	0.9999784396180671
41	0.9999733103949378
42	0.9999671408800546
43	0.9999597568253961
44	0.999950961165465
45	0.9999405319502318
46	0.999928220199646
47	0.9999137476877434
48	0.9998968046654473
49	0.9998770475322067
50	0.9998540964676081
51	0.9998275330350415
52	0.9997968977703788
53	0.9997616877694283
54	0.9997213542886428
55	0.9996753003741962
56	0.9996228785350649
57	0.9995633884761769
58	0.9994960749080015
59	0.9994201254491497
60	0.999334668638629
61	0.999238772074349
62	0.9991314406943068
63	0.9990116152165831
64	0.9988781707538626
65	0.9987299156176564
66	0.998565590326741
67	0.9983838668335617
68	0.9981833479814665
69	0.9979625672046468
70	0.9977199884815913
71	0.997454006551679
72	0.997162947403297
73	0.9968450690405409
74	0.9964985625341792
75	0.9961215533611244
76	0.9957121030351817
77	0.9952682110303362
78	0.9947878169963186
79	0.994268803264646
80	0.9937089976418104
81	0.9931061764847564
82	0.9924580680522932
83	0.9917623561246217
84	0.9910166838817254
85	0.9902186580300051
86	0.9893658531652182
87	0.9884558163585404
88	0.98748607195139
89	0.9864541265435698
90	0.9853574741582743
91	0.9841936015666017
92	0.9829599937533942
93	0.98165413950552
94	0.9802735371030998
95	0.9788157000936729
96	0.9772781631289087
97	0.975658487843172
98	0.9739542687530739
99	0.9721631391570602
100	0.9702827770141236
101	0.9683109107808524
102	0.9662453251862694
103	0.9640838669242362
104	0.96182445024363
105	0.9594650624170064
106	0.9570037690690654
107	0.9544387193469115
108	0.9517681509148517
109	0.9489903947573
110	0.9461038797742362
111	0.9431071371546123
112	0.9399988045140912
113	0.9367776297845409
114	0.9334424748437798
115	0.9299923188751832
116	0.9264262614478879
117	0.9227435253094903
118	0.918943458884298
119	0.9150255384713658
120	0.9109893701377296
121	0.9068346913034124
122	0.902561372015945
123	0.8981694159132839
124	0.8936589608751372
125	0.8890302793638053
126	0.8842837784567156
127	0.8794199995738647
128	0.8744396179043818
129	0.8693434415373809
130	0.8641324103031851
131	0.8588075943318718
132	0.8533701923369005
133	0.8478215296323516
134	0.8421630558930158
135	0.836396342667225
136	0.8305230806529206
137	0.8245450767479908
138	0.8184642508863998
139	0.8122826326720528
140	0.8060023578227149
141	0.7996256644366111
142	0.7931548890945919
143	0.7865924628109487
144	0.7799409068461091
145	0.7732028283945314
146	0.7663809161611657
147	0.7594779358398301
148	0.7524967255068016
149	0.745440190942811
150	0.7383113008964919
151	0.7311130823021362
152	0.7238486154643877
153	0.716521029222237
154	0.7091334961043847
155	0.7016892274877053
156	0.6941914687701913
157	0.6866434945693626
158	0.679048603956725
159	0.6714101157384255
160	0.6637313637918038
161	0.6560156924670741
162	0.6482664520628945
163	0.6404869943840851
164	0.6326806683892658
165	0.6248508159356723
166	0.6170007676279017
167	0.6091338387768317
168	0.6012533254744399
