k	pvalue
0	1.0000000001666258
1	1.0000000001666258
2	1.0000000001666258
3	1.0000000001666258
4	1.0000000001666258
5	1.0000000001666258
6	1.0000000001666258
7	1.0000000001666258
8	1.0000000001666258
9	1.0000000001666258
10	1.0000000001666258
11	1.0000000001666258
12	1.0000000001666258
13	1.0000000001666258
14	1.0000000001666258
15	1.0000000001666258
16	1.0000000001666258
17	1.0000000001666258
18	1.0000000001666258
19	1.0000000001666258
20	1.0000000001666258
21	1.0000000001666258
22	1.0000000001666258
23	1.0000000001666258
24	1.0000000001666258
25	1.0000000001666258
26	1.0000000001666258
27	1.0000000001666258
28	1.0000000001666258
29	1.0000000001666258
30	1.0000000001666258
31	1.0000000001666256
32	1.000000000166625
33	1.0000000001666214
34	1.0000000001666054
35	1.0000000001665377
36	1.0000000001662612
37	1.0000000001651883
38	1.0000000001612057
39	1.0000000001470597
40	1.0000000000989357
41	0.9999999999419762
42	0.9999999994507214
43	0.9999999979740207
44	0.9999999937072472
45	0.9999999818477868
46	0.9999999501149693
47	0.9999998683183506
48	0.9999996650661208
49	0.999999177890734
50	0.999998050823925
51	0.9999955326785833
52	0.9999900961678959
53	0.9999787486935272
54	0.9999558379500991
55	0.999911071512455
56	0.9998263793817199
57	0.999671174121685
58	0.9993955414457514
59	0.9989209754006083
60	0.9981285137044984
61	0.9968445787051224
62	0.9948255045424951
63	0.9917425900299878
64	0.9871704383619645
65	0.9805821227374448
66	0.9713550816404988
67	0.9587913199317216
68	0.9421542656943908
69	0.9207224652009554
70	0.8938573820353524
71	0.8610793498339662
72	0.8221428620925979
73	0.7771005898745741
74	0.7263454114027577
75	0.6706216316456307
76	0.6110003512615736
77	0.5488190422018832
78	0.48559087313030413
79	0.42289412081449085
80	0.36225513121378944
81	0.305039131882826
82	0.252361619910619
83	0.2050294482748976
84	0.16351590176533898
85	0.1279689780123335
86	0.09824770918239285
87	0.07397836463971906
88	0.05462108513705466
89	0.039537854112047174
90	0.028054347220697072
91	0.01951058354890728
92	0.0132978731165357
93	0.008881852353567593
94	0.005813124039906805
95	0.0037280537133988502
96	0.002342657755824757
97	0.0014423882665334869
