k	pvalue
0	0.999999999992654
1	0.999922786027179
2	0.9990569301146577
3	0.9944495009454453
4	0.9788326204259621
5	0.9406894554107934
6	0.8687543386105517
7	0.759223441435462
8	0.6202920822233663
9	0.47003942376424235
10	0.3289835731898113
11	0.21238402209043067
12	0.12652835419246256
13	0.06967374931390113
14	0.03554088502867606
15	0.016836422227784437
16	0.007425953987645845
17	0.0030572761456402757
18	0.001177733308878186
19	0.0004254752133338302
20	0.00014445420319690458
21	4.618014527816321e-05
22	1.3925756960528436e-05
23	3.967545899163489e-06
24	1.069552882530737e-06
25	2.731732646119314e-07
26	6.618413346258449e-08
27	1.522732908935891e-08
28	3.3302491916635856e-09
29	6.929478723213503e-10
30	1.3729204574647928e-10
31	2.591953576570544e-11
32	4.665854776488641e-12
33	8.013355853077412e-13
34	1.313736996351616e-13
35	2.0569400933138253e-14
36	3.077098655562729e-15
37	4.3998300383233465e-16
38	6.0152773303221e-17
39	7.865659464339444e-18
40	9.839974336935315e-19
41	1.1779802230426137e-19
42	1.3497716894677178e-20
43	1.4806145168558983e-21
44	1.5550804085153937e-22
45	1.5640545596736288e-23
46	1.5065651048642258e-24
47	1.3899516348323073e-25
48	1.228333820649996e-26
49	1.0398189903095567e-27
50	8.432066093812243e-29
51	6.550073356684159e-30
52	4.874003816569854e-31
53	3.47404398467954e-32
54	2.3717403997233495e-33
55	1.5507588630577165e-34
56	9.71000763890087e-36
57	5.821510162605278e-37
58	3.3413695875048906e-38
59	1.835722740306197e-39
60	9.651456259466303e-41
61	4.854888636796555e-42
62	2.3358840666757273e-43
63	1.0746835589084593e-44
64	4.726340962547973e-46
65	1.9862217530531263e-47
66	7.972897897828956e-49
67	3.0556347721634307e-50
68	1.1175753240960656e-51
69	3.8986726725187917e-53
70	1.2965092739889331e-54
71	4.107578792459467e-56
72	1.2389583065442277e-57
73	3.555262857504467e-59
74	9.698111024076238e-61
75	2.51263361931622e-62
76	6.177192174806053e-64
77	1.4395618377164928e-65
78	3.176614005088877e-67
79	6.629292646135733e-69
80	1.3066625461310074e-70
81	2.428977778117757e-72
82	4.25164109787288e-74
83	6.99523969926884e-76
84	1.0797496584291562e-77
85	1.5602345123546998e-79
86	2.1055798810748174e-81
87	2.6467793568642064e-83
88	3.0898494550664976e-85
89	3.3386817929531513e-87
90	3.3264349389742865e-89
91	3.0427117841044926e-91
92	2.5423943511580693e-93
93	1.9292561873821662e-95
94	1.320429726145246e-97
95	8.084494666392734e-100
96	4.384031605424837e-102
97	2.0797749161150574e-104
98	8.497142844996329e-107
99	2.9289894398616065e-109
100	8.28215618931633e-112
101	1.844358825757321e-114
102	3.0326128077757165e-117
103	3.272839561656843e-120
104	1.738786510931019e-123
