k	pvalue
0	1.0000000005566614
1	1.0000000005566614
2	1.0000000005566614
3	1.0000000005566614
4	1.0000000005566614
5	1.0000000005566614
6	1.0000000005566614
7	1.0000000005566614
8	1.0000000005566614
9	1.0000000005566614
10	1.0000000005566614
11	1.0000000005566614
12	1.0000000005566614
13	1.0000000005566614
14	1.0000000005566614
15	1.0000000005566614
16	1.0000000005566614
17	1.0000000005566614
18	1.0000000005566614
19	1.0000000005566614
20	1.0000000005566614
21	1.0000000005566614
22	1.0000000005566614
23	1.0000000005566614
24	1.0000000005566614
25	1.0000000005566614
26	1.0000000005566614
27	1.0000000005566614
28	1.0000000005566614
29	1.0000000005566614
30	1.0000000005566614
31	1.0000000005566614
32	1.0000000005566614
33	1.0000000005566614
34	1.0000000005566614
35	1.0000000005566614
36	1.0000000005566614
37	1.0000000005566614
38	1.0000000005566614
39	1.0000000005566614
40	1.0000000005566614
41	1.0000000005566614
42	1.0000000005566614
43	1.0000000005566614
44	1.0000000005566614
45	1.0000000005566614
46	1.0000000005566614
47	1.0000000005566614
48	1.0000000005566614
49	1.0000000005566614
50	1.0000000005566614
51	1.0000000005566614
52	1.0000000005566614
53	1.0000000005566614
54	1.0000000005566614
55	1.0000000005566614
56	1.0000000005566614
57	1.0000000005566614
58	1.0000000005566614
59	1.0000000005566614
60	1.0000000005566614
61	1.0000000005566614
62	1.0000000005566612
63	1.000000000556661
64	1.0000000005566605
65	1.0000000005566592
66	1.0000000005566563
67	1.00000000055665
68	1.0000000005566363
69	1.0000000005566063
70	1.000000000556543
71	1.00000000055641
72	1.0000000005561351
73	1.000000000555574
74	1.0000000005544445
75	1.0000000005522007
76	1.0000000005478007
77	1.0000000005392828
78	1.000000000523001
79	1.0000000004922651
80	1.000000000434954
81	1.000000000329383
82	1.0000000001372338
83	0.9999999997916224
84	0.99999999917721
85	0.9999999980974695
86	0.999999996221481
87	0.999999992998523
88	0.9999999875226474
89	0.9999999783205556
90	0.9999999630233628
91	0.9999999378647877
92	0.9999998969231569
93	0.999999830990054
94	0.9999997259017211
95	0.9999995601071482
96	0.9999993011654063
97	0.9999989007600821
98	0.9999982876863566
99	0.9999973581021884
100	0.9999959621356718
101	0.9999938857035507
102	0.9999908261207308
103	0.9999863597698802
104	0.9999798997602775
105	0.9999706411473044
106	0.9999574909258646
107	0.9999389796769004
108	0.9999131514680459
109	0.9998774284268946
110	0.9998284463651171
111	0.9997618579862518
112	0.9996721006152841
113	0.9995521261000372
114	0.9993930916042827
115	0.9991840114817778
116	0.9989113723144379
117	0.9985587155191922
118	0.9981061946503507
119	0.9975301175865111
120	0.9968024870934405
121	0.9958905566566858
122	0.9947564218000761
123	0.9933566701339003
124	0.991642115867738
125	0.9895576462214037
126	0.9870422078179136
127	0.9840289605089748
128	0.9804456239700914
129	0.9762150386731349
130	0.9712559574428533
131	0.9654840767696605
132	0.9588133085304149
133	0.9511572830196064
134	0.9424310635818459
135	0.9325530421264141
136	0.9214469739368655
137	0.9090441000540911
138	0.8952852967166045
139	0.8801231844717321
140	0.863524125148656
141	0.845470033331391
142	0.8259599305750231
143	0.8050111754989652
144	0.7826603110153671
145	0.7589634810736618
146	0.7339963830103989
147	0.7078537373148516
148	0.6806482736542195
149	0.6525092495567444
150	0.6235805353920686
151	0.5940183153867112
152	0.5639884685944209
153	0.5336637053328286
154	0.5032205430651402
155	0.47283621068348514
156	0.44268557146116616
157	0.4129381525999001
158	0.3837553635076593
159	0.35528797607463797
160	0.3276739287826349
161	0.30103650310699587
162	0.27548290603742354
163	0.2511032773670905
164	0.22797012537600758
165	0.20613818030971034
166	0.18564464218971233
167	0.1665097884420093
168	0.1487378979251933
169	0.13231844138104853
170	0.11722748418916228
171	0.10342924553351163
172	0.09087775852726739
173	0.07951857824900303
174	0.06929048871063016
175	0.06012716515407109
176	0.05195875438993779
177	0.04471334277905903
178	0.03831828856838837
179	0.03270140231331757
180	0.027791965781200807
181	0.023521585821153122
182	0.019824885043876937
183	0.01664003567872815
184	0.013909146611872878
185	0.01157851635415465
186	0.009598766574533135
187	0.007924871930372699
188	0.006516102318173846
189	0.005335893461183743
190	0.004351661054766644
191	0.003534572618456935
192	0.002859289862799376
193	0.0023036928683372684
194	0.0018485957808352387
195	0.0014774621250925753
