k	pvalue
0	1.0000000000760831
1	1.0000000000760831
2	1.0000000000760831
3	1.0000000000760831
4	1.0000000000760831
5	1.0000000000760831
6	1.0000000000760831
7	1.0000000000760831
8	1.0000000000760831
9	1.0000000000760831
10	1.0000000000760831
11	1.0000000000760831
12	1.0000000000760831
13	1.0000000000760831
14	1.0000000000760831
15	1.0000000000760831
16	1.0000000000760831
17	1.0000000000760831
18	1.0000000000760831
19	1.0000000000760831
20	1.0000000000760831
21	1.0000000000760831
22	1.0000000000760831
23	1.0000000000760831
24	1.0000000000760831
25	1.0000000000760831
26	1.0000000000760831
27	1.0000000000760831
28	1.000000000076083
29	1.0000000000760825
30	1.000000000076081
31	1.0000000000760743
32	1.0000000000760498
33	1.0000000000759615
34	1.0000000000756566
35	1.000000000074644
36	1.0000000000714124
37	1.0000000000614804
38	1.0000000000320595
39	0.9999999999479807
40	0.9999999997159621
41	0.9999999990971665
42	0.9999999975008518
43	0.9999999935144536
44	0.9999999838703485
45	0.9999999612511942
46	0.9999999097846763
47	0.9999997961016257
48	0.9999995521710686
49	0.9999990434232144
50	0.9999980114671441
51	0.999995974476378
52	0.9999920595428985
53	0.9999847296565176
54	0.9999713535413326
55	0.9999475502051817
56	0.9999062236555687
57	0.9998361901240049
58	0.9997202951524031
59	0.9995329271671948
60	0.9992368644582466
61	0.9987794499369096
62	0.9980881764647239
63	0.9970658843362737
64	0.9955859147942066
65	0.9934877148546402
66	0.9905735273301907
67	0.9866068981177412
68	0.9813137608567006
69	0.9743867904763123
70	0.9654935348393128
71	0.9542885357494729
72	0.9404292543470469
73	0.9235951588817871
74	0.9035088697861647
75	0.8799578529843531
76	0.8528148729592269
77	0.8220553167713833
78	0.7877696119549433
79	0.7501692889266658
80	0.7095857543704563
81	0.6664614891920052
82	0.6213340854278813
83	0.5748142043448267
84	0.527559090806818
85	0.4802436517851732
86	0.43353126093445676
87	0.3880463786107244
88	0.3443507998409266
89	0.3029249084460401
90	0.2641547863817738
91	0.22832547131207007
92	0.19562013571398362
93	0.16612452800692354
94	0.13983570327206277
95	0.11667389184497716
96	0.09649630444734793
97	0.07911173457038852
98	0.06429496548305291
99	0.051800189619725226
100	0.041372872074640535
101	0.032759711577641196
102	0.025716552014948265
103	0.020014262671296357
104	0.015442729942608905
105	0.011813186888209887
106	0.008959153310550078
107	0.006736274235359909
108	0.0050213360096132255
109	0.0037107140669018126
110	0.0027184713426235663
111	0.0019742868263948675
112	0.0014213539874675049
113	0.0010143517048279772
114	0.000717557667415459
115	0.0005031468694006214
116	0.00034969602045176326
117	0.00024089816106652893
118	0.0001644799645305435
119	0.00011130641201685668
120	7.465298730956244e-05
121	4.962351530910654e-05
122	3.269159339722772e-05
123	2.134465874750447e-05
124	1.3811622259996658e-05
125	8.857307773419663e-06
126	5.629385169660276e-06
127	3.5458825483160356e-06
128	2.213579551051152e-06
129	1.3695496938568824e-06
130	8.398039787527269e-07
131	5.103900238417243e-07
132	3.074384235543216e-07
133	1.8354996218548512e-07
134	1.0861752118474603e-07
135	6.370959471377166e-08
136	3.704074388853666e-08
137	2.13469343272173e-08
138	1.2195055353534076e-08
139	6.906155285198171e-09
140	3.8770852214222925e-09
141	2.1577601351317344e-09
142	1.1905354095490136e-09
143	6.512315400509827e-10
144	3.531792336888682e-10
145	1.899040298957679e-10
146	1.012430214648608e-10
147	5.351806752798243e-11
