k	pvalue
0	1.0000000008161651
1	1.0000000008161651
2	1.0000000008161651
3	1.0000000008161651
4	1.0000000008161651
5	1.0000000008161647
6	1.0000000008161611
7	1.0000000008161247
8	1.0000000008158092
9	1.0000000008134795
10	1.0000000007985084
11	1.0000000007135936
12	1.0000000002835914
13	0.9999999983208729
14	0.999999990180771
15	0.9999999592947562
16	0.9999998514435341
17	0.9999995030550645
18	0.9999984572399385
19	0.9999955280077715
20	0.9999878450229137
21	0.9999689130467756
22	0.9999249558322876
23	0.9998285294527013
24	0.9996281945832834
25	0.9992331111004388
26	0.9984919827524027
27	0.9971670194921552
28	0.9949055301687275
29	0.9912141615014131
30	0.9854430758750418
31	0.9767886553250731
32	0.9643227318246689
33	0.9470532730019875
34	0.9240159413326342
35	0.8943888754959268
36	0.8576160455125356
37	0.8135195861171901
38	0.7623803303417875
39	0.7049691924035894
40	0.6425196924286971
41	0.5766421726847373
42	0.5091907487628228
43	0.4421023107195928
44	0.3772311051022278
45	0.31620186325034
46	0.26029959103314315
47	0.21040646534769408
48	0.16698772752746482
49	0.13012086977021753
50	0.09955709705620351
51	0.0748015893536545
52	0.055199340479666126
53	0.04001564107709077
54	0.028503690476186817
55	0.01995547331573263
56	0.01373523540283653
57	0.009297241776064228
58	0.006190880814343083
59	0.004056686310051554
60	0.002616700994472094
61	0.0016620533479585339
62	0.001039893663851529
63	0.0006411068983737641
64	0.00038959434349461404
65	0.00023344072500924146
66	0.00013796243895880116
67	8.044529494578442e-05
68	4.6294309005432855e-05
69	2.630082091803116e-05
70	1.4755329390365657e-05
71	8.176828802427595e-06
72	4.477038921616636e-06
73	2.4225642280568513e-06
74	1.295810473547239e-06
75	6.853105737126927e-07
76	3.584312141744049e-07
77	1.854317175579011e-07
78	9.490828064568952e-08
79	4.806654942212515e-08
80	2.4091969138402618e-08
81	1.1952504857378653e-08
82	5.870360394014498e-09
83	2.854611780809038e-09
84	1.374543692037844e-09
85	6.55462267633982e-10
86	3.095699757372271e-10
87	1.4482128447407046e-10
88	6.711276308977444e-11
89	3.0811316257236406e-11
90	1.4014504520770065e-11
91	6.315888764943493e-12
92	2.820358980519357e-12
93	1.247983219794001e-12
94	5.472253978375817e-13
95	2.3778979639599444e-13
96	1.0240089597423968e-13
97	4.370286346238946e-14
98	1.8485095660497993e-14
99	7.7490317047495e-15
100	3.2195386575921245e-15
101	1.325761063182459e-15
102	5.410852712354124e-16
103	2.1887542534016841e-16
104	8.775255844731618e-17
105	3.4870120195307104e-17
106	1.3733339080434087e-17
107	5.360741931736136e-18
108	2.073937369029838e-18
109	7.952125480105711e-19
110	3.021910052561551e-19
111	1.1381079983486382e-19
112	4.247966106486142e-20
113	1.57132256279765e-20
114	5.760055282145447e-21
115	2.0924467350491857e-21
116	7.532468111104709e-22
117	2.6869726869904206e-22
118	9.497722512313272e-23
119	3.326538155587144e-23
120	1.1544316594175658e-23
121	3.969464235610495e-24
122	1.352284817029185e-24
123	4.5641632784092285e-25
124	1.5261403473952763e-25
125	5.055349180115339e-26
126	1.6588756756011473e-26
127	5.392183892838553e-27
128	1.736143021808958e-27
129	5.5367849024085995e-28
130	1.7488888593456813e-28
131	5.471166394534043e-29
132	1.6950841140927442e-29
133	5.200875043135658e-30
134	1.5802122254137322e-30
135	4.754316126153367e-31
136	1.4163610750548484e-31
137	4.1778487880466006e-32
138	1.2201231726643892e-32
139	3.5278182293132906e-33
140	1.0098098143005607e-33
141	2.861429912340466e-34
142	8.026312365937128e-35
143	2.2285261363393239e-35
144	6.124455730469804e-36
145	1.6658841668286963e-36
146	4.4846563600054086e-37
147	1.1948138917131467e-37
148	3.150198125269335e-38
149	8.219055823355151e-39
150	2.121937371546738e-39
151	5.420633724709521e-40
152	1.3701084110885716e-40
153	3.4263196899488043e-41
154	8.477149573972849e-42
155	2.074923039135074e-42
156	5.0241862813417766e-43
157	1.203435248833666e-43
158	2.851378652095962e-44
159	6.682583739852839e-45
160	1.5490795471236525e-45
161	3.551612187488918e-46
162	8.053466316143078e-47
163	1.8060463929871826e-47
164	4.0054123371933326e-48
165	8.784592727790869e-49
166	1.905180684523746e-49
167	4.0857818927727847e-50
168	8.664096022460156e-51
169	1.8166248809258172e-51
170	3.766051841394665e-52
171	7.719189898800035e-53
172	1.5642535746651515e-53
173	3.1338516193676113e-54
174	6.206855292456798e-55
175	1.2152706976868916e-55
176	2.352172478443559e-56
177	4.500354854620917e-57
178	8.511238092706593e-58
179	1.5910880947864045e-58
180	2.9399403976096902e-59
181	5.3692437783432e-60
182	9.691827332275061e-61
183	1.729035756058859e-61
184	3.0485688204165485e-62
185	5.312144243907927e-63
186	9.147739270461661e-64
187	1.556740123695463e-64
188	2.617974168311437e-65
189	4.350609163442524e-66
190	7.144287665087111e-67
191	1.159259613906385e-67
192	1.8586782935283095e-68
