k	pvalue
0	1.000000000065549
1	1.000000000065549
2	1.000000000065549
3	1.000000000065549
4	1.000000000065549
5	1.000000000065549
6	1.000000000065549
7	1.000000000065549
8	1.000000000065549
9	1.000000000065549
10	1.000000000065549
11	1.000000000065549
12	1.000000000065549
13	1.000000000065549
14	1.000000000065549
15	1.000000000065549
16	1.000000000065549
17	1.000000000065549
18	1.000000000065549
19	1.000000000065549
20	1.000000000065549
21	1.000000000065549
22	1.000000000065549
23	1.000000000065549
24	1.000000000065549
25	1.000000000065549
26	1.000000000065549
27	1.000000000065549
28	1.000000000065549
29	1.000000000065549
30	1.000000000065549
31	1.000000000065549
32	1.000000000065549
33	1.000000000065549
34	1.000000000065549
35	1.000000000065549
36	1.000000000065549
37	1.000000000065549
38	1.000000000065549
39	1.000000000065549
40	1.000000000065549
41	1.000000000065549
42	1.000000000065549
43	1.000000000065549
44	1.000000000065549
45	1.000000000065549
46	1.000000000065549
47	1.000000000065549
48	1.000000000065549
49	1.000000000065549
50	1.000000000065549
51	1.000000000065549
52	1.000000000065549
53	1.000000000065549
54	1.000000000065549
55	1.000000000065549
56	1.000000000065549
57	1.000000000065549
58	1.000000000065549
59	1.000000000065549
60	1.000000000065549
61	1.000000000065549
62	1.000000000065549
63	1.0000000000655487
64	1.0000000000655482
65	1.0000000000655465
66	1.0000000000655411
67	1.0000000000655254
68	1.0000000000654796
69	1.0000000000653493
70	1.000000000064987
71	1.0000000000640028
72	1.0000000000613911
73	1.0000000000546143
74	1.0000000000374207
75	0.9999999999947567
76	0.9999999998911901
77	0.9999999996451909
78	0.9999999990733203
79	0.9999999977719448
80	0.999999994872353
81	0.9999999885455184
82	0.9999999750236996
83	0.999999946712122
84	0.9999998886286618
85	0.9999997718462804
86	0.9999995416949208
87	0.9999990970287583
88	0.9999982546450196
89	0.9999966896591995
90	0.999993837966152
91	0.9999887405187342
92	0.9999798007900392
93	0.9999644164131208
94	0.9999384339518298
95	0.9998953629700565
96	0.9998252737559324
97	0.9997132949183822
98	0.9995376263376721
99	0.9992669942465451
100	0.9988575036360776
101	0.9982488934923281
102	0.9973602758839165
103	0.9960855410629822
104	0.9942887335661555
105	0.9917998392416604
106	0.9884115543927661
107	0.9838777142565197
108	0.9779141133385838
109	0.9702024286114287
110	0.9603978361924036
111	0.9481406801455137
112	0.9330722102457369
113	0.9148539738130375
114	0.8931899642666405
115	0.8678501520650306
116	0.8386936193192778
117	0.8056892563204096
118	0.7689319154461166
119	0.7286520931193005
120	0.6852176309137904
121	0.6391265643671272
122	0.5909910398482309
123	0.5415130757414718
124	0.49145375900125315
125	0.4415981372990466
126	0.392718503125636
127	0.3455389129260772
128	0.3007036250804981
129	0.2587517007524273
130	0.22009935393626223
131	0.18503085049138054
132	0.15369794147861585
133	0.12612707097905235
134	0.1022330025962905
135	0.08183711460870197
136	0.06468844207980438
137	0.0504855851558582
138	0.038897820995250014
139	0.02958410031322144
140	0.02220901951887524
141	0.01645527928584078
142	0.012032523035744409
143	0.008682761042843169
144	0.0061828099279448235
145	0.004344309815685323
146	0.0030119305060158255
147	0.0020603594688382836
148	0.001390597847289561
149	0.0009259957568359243
150	0.0006083525046856076
151	0.0003943046073796811
152	0.0002521339351280912
153	0.00015905503769070037
154	9.898628192443232e-05
155	6.077286624663363e-05
156	3.6808490629885356e-05
157	2.1993129606791825e-05
158	1.2963568273459157e-05
159	7.538047863548243e-06
160	4.3240310351149556e-06
161	2.446884539820114e-06
162	1.3659425987880342e-06
163	7.522211765910987e-07
164	4.086513017748093e-07
165	2.1900536130300016e-07
166	1.1578481693703745e-07
167	6.038709035249917e-08
168	3.1069405586846513e-08
169	1.57695367859932e-08
170	7.895923549559132e-09
171	3.900190498933194e-09
172	1.9005026422387085e-09
173	9.135909250262517e-10
174	4.332479848753907e-10
175	2.0268592071096437e-10
176	9.354349264137886e-11
177	4.258995458968992e-11
178	1.91295564612786e-11
179	8.476316654455999e-12
180	3.70522249044468e-12
181	1.5978147399351334e-12
182	6.797411940361159e-13
183	2.852762793427005e-13
184	1.181115437887685e-13
185	4.8241764151380605e-14
186	1.943826627629658e-14
187	7.726709041606162e-15
188	3.0299346295190247e-15
189	1.1721209035913004e-15
190	4.473120473132091e-16
191	1.684015863633683e-16
192	6.254279884864736e-17
193	2.2914053721054163e-17
194	8.281666243265694e-18
195	2.952719377846619e-18
196	1.0385143699157745e-18
197	3.6031780544355325e-19
198	1.233214322352077e-19
199	4.1635857493517195e-20
200	1.386656283213997e-20
201	4.555525391951749e-21
202	1.476291685683331e-21
203	4.719167364986016e-22
204	1.4880354149232734e-22
205	4.6281853019358927e-23
206	1.419882531549674e-23
207	4.296676319142015e-24
208	1.2824648056146811e-24
209	3.7755882624889763e-25
210	1.0963358503327862e-25
211	3.1398983167380016e-26
212	8.869382613156629e-27
213	2.470982014060383e-27
214	6.7894782795330885e-28
215	1.8398641927204585e-28
216	4.9171026488491297e-29
217	1.2959796968261682e-29
218	3.3685537264653725e-30
219	8.634470760038906e-31
220	2.182555007252107e-31
221	5.440287167739148e-32
222	1.3371963247191608e-32
223	3.2409659095574245e-33
224	7.74548373392611e-34
225	1.8251808946196872e-34
226	4.240672019792718e-35
227	9.714548019760515e-36
228	2.1941030240577108e-36
229	4.885678708752836e-37
230	1.0725383640647665e-37
231	2.3211701865279698e-38
232	4.952142251467343e-39
233	1.0414935062227029e-39
234	2.1591473150525357e-40
235	4.412195341574011e-41
236	8.88705764199912e-42
237	1.764313204444022e-42
238	3.452160311626679e-43
239	6.657121902615247e-44
240	1.2651574522619366e-44
241	2.3694465281518407e-45
242	4.372952671787806e-46
243	7.95259634912181e-47
244	1.42504854891438e-47
245	2.516035028215665e-48
246	4.3767246429571926e-49
247	7.500771961027182e-50
248	1.2663828655336815e-50
249	2.1062212158005512e-51
250	3.4506414052093004e-52
251	5.568381399968035e-53
252	8.850488241016581e-54
253	1.3854466125903393e-54
254	2.1358524441727904e-55
255	3.2425413056136344e-56
256	4.8473668516868e-57
257	7.1351806127322e-58
258	1.0340813081983812e-58
259	1.4754559952200878e-59
260	2.0724792569908911e-60
261	2.865604461515637e-61
262	3.900079184890941e-62
263	5.224322323461543e-63
264	6.887368118671366e-64
265	8.93531853619041e-65
266	1.1406856354610353e-65
267	1.4328014515899216e-66
268	1.7706559870765774e-67
269	2.152651038988822e-68
270	2.5743436615457596e-69
271	3.028126999157631e-70
272	3.503132444505148e-71
