k	pvalue
0	1.0000000002081384
1	1.0000000002081384
2	1.0000000002081384
3	1.0000000002081384
4	1.0000000002081384
5	1.0000000002081384
6	1.0000000002081384
7	1.0000000002081384
8	1.0000000002081384
9	1.0000000002081384
10	1.0000000002081384
11	1.0000000002081384
12	1.0000000002081384
13	1.0000000002081384
14	1.0000000002081384
15	1.0000000002081384
16	1.0000000002081384
17	1.0000000002081384
18	1.0000000002081384
19	1.0000000002081384
20	1.0000000002081384
21	1.0000000002081384
22	1.0000000002081384
23	1.0000000002081384
24	1.0000000002081384
25	1.0000000002081384
26	1.0000000002081384
27	1.0000000002081384
28	1.0000000002081384
29	1.0000000002081384
30	1.0000000002081384
31	1.0000000002081384
32	1.0000000002081384
33	1.0000000002081384
34	1.0000000002081384
35	1.0000000002081384
36	1.0000000002081384
37	1.0000000002081384
38	1.0000000002081384
39	1.0000000002081384
40	1.0000000002081384
41	1.0000000002081384
42	1.0000000002081384
43	1.0000000002081384
44	1.0000000002081384
45	1.0000000002081384
46	1.0000000002081384
47	1.0000000002081384
48	1.0000000002081384
49	1.0000000002081384
50	1.0000000002081384
51	1.0000000002081384
52	1.0000000002081384
53	1.0000000002081384
54	1.0000000002081384
55	1.0000000002081384
56	1.0000000002081384
57	1.0000000002081384
58	1.0000000002081384
59	1.0000000002081384
60	1.0000000002081384
61	1.0000000002081384
62	1.0000000002081384
63	1.0000000002081384
64	1.0000000002081384
65	1.0000000002081384
66	1.0000000002081384
67	1.0000000002081384
68	1.0000000002081384
69	1.0000000002081384
70	1.0000000002081384
71	1.0000000002081384
72	1.0000000002081384
73	1.0000000002081384
74	1.0000000002081384
75	1.0000000002081384
76	1.0000000002081384
77	1.0000000002081384
78	1.0000000002081384
79	1.0000000002081384
80	1.0000000002081384
81	1.0000000002081382
82	1.000000000208138
83	1.0000000002081368
84	1.0000000002081337
85	1.000000000208125
86	1.000000000208102
87	1.0000000002080398
88	1.0000000002078777
89	1.0000000002074614
90	1.0000000002064136
91	1.0000000002038256
92	1.000000000197554
93	1.0000000001826352
94	1.000000000147801
95	1.000000000067951
96	0.9999999998882302
97	0.9999999994910107
98	0.9999999986287748
99	0.9999999967903815
100	0.9999999929398626
101	0.999999985016322
102	0.9999999689953866
103	0.9999999371627057
104	0.9999998750010816
105	0.9999997556898876
106	0.9999995305800119
107	0.9999991130322378
108	0.9999983515517475
109	0.9999969860442799
110	0.9999945780647254
111	0.9999904019281025
112	0.9999832783428106
113	0.9999713257391533
114	0.9999515968143664
115	0.9999195593962047
116	0.9998683723414183
117	0.999787900148333
118	0.9996634061774535
119	0.9994738663286606
120	0.9991898556656887
121	0.9987709829252609
122	0.9981628849054006
123	0.9972938462226969
124	0.9960711799081476
125	0.9943775882084745
126	0.9920678148941543
127	0.9889659907908296
128	0.9848641501040211
129	0.9795224407841833
130	0.9726715512228233
131	0.9640178131547774
132	0.9532513065472883
133	0.940057083912884
134	0.9241293565041329
135	0.9051881624303802
136	0.8829976973626907
137	0.8573851716029507
138	0.8282588069144481
139	0.7956234452656874
140	0.759592243933178
141	0.7203930969277046
142	0.6783687514406795
143	0.6339700578985956
144	0.5877423601757185
145	0.5403056389424041
146	0.4923295974259158
147	0.4445053568897186
148	0.39751575102145953
149	0.35200633508444706
150	0.3085591426218911
151	0.2676709417594401
152	0.22973730125732433
153	0.19504322866852097
154	0.16376055487657898
155	0.13595167740650013
156	0.11157879758035263
157	0.0905174369209398
158	0.07257281976035529
159	0.05749766482163586
160	0.04501002317034022
161	0.03481000388924646
162	0.02659450437633098
163	0.02006936940680352
164	0.014958705382335201
165	0.011011344129826439
166	0.008004664375298913
167	0.005746128864503011
168	0.0040729804465984955
169	0.00285056789503592
170	0.0019697531519629816
171	0.001343799610068693
172	0.0009050695927831005
173	0.0006017803871293822
174	0.0003949914912644241
175	0.00025592768916492644
176	0.0001636868499151341
177	0.00010333925538519622
178	6.43962704827317e-05
179	3.96085995537992e-05
180	2.4045942174435656e-05
181	1.4408154529541966e-05
182	8.520799781047092e-06
183	4.973354641427082e-06
184	2.8648874064337246e-06
185	1.6287223853369916e-06
186	9.138197591252459e-07
187	5.059887070187912e-07
188	2.764909556622503e-07
189	1.490987652310536e-07
