k	pvalue
0	1.0000000002173335
1	1.0000000002173335
2	1.0000000002173335
3	1.00000000021733
4	1.0000000002172764
5	1.0000000002166547
6	1.0000000002109724
7	1.0000000001682634
8	0.9999999998964757
9	0.9999999984001519
10	0.9999999911546336
11	0.9999999598919475
12	0.9999998384167984
13	0.9999994096218487
14	0.9999980244461707
15	0.9999939037189404
16	0.9999825535196689
17	0.9999534705637468
18	0.9998838597693724
19	0.9997276493102942
20	0.9993979183990221
21	0.9987413193577379
22	0.9975045676798596
23	0.9952957998557966
24	0.991547332621123
25	0.9854902533057066
26	0.976153897874317
27	0.9624029707001776
28	0.9430205816693498
29	0.9168367047220827
30	0.8828899626874668
31	0.8405991510698144
32	0.7899131560646562
33	0.7314069883198427
34	0.6662988701056664
35	0.5963775527070783
36	0.5238469024930242
37	0.4511116328913299
38	0.3805394809075515
39	0.31423837645419167
40	0.253881888182481
41	0.20060443842878573
42	0.15497295522999455
43	0.1170275753623429
44	0.08637373573623469
45	0.062303024582040796
46	0.043920457523914935
47	0.030260127549629822
48	0.02037758365736425
49	0.013413975262579309
50	0.008632578553386039
51	0.00543207186348537
52	0.003342740965326448
53	0.002011998490185432
54	0.0011847307706178453
55	0.0006825917970502558
56	0.00038488961553906137
57	0.00021243730366543354
58	0.00011479721408998113
59	6.0746987827677856e-05
60	3.148457006841222e-05
61	1.5985889860193646e-05
62	7.952939328838817e-06
63	3.877530780441865e-06
64	1.8531197499420936e-06
65	8.682706635162295e-07
66	3.9892540624594533e-07
67	1.797601275114658e-07
68	7.945823665991175e-08
69	3.445924046890111e-08
70	1.466457783868509e-08
71	6.124982975527852e-09
72	2.5112186492784362e-09
73	1.010834015546861e-09
74	3.9954039816178224e-10
75	1.5509415641221344e-10
76	5.913586209887064e-11
77	2.2150962346899065e-11
78	8.152379644219369e-12
79	2.9484166891290153e-12
80	1.0480141092704058e-12
81	3.6616679758907463e-13
82	1.2577165242914345e-13
83	4.2475219306591966e-14
84	1.410565765013363e-14
85	4.606917267768221e-15
86	1.4799264359019923e-15
87	4.676646514399189e-16
88	1.45393347834809e-16
89	4.447539518350072e-17
90	1.338779208656512e-17
91	3.966061425086603e-18
92	1.1564254293586836e-18
93	3.3191652785195325e-19
94	9.378588242793392e-20
95	2.609075767293628e-20
96	7.14691878705381e-21
97	1.9278590416601468e-21
98	5.12149059763522e-22
99	1.340051960460645e-22
100	3.45373997997827e-23
101	8.768758056546755e-24
102	2.1933292980283603e-24
103	5.405338697651108e-25
104	1.3125942656996145e-25
105	3.140949917768832e-26
106	7.407097434017087e-27
107	1.721569240353619e-27
108	3.9438685345962963e-28
109	8.905806184652628e-29
110	1.9824743852905508e-29
111	4.350662822385682e-30
112	9.413389771537985e-31
113	2.008204957186152e-31
114	4.2244420354263815e-32
115	8.763090748646332e-33
116	1.7926626566672978e-33
117	3.6167559225079005e-34
118	7.196886460148611e-35
119	1.4125368337953092e-35
120	2.734694835348167e-36
121	5.22270656747954e-37
122	9.83973034321643e-38
123	1.8289177785902756e-38
124	3.353904102904926e-39
125	6.068398681914734e-40
126	1.0833919060797786e-40
127	1.9085589818721193e-41
128	3.317829792057638e-42
129	5.69181326519966e-43
130	9.636386958871152e-44
131	1.610139157636527e-44
132	2.6553163121189232e-45
133	4.322056130752541e-46
134	6.943892577349708e-47
135	1.1012115388103967e-47
136	1.7238916264228058e-48
137	2.664013732821829e-49
138	4.0641120204343447e-50
139	6.120862052928602e-51
140	9.101056492899556e-52
141	1.336033976095987e-52
142	1.936437322371739e-53
143	2.7711690145115736e-54
144	3.915698089202045e-55
145	5.463294345831266e-56
146	7.526818350675236e-57
147	1.02398017439733e-57
148	1.375645113488544e-58
149	1.8250178779682734e-59
150	2.3910267143866486e-60
151	3.0936323936759352e-61
152	3.953028850049109e-62
153	4.988591419006022e-63
154	6.217587251951754e-64
155	7.653689282641147e-65
156	9.305364614683706e-66
157	1.1174237509716385e-66
158	1.3253552705028478e-67
159	1.5526882657097738e-68
160	1.7967228722480696e-69
161	2.053665820396594e-70
162	2.3186594867730635e-71
163	2.585884002969163e-72
164	2.848734675957158e-73
165	3.100070541652456e-74
166	3.332523068719625e-75
167	3.538847583254883e-76
168	3.7122946595439e-77
169	3.846975214420791e-78
170	3.938191882448352e-79
171	3.982710714517845e-80
172	3.978951307318994e-81
173	3.927079792866167e-82
174	3.8289970703473594e-83
175	3.688223413567663e-84
176	3.509689201193102e-85
177	3.299449078734854e-86
178	3.0643425936134252e-87
179	2.811627705423298e-88
180	2.5486143166822274e-89
181	2.282323163199209e-90
182	2.0191914041514572e-91
183	1.7648406405817555e-92
184	1.5239165821843437e-93
185	1.3000029246174935e-94
186	1.0956058801021964e-95
187	9.12200770588098e-97
188	7.503285041632652e-98
189	6.097277628173574e-99
190	4.894882877092098e-100
191	3.8821154985911053e-101
192	3.041670219472031e-102
193	2.3543484858065663e-103
194	1.8002857514132766e-104
195	1.3599440923233978e-105
196	1.0148599660759728e-106
197	7.481572531068649e-108
198	5.448504527940577e-109
199	3.919720072636234e-110
200	2.7856173466834155e-111
201	1.9555620013446764e-112
202	1.3561265064497503e-113
203	9.28970144580887e-115
204	6.285942386647266e-116
205	4.201457421900482e-117
206	2.773856589622258e-118
207	1.8089048932125483e-119
208	1.1651667119166529e-120
209	7.412993300242841e-122
210	4.6582697280128776e-123
211	2.8911665001236887e-124
212	1.7722731597276453e-125
213	1.0729725649141952e-126
214	6.415610067934829e-128
215	3.7885178922569974e-129
216	2.209393562235312e-130
217	1.272445429943144e-131
218	7.236977600485858e-133
219	4.0645883202042913e-134
220	2.2542709808050556e-135
221	1.2345664951239052e-136
222	6.676208584766324e-138
223	3.5648414863494664e-139
224	1.8794594973073032e-140
225	9.783523075133863e-142
226	5.02821557186252e-143
227	2.5513802656142463e-144
228	1.278100994727285e-145
229	6.320761855583099e-147
230	3.0858382353470567e-148
231	1.4871718331178434e-149
232	7.074859156767692e-151
233	3.3222098765847986e-152
234	1.539829001321752e-153
235	7.044289600665014e-155
236	3.1805619786434437e-156
237	1.4172769006809038e-157
238	6.232632481933901e-159
239	2.7048028206094154e-160
240	1.158318076682055e-161
241	4.894727971559726e-163
242	2.0408809681054817e-164
243	8.396041362727794e-166
244	3.407831604377457e-167
245	1.3646042381931194e-168
246	5.390613346143672e-170
247	2.1006313068245796e-171
248	8.074551920955207e-173
249	3.0614007066375133e-174
250	1.1448028603078408e-175
251	4.222066449484334e-177
252	1.5355985992164263e-178
253	5.507601129490859e-180
254	1.9478369774819328e-181
255	6.792359609958284e-183
256	2.3352781117511306e-184
257	7.915487864911408e-186
258	2.644895339476164e-187
259	8.711659762286462e-189
260	2.8282910430161553e-190
261	9.049956730881155e-192
262	2.853880602879307e-193
263	8.86867819285236e-195
264	2.715700723367235e-196
265	8.193512778932959e-198
266	2.43549949827924e-199
267	7.131801430964667e-201
268	2.0571523496279454e-202
269	5.8445557299463714e-204
270	1.6353671682987236e-205
271	4.506275052944207e-207
272	1.2226938079303039e-208
273	3.26642921116136e-210
274	8.590950014110888e-212
275	2.224217950893333e-213
276	5.668085505357018e-215
277	1.4215819379232895e-216
278	3.508619088009218e-218
279	8.520802884644893e-220
280	2.0358917431261909e-221
281	4.785279434055349e-223
282	1.1063324173832485e-224
283	2.51556504473701e-226
284	5.624727333311125e-228
285	1.2365917775834197e-229
286	2.672708553254388e-231
287	5.678283117512127e-233
288	1.1856618461790156e-234
289	2.4328732061547806e-236
290	4.9048714345115526e-238
291	9.714448692414524e-240
292	1.8898268492908686e-241
293	3.6105067529460026e-243
294	6.77303788331065e-245
295	1.2473628565663552e-246
296	2.2548549258528236e-248
297	4.0001945325083754e-250
298	6.963027738066668e-252
299	1.1890084015469103e-253
300	1.9913800715995143e-255
301	3.2705118959179468e-257
302	5.265949578604094e-259
303	8.310766812640896e-261
304	1.2853158233307548e-262
305	1.9475141036838175e-264
306	2.8903309972936442e-266
307	4.200503740114273e-268
308	5.976251124739475e-270
309	8.321715196553317e-272
310	1.1337886961030544e-273
311	1.5109879513365027e-275
312	1.9691065450499365e-277
313	2.5085435384113177e-279
314	3.123043550305287e-281
315	3.798330581591937e-283
316	4.511432285633648e-285
317	5.23101166653166e-287
318	5.918923091418495e-289
319	6.533033491376635e-291
320	7.031119297352522e-293
321	7.375407225336995e-295
322	7.537128396693881e-297
323	7.500356911414039e-299
324	7.2644464572688375e-301
325	6.844571717732882e-303
326	6.27019666131347e-305
327	5.581665402828637e-307
328	4.825458770074483e-309
329	4.0488985377877e-311
330	3.29515471894e-313
331	2.59930504e-315
332	1.985942e-317
333	1.4685e-319
334	1.05e-321
335	5e-324
336	0.0
337	0.0
338	0.0
339	0.0
340	0.0
341	0.0
342	0.0
343	0.0
344	0.0
345	0.0
346	0.0
347	0.0
348	0.0
349	0.0
350	0.0
351	0.0
352	0.0
353	0.0
354	0.0
355	0.0
356	0.0
357	0.0
358	0.0
359	0.0
360	0.0
361	0.0
362	0.0
363	0.0
364	0.0
365	0.0
366	0.0
367	0.0
