k	pvalue
0	0.9999999999479384
1	0.9999999999479384
2	0.9999999999479384
3	0.9999999999479384
4	0.9999999999479384
5	0.9999999999479384
6	0.9999999999479384
7	0.9999999999479384
8	0.9999999999479384
9	0.9999999999479384
10	0.9999999999479384
11	0.9999999999479384
12	0.9999999999479384
13	0.9999999999479384
14	0.9999999999479384
15	0.9999999999479384
16	0.9999999999479384
17	0.9999999999479384
18	0.9999999999479384
19	0.9999999999479384
20	0.9999999999479384
21	0.9999999999479384
22	0.9999999999479384
23	0.9999999999479384
24	0.9999999999479384
25	0.9999999999479384
26	0.9999999999479384
27	0.9999999999479384
28	0.9999999999479383
29	0.9999999999479381
30	0.9999999999479372
31	0.9999999999479336
32	0.9999999999479199
33	0.9999999999478691
34	0.9999999999476897
35	0.9999999999470792
36	0.9999999999450784
37	0.9999999999387578
38	0.9999999999194933
39	0.9999999998627961
40	0.9999999997015424
41	0.9999999992580076
42	0.9999999980773511
43	0.9999999950337323
44	0.9999999874303539
45	0.9999999690125263
46	0.9999999257273444
47	0.9999998269741139
48	0.9999996081444877
49	0.999999136922877
50	0.9999981503692121
51	0.9999961412948134
52	0.9999921597996622
53	0.9999844780790842
54	0.9999700432088126
55	0.9999436141128186
56	0.9998964476626553
57	0.9998143698560141
58	0.9996750495926656
59	0.9994442964759966
60	0.999071244737635
61	0.9984823777647334
62	0.9975745036847506
63	0.9962070159679188
64	0.9941940546766076
65	0.991297496652681
66	0.987221999723549
67	0.9816135428427513
68	0.9740629676840606
69	0.9641158686456435
70	0.9512897502735425
71	0.935098666077635
72	0.9150846160125815
73	0.8908539147272294
74	0.8621157021437721
75	0.8287189336716231
76	0.7906837373260971
77	0.7482230961174062
78	0.7017514681346488
79	0.651878158381925
80	0.599384869441913
81	0.545188663131729
82	0.4902932965341214
83	0.4357332886854838
84	0.38251591522707434
85	0.3315664945938945
86	0.28368181007423876
87	0.23949540754024978
88	0.19945700727451604
89	0.16382660836033544
90	0.13268228858751
91	0.10593941765119767
92	0.08337814479141654
93	0.06467564997210332
94	0.04943973646899785
95	0.03724080503668213
96	0.027639959643408547
97	0.0202118144690482
98	0.014561376088120435
99	0.010335067249202122
100	0.007226480506021689
101	0.004977779688157414
102	0.0033778146902106584
103	0.002258011865294169
104	0.0014869911266586384
105	0.000964686157585946
106	0.0006165452368377255
107	0.000388197294779149
108	0.00024080063748333568
109	0.0001471602539171864
110	8.86058713628033e-05
111	5.256368563554841e-05
112	3.072370076902805e-05
113	1.7694545633123302e-05
114	1.0041482041918938e-05
115	5.61517830699189e-06
116	3.0942246337176303e-06
117	1.6802666715347037e-06
118	8.992044665806123e-07
119	4.742513060935803e-07
120	2.4651568383894603e-07
121	1.2629399453686937e-07
122	6.377334472850106e-08
123	3.174170632533008e-08
124	1.5572994051354193e-08
125	7.531489468142772e-09
126	3.5906458974356617e-09
127	1.687575300194046e-09
