label	method	mode
g01_0	direct_eigen	0
g01_0	dp/10	0
g01_0	dp/100	0
g01_0	dp/1000	18
g01_1	direct_eigen	0
g01_1	dp/10	0
g01_1	dp/100	0
g01_1	dp/1000	18
g01_2	direct_eigen	0
g01_2	dp/10	0
g01_2	dp/100	0
g01_2	dp/1000	18
g01_3	direct_eigen	0
g01_3	dp/10	0
g01_3	dp/100	0
g01_3	dp/1000	18
g01_4	direct_eigen	0
g01_4	dp/10	0
g01_4	dp/100	0
g01_4	dp/1000	18
g01_5	direct_eigen	0
g01_5	dp/10	0
g01_5	dp/100	0
g01_5	dp/1000	18
g01_6	direct_eigen	0
g01_6	dp/10	0
g01_6	dp/100	0
g01_6	dp/1000	18
g01_7	direct_eigen	0
g01_7	dp/10	0
g01_7	dp/100	0
g01_7	dp/1000	18
g01_8	direct_eigen	0
g01_8	dp/10	0
g01_8	dp/100	0
g01_8	dp/1000	18
g01_9	direct_eigen	0
g01_9	dp/10	0
g01_9	dp/100	0
g01_9	dp/1000	18
g02_0	direct_eigen	0
g02_0	dp/10	-2
g02_0	dp/100	-2
g02_0	dp/1000	28
g02_1	direct_eigen	-1
g02_1	dp/10	-3
g02_1	dp/100	-3
g02_1	dp/1000	27
g02_2	direct_eigen	0
g02_2	dp/10	-2
g02_2	dp/100	-2
g02_2	dp/1000	28
g02_3	direct_eigen	0
g02_3	dp/10	-2
g02_3	dp/100	-2
g02_3	dp/1000	28
g02_4	direct_eigen	1
g02_4	dp/10	-1
g02_4	dp/100	-1
g02_4	dp/1000	29
g02_5	direct_eigen	0
g02_5	dp/10	-2
g02_5	dp/100	-2
g02_5	dp/1000	28
g02_6	direct_eigen	0
g02_6	dp/10	-2
g02_6	dp/100	-2
g02_6	dp/1000	28
g02_7	direct_eigen	0
g02_7	dp/10	-2
g02_7	dp/100	-2
g02_7	dp/1000	28
g02_8	direct_eigen	-1
g02_8	dp/10	-3
g02_8	dp/100	-3
g02_8	dp/1000	27
g02_9	direct_eigen	0
g02_9	dp/10	-2
g02_9	dp/100	-2
g02_9	dp/1000	28
g03_0	direct_eigen	0
g03_0	dp/10	-50
g03_0	dp/100	0
g03_0	dp/1000	0
g03_1	direct_eigen	0
g03_1	dp/10	-50
g03_1	dp/100	0
g03_1	dp/1000	0
g03_2	direct_eigen	0
g03_2	dp/10	-50
g03_2	dp/100	0
g03_2	dp/1000	0
g03_3	direct_eigen	0
g03_3	dp/10	-50
g03_3	dp/100	0
g03_3	dp/1000	0
g03_4	direct_eigen	0
g03_4	dp/10	-50
g03_4	dp/100	0
g03_4	dp/1000	0
g03_5	direct_eigen	0
g03_5	dp/10	-50
g03_5	dp/100	0
g03_5	dp/1000	0
g03_6	direct_eigen	0
g03_6	dp/10	-50
g03_6	dp/100	0
g03_6	dp/1000	0
g03_7	direct_eigen	0
g03_7	dp/10	-50
g03_7	dp/100	0
g03_7	dp/1000	0
g03_8	direct_eigen	0
g03_8	dp/10	-50
g03_8	dp/100	0
g03_8	dp/1000	0
g03_9	direct_eigen	0
g03_9	dp/10	-50
g03_9	dp/100	0
g03_9	dp/1000	0
g04_0	direct_eigen	0
g04_0	dp/10	0
g04_0	dp/100	0
g04_0	dp/1000	2
g04_1	direct_eigen	0
g04_1	dp/10	0
g04_1	dp/100	0
g04_1	dp/1000	2
