k	pvalue
0	1.000000000103297
1	0.9999999972138002
2	0.9999999575639842
3	0.9999996728556552
4	0.9999982510744496
5	0.9999927114610394
6	0.999974792442542
7	0.999924772922035
8	0.9998010730088446
9	0.999524871286974
10	0.9989600750525741
11	0.9978906125267488
12	0.9959988288340103
13	0.9928502156849232
14	0.9878902135772099
15	0.9804579929904286
16	0.9698198838939098
17	0.9552218186134794
18	0.9359564538442353
19	0.9114373743549694
20	0.8812707181001985
21	0.8453141949371811
22	0.8037149038085496
23	0.756920291361199
24	0.7056604377855117
25	0.6509038566383911
26	0.5937924391443282
27	0.5355635226826501
28	0.47746804499383
29	0.42069336718764666
30	0.3662978513028572
31	0.3151620526305382
32	0.2679588752933083
33	0.2251426473968402
34	0.18695510701610438
35	0.15344493185949618
36	0.12449674506110903
37	0.09986543265502133
38	0.07921198893387991
39	0.06213780396062572
40	0.0482151613544427
41	0.037012584752145264
42	0.028114454472381187
43	0.021134948169524506
44	0.015726813738327416
45	0.011585761797213634
46	0.008451391080047735
47	0.006105566169757251
48	0.004369089559736924
49	0.003097383030793155
50	0.0021757450926604416
51	0.0015146029320587393
52	0.001045042944031788
53	0.0007147912376044328
54	0.00048472731478321936
55	0.0003259497728921598
56	0.00021736959476000486
57	0.00014378054903179023
58	9.434335933021765e-05
59	6.141682636026121e-05
60	3.967177262880959e-05
61	2.5429968835943993e-05
62	1.6178203096001446e-05
63	1.0216066700138907e-05
64	6.4040310465597975e-06
65	3.9855226865115864e-06
66	2.4627696503683142e-06
67	1.5111658216780465e-06
68	9.208569206606354e-07
69	5.573198716480858e-07
70	3.3503383178294927e-07
71	2.0007039119979118e-07
72	1.1869273190685292e-07
73	6.995980852885289e-08
74	4.0972386182919864e-08
75	2.3844379099007044e-08
76	1.3790050701679404e-08
77	7.926159499289196e-09
78	4.52801591571611e-09
79	2.5711740523812466e-09
80	1.4513185422660832e-09
81	8.143859160880006e-10
82	4.543198488043133e-10
83	2.519904249009298e-10
84	1.3897075265735586e-10
85	7.620882539961103e-11
86	4.15579727670461e-11
87	2.253692854451992e-11
88	1.2154855191651983e-11
89	6.519920518391396e-12
90	3.4785192438213013e-12
91	1.8459828588487107e-12
92	9.74457791339e-13
93	5.117064898116252e-13
94	2.673136948485332e-13
95	1.3892590191943477e-13
96	7.18332978153143e-14
97	3.695449628955967e-14
98	1.891583555911074e-14
99	9.63425038014895e-15
100	4.8827155939878944e-15
101	2.46247900790253e-15
102	1.2358544866401824e-15
103	6.172505798390619e-16
104	3.0681056816968463e-16
105	1.517779386007458e-16
106	7.472931858723121e-17
107	3.662111607704773e-17
108	1.7862576450858162e-17
109	8.672454712787734e-18
110	4.19120115483653e-18
111	2.016258804253478e-18
112	9.65556788482187e-19
113	4.603045807433044e-19
114	2.1845428105358014e-19
115	1.032131842292716e-19
116	4.8549015585623524e-20
117	2.2735647107031087e-20
118	1.0600505766528872e-20
119	4.9209471683230855e-21
120	2.2744892321338182e-21
121	1.046747913357741e-21
122	4.796595382595958e-22
123	2.1885996174135487e-22
124	9.943769879668495e-23
125	4.4987966049610416e-23
126	2.0268005574253075e-23
127	9.092925565099968e-24
128	4.062399353260853e-24
129	1.8074077476031547e-24
130	8.008150047660169e-25
131	3.533609853566051e-25
132	1.5528264937422269e-25
133	6.795988379728044e-26
134	2.962203722334045e-26
135	1.2859286792770829e-26
136	5.559879690161382e-27
137	2.394237227032549e-27
138	1.0269015105530508e-27
139	4.386888816124238e-28
140	1.8666243127139572e-28
141	7.91107941329512e-29
142	3.3396352215875877e-29
143	1.404276288852145e-29
144	5.881687789852888e-30
145	2.4538767036106687e-30
146	1.0197887651281476e-30
147	4.221624851239369e-31
148	1.7408688746008291e-31
149	7.151126139919757e-32
150	2.9262376262951765e-32
151	1.1928235541061631e-32
152	4.843718030876725e-33
153	1.9593949124094053e-33
154	7.896050159528117e-34
155	3.1699092368449736e-34
