k	pvalue
0	1
1	1
2	1
3	1
4	1
5	1
6	1
7	1
8	0.999999
9	0.999996
10	0.999986
11	0.999954
12	0.999863
13	0.999632
14	0.999089
15	0.997916
16	0.995572
17	0.991213
18	0.983643
19	0.971323
20	0.952468
21	0.925258
22	0.888132
23	0.840127
24	0.781172
25	0.712272
26	0.635505
27	0.553825
28	0.470703
29	0.389683
30	0.313945
31	0.245958
32	0.18729
33	0.138567
34	0.099588
35	0.0695208
36	0.0471386
37	0.0310468
38	0.0198646
39	0.012349
40	0.00746003
41	0.00438019
42	0.0025002
43	0.00138763
44	0.000748993
45	0.000393258
46	0.000200889
47	9.9861e-05
48	4.83141e-05
49	2.27543e-05
50	1.04335e-05
51	4.65838e-06
52	2.0255e-06
53	8.57776e-07
54	3.53834e-07
55	1.42183e-07
56	5.56603e-08
57	2.12284e-08
58	7.88829e-09
59	2.85595e-09
60	1.00745e-09
61	3.46263e-10
62	1.15954e-10
63	3.78309e-11
64	1.20247e-11
65	3.72342e-12
66	1.12309e-12
67	3.29958e-13
68	9.44124e-14
69	2.63072e-14
70	7.13745e-15
71	1.88526e-15
72	4.84719e-16
73	1.21291e-16
74	2.95328e-17
75	6.99571e-18
76	1.61183e-18
77	3.61131e-19
78	7.86617e-20
79	1.66533e-20
80	3.42574e-21
81	6.84538e-22
82	1.32829e-22
83	2.50203e-23
84	4.57347e-24
85	8.10942e-25
86	1.39428e-25
87	2.32352e-26
88	3.75133e-27
89	5.86493e-28
90	8.8749e-29
91	1.29915e-29
92	1.8387e-30
93	2.51455e-31
94	3.32079e-32
95	4.23221e-33
96	5.20158e-34
97	6.16065e-35
98	7.02587e-36
99	7.70896e-37
100	8.13075e-38
101	8.23565e-39
102	8.00318e-40
103	7.45355e-41
104	6.64517e-42
105	5.66451e-43
106	4.6107e-44
107	3.57859e-45
108	2.64451e-46
109	1.85764e-47
110	1.23823e-48
111	7.81693e-50
112	4.66415e-51
113	2.6244e-52
114	1.3891e-53
115	6.89779e-55
116	3.20369e-56
117	1.3871e-57
118	5.57781e-59
119	2.07441e-60
120	7.10128e-62
121	2.22548e-63
122	6.34488e-65
123	1.63359e-66
124	3.76524e-68
125	7.68787e-70
126	1.37266e-71
127	2.10851e-73
128	2.72777e-75
129	2.8874e-77
130	2.39873e-79
131	1.46482e-81
132	5.83809e-84
133	1.13743e-86
134	1.43474e-185
135	1.43474e-185
136	1.43474e-185
137	1.43474e-185
138	1.43474e-185
139	1.43474e-185
140	1.43474e-185
141	1.43474e-185
142	1.43474e-185
143	1.43474e-185
144	1.43474e-185
145	1.43474e-185
146	1.43474e-185
147	1.43474e-185
148	1.43474e-185
149	1.43474e-185
150	1.43474e-185
151	1.43474e-185
152	1.43474e-185
153	1.43474e-185
154	1.43474e-185
155	1.43474e-185
156	1.43474e-185
157	1.43474e-185
158	1.43474e-185
159	1.43474e-185
160	1.43474e-185
161	1.43474e-185
162	1.43474e-185
163	1.43474e-185
164	1.43474e-185
165	1.43474e-185
166	1.43474e-185
167	1.43474e-185
168	1.43474e-185
169	1.43474e-185
170	1.43474e-185
171	1.43474e-185
172	1.43474e-185
173	1.43474e-185
174	1.43474e-185
175	1.43474e-185
176	1.43474e-185
177	1.43474e-185
178	1.43474e-185
179	1.43474e-185
180	1.43474e-185
181	1.43474e-185
182	1.43474e-185
183	1.43474e-185
184	1.43474e-185
185	1.43474e-185
186	1.43474e-185
187	1.43474e-185
188	1.43474e-185
189	1.43474e-185
190	1.43474e-185
191	1.43474e-185
192	1.43474e-185
193	1.43474e-185
194	1.43474e-185
195	1.43474e-185
196	1.43474e-185
197	1.43474e-185
198	1.43474e-185
199	1.43474e-185
200	1.43474e-185
201	1.43474e-185
202	1.43474e-185
203	1.43474e-185
204	1.43474e-185
205	1.43474e-185
206	1.43474e-185
207	1.43474e-185
208	1.43474e-185
209	1.43474e-185
210	1.43474e-185
211	1.43474e-185
212	1.43474e-185
213	1.43474e-185
214	1.43474e-185
215	1.43474e-185
216	1.43474e-185
217	1.43474e-185
218	1.43474e-185
219	1.43474e-185
220	1.43474e-185
221	1.43474e-185
222	1.43474e-185
223	1.43474e-185
224	1.43474e-185
225	1.43474e-185
226	1.43474e-185
227	1.43474e-185
228	1.43474e-185
229	1.43474e-185
230	1.43474e-185
231	1.43474e-185
232	1.43474e-185
233	1.43474e-185
234	1.43474e-185
235	1.43474e-185
236	1.43474e-185
237	1.43474e-185
238	1.43474e-185
239	1.43474e-185
240	1.43474e-185
241	1.43474e-185
242	1.43474e-185
243	1.43474e-185
244	1.43474e-185
245	1.43474e-185
246	1.43474e-185
247	1.43474e-185
248	1.43474e-185
249	1.43474e-185
250	1.43474e-185
251	1.43474e-185
252	1.43474e-185
253	1.43474e-185
254	1.43474e-185
255	1.43474e-185
256	1.43474e-185
257	1.43474e-185
258	1.43474e-185
259	1.43474e-185
260	1.43474e-185
261	1.43474e-185
262	1.43474e-185
263	1.43474e-185
264	1.43474e-185
265	1.43474e-185
266	1.43474e-185
267	1.43474e-185
268	1.43474e-185
269	1.43474e-185
270	1.43474e-185
271	1.43474e-185
272	1.43474e-185
273	1.43474e-185
274	1.43474e-185
275	1.43474e-185
276	1.43474e-185
277	1.43474e-185
278	1.43474e-185
279	1.43474e-185
280	1.43474e-185
281	1.43474e-185
282	1.43474e-185
283	1.43474e-185
284	1.43474e-185
285	1.43474e-185
286	1.43474e-185
287	1.43474e-185
288	1.43474e-185
289	1.43474e-185
290	1.43474e-185
291	1.43474e-185
292	1.43474e-185
293	1.43474e-185
294	1.43474e-185
295	1.43474e-185
296	1.43474e-185
297	1.43474e-185
298	1.43474e-185
299	1.43474e-185
300	1.43474e-185
301	1.43474e-185
302	1.43474e-185
303	1.43474e-185
304	1.43474e-185
305	1.43474e-185
306	1.43474e-185
307	1.43474e-185
308	1.43474e-185
309	1.43474e-185
310	1.43474e-185
311	1.43474e-185
312	1.43474e-185
313	1.43474e-185
314	1.43474e-185
315	1.43474e-185
316	1.43474e-185
317	1.43474e-185
318	1.43474e-185
319	1.43474e-185
320	1.43474e-185
321	1.43474e-185
322	1.43474e-185
323	1.43474e-185
324	1.43474e-185
325	1.43474e-185
326	1.43474e-185
327	1.43474e-185
328	1.43474e-185
329	1.43474e-185
330	1.43474e-185
331	1.43474e-185
332	1.43474e-185
333	1.43474e-185
334	1.43474e-185
335	1.43474e-185
336	1.43474e-185
337	1.43474e-185
338	1.43474e-185
339	1.43474e-185
