k	pvalue
0	1
1	1
2	1
3	1
4	1
5	0.999999
6	0.999996
7	0.99998
8	0.999913
9	0.999681
10	0.998978
11	0.997106
12	0.992688
13	0.983368
14	0.965683
15	0.935343
16	0.888075
17	0.820957
18	0.733819
19	0.630117
20	0.516743
21	0.402671
22	0.296888
23	0.206372
24	0.134842
25	0.0826048
26	0.0473398
27	0.0253285
28	0.0126278
29	0.0058556
30	0.00252064
31	0.00100526
32	0.000370625
33	0.000126022
34	3.94146e-05
35	1.13047e-05
36	2.96314e-06
37	7.06985e-07
38	1.52833e-07
39	2.97716e-08
40	5.19205e-09
41	8.04309e-10
42	1.09619e-10
43	1.29874e-11
44	1.31728e-12
45	1.12094e-13
46	7.78346e-15
47	4.23541e-16
48	1.69389e-17
49	4.42745e-19
50	5.67435e-21
