k	pvalue
0	1.0
1	1.0
2	1.0
3	1.0
4	1.0
5	1.0
6	1.0
7	1.0
8	1.0
9	1.0
10	1.0
11	1.0
12	1.0
13	1.0
14	1.0
15	0.9999
16	0.9996999999999999
17	0.9992
18	0.9972
19	0.9923
20	0.9841
21	0.9666
22	0.9421999999999999
23	0.9024
24	0.8456999999999999
25	0.7662
26	0.6729999999999999
27	0.5699
28	0.45449999999999996
29	0.3418999999999999
30	0.24099999999999996
31	0.15489999999999998
32	0.09850000000000002
33	0.05759999999999999
34	0.03139999999999999
35	0.014499999999999997
36	0.005999999999999998
37	0.002599999999999999
38	0.0007000000000000001
39	0.00019999999999999985
40	0.00019999999999999985
