k	pvalue
0	1
1	1
2	1
3	1
4	1
5	1
6	1
7	0.999997
8	0.999982
9	0.99991
10	0.999618
11	0.99861
12	0.995625
13	0.987992
14	0.971021
15	0.938047
16	0.881813
17	0.797333
18	0.685201
19	0.553388
20	0.415896
21	0.288452
22	0.183369
23	0.106244
24	0.0558449
25	0.0265229
26	0.0113417
27	0.00435238
28	0.00149414
29	0.000457407
30	0.000124465
31	3.00008e-05
32	6.38209e-06
33	1.19343e-06
34	1.95304e-07
35	2.78334e-08
36	3.4353e-09
37	3.64907e-10
38	3.31214e-11
39	2.54777e-12
40	1.64498e-13
41	8.8143e-15
42	3.86682e-16
43	1.36616e-17
44	3.80829e-19
45	8.15958e-21
46	1.29779e-22
47	1.45938e-24
48	1.07731e-26
49	4.58556e-29
50	8.31498e-32
