chrX	152990310	153010209
chr5	112073581	112181936
chrX	66763862	66950461
chrX	2852561	2882382
chrX	77166189	77305892
chrX	153170167	153172620
chr13	32889644	32974405
chrX	100604437	100641179
chr11	2904447	2906995
chrX	49832242	49863887
chr17	48261461	48278992
chrX	31137338	33357505
chr13	78469621	78549662
chr8	118806728	119124065
chrX	154064066	154250998
chrX	138612897	138645618
chr15	48700509	48937906
chr7	44183873	44229038
chr7	42000546	42276808
chrX	100652790	100662913
chr12	114791734	114846247
chr7	155592673	155605157
chrX	133594194	133634698
chrX	148558518	148586836
chr20	10618331	10654647
chrX	8496914	8700178
chr11	2466237	2870335
chrX	43515546	43606064
chr3	69985742	70017483
chrX	149737070	149841616
chr9	98205261	98271548
chrX	43808021	43832636
chr17	29421944	29704695
chr22	29999621	30094587
chrX	128674235	128726533
chr10	102505338	102589701
chr11	31810573	31832563
chrX	19362044	19379836
chrX	77359744	77384792
chr16	2138708	2185899
chr4	88928786	88998929
chr17	15133095	15168643
chr10	89623381	89731687
chr13	48877886	49056026
chr4	111538578	111544233
chrX	18657807	18690228
chr17	70117160	70122557
chrX	7137496	7272682
chr5	149737259	149779856
chr9	135766735	135820003
chr11	32409320	32457085
chrX	10413595	10588625
chrX	85116184	85302562
chrX	37639311	37672714
chr11	44117746	44266980
chr3	33038108	33138638
chrX	153126970	153141469
chr17	2496947	2588909
chr2	223158353	223163717
chrX	22050442	22269427
chrX	585078	607558
chr17	36046433	36105050
chr15	25582380	25684203
chr7	19155090	19157259
chrX	30322322	30327507
chrX	76760357	77041702
chrX	107683067	107940775
chr22	25615605	25627836
chr7	73442502	73484237
chr8	72109667	72274304
chr20	57466475	57486247
chr2	176957448	176960672
chrX	38211856	38280699
chrX	103031767	103047548
chr17	7571738	7590808
chr16	2097985	2139492
chr3	10183461	10195351
chrX	110537006	110654374
chr20	34021144	34026008
chr12	2162152	2807116
chr15	32322717	32465219
chrX	122318130	122624766
chr16	9847264	10276765
chr12	13690270	14134536
chr15	99191767	99507759
chr21	36160097	36260996
chr10	8096650	8117161
chrX	68835956	69259322
chr22	24129152	24180196
chrX	128937263	128977575
chrX	73952690	74145287
chrX	13730363	13752739
chr3	71247032	71633129
chr6	45296066	45518819
chrX	133507341	133562820
chrX	14861526	14891191
chr19	42364324	42376993
chr14	66974864	67648520
chr14	21058231	21058982
chr3	30647993	30735634
chr6	43737947	43754224
chr9	130374555	130454978
chrX	48755212	48760420
chrX	18460343	18671749
chrX	46357159	46404856
chr2	166095923	166248814
chrX	135067593	135129428
chr15	93443553	93492464
chr7	35242041	35293711
chr16	3775054	3930121
chrX	119657712	119694817
chr18	52889415	53255423
chr7	94214291	94285445
chrX	153770426	153793261
chrX	99546641	99665271
chr19	33182726	33204698
chrX	153576898	153603002
chrX	153287023	153363174
chr13	111766965	111947542
chrX	123480412	123507010
chr3	189349177	189615065
chrX	119560002	119603204
chrX	11129451	11141206
chrX	39910498	40036582
chrX	41374186	41782287
chr7	69063460	70258492
chr16	51169892	51184508
chr19	11071705	11172949
chrX	151999606	152038273
chr6	33387841	33421466
chr6	33387841	33421466
chr18	42260037	42457384
chr9	101867394	101916474
chrX	152853382	152864595
chr5	88014057	88199922
chr1	61548232	61928460
chr2	50145640	51259270
chrX	17653619	17754114
chr16	6069024	7763342
chrX	153991138	154005964
chr17	42927315	42976813
chrX	152953380	152962043
chrX	109917083	110039045
chr15	67418079	67487507
chr9	140513456	140678845
chrX	100600648	100603730
chrX	53221339	53254389
chr20	30946146	30960352
chrX	132669772	133119621
chr7	156797547	156802129
chr10	119302256	119309057
chr2	166842322	166984530
chr5	172659111	172662209
chrX	69675026	69725340
chrX	122993902	123047822
chr12	65563362	65642135
chr3	147103834	147122071
chrX	147582136	148082193
chr14	21853357	21924282
chr2	145141647	145277686
chr2	200134227	200322662
chr7	114054869	114333820
chrX	62854846	63005094
chr8	38268660	38326153
chr3	46616024	46623947
chr9	129376206	129463311
chr2	162480925	162841780
chrX	154722195	154842613
chrX	53963112	54071569
chr17	29298056	29326929
chr4	2471179	2517584
chrX	146993436	147032645
chr1	103342028	103574078
chr5	1253281	1295183
chr17	44107281	44302733
chr11	118307206	118397547
chr1	120477735	120612276
chr14	54416453	54423543
chr2	203241049	203432472
chrX	106871739	106894256
chr13	28194879	28241548
chr1	209958961	209979487
chr3	2280512	3099643
chr16	89334037	89556969
chr16	29823513	29827202
chr10	76586357	76792382
chrX	21958826	22012955
chr2	131349737	131357148
chr14	57266622	57277197
chr19	13135394	13209610
chr15	67493004	67547536
chrX	15843928	15872936
chr6	170151717	170181696
chr18	3449565	3459976
chrX	5808082	6146908
chrX	48334408	48344752
chrX	118708525	118718386
chrX	48367379	48379196
chr8	116420723	116680240
chrX	44732433	44972024
chr2	16080671	16087126
chr6	133562494	133853266
chrX	131211017	131262048
chr8	11561710	11617511
chr8	61653817	61780587
chr20	50398869	50419060
chrX	108884563	108976486
chr1	92711958	92764544
chr1	89149955	89301938
chr17	59529782	59562471
chrX	47304576	47342621
chr10	72191691	72207707
chrX	13752866	13787476
chr12	112856750	112947722
chrX	84498996	84528363
chrX	136648285	136659850
chr21	38739074	38898660
chr5	147204144	147218759
chr10	43600179	43623062
chr8	106330665	106816767
chr22	41488595	41576081
chr5	174151584	174157899
chr6	157357560	157531913
chr9	843288	969090
chr5	176561229	176727214
chrX	77081243	77150932
chr2	121493443	121750229
chr22	51111250	51171640
chr14	37131064	37148567
chr6	100832884	100912332
chr2	148778659	149274540
chr2	239969863	240322714
chrX	41306595	41334905
chr22	19748300	19754857
chr20	62031560	62104008
chr16	86544132	86549028
chr6	1610149	1614132
chrX	153665499	153671814
chr12	48366749	48398259
chr4	4861391	4865663
chr9	21802634	21867080
chrX	67262185	67653337
chr12	28115253	28124955
chr3	181429712	181432224
chrY	2654895	2655723
chr3	147127151	147134506
chr2	113973573	114036498
chr12	49412760	49454577
chr10	88516375	88687726
chrX	68048863	68062003
chrX	54471886	54522667
chr5	44300348	44389522
chr10	94352886	94415152
chrX	20168028	20285027
chrX	38420794	38548172
chr9	127243514	127269678
chr14	29235992	29239483
chr16	86600434	86603334
chr18	19749549	19782491
chr1	147228331	147245455
chr1	147374920	147381396
chr18	48556582	48611412
chr2	45168840	45173210
chr19	34919285	34962156
chr1	149895208	149899695
chr12	115108059	115121980
chr1	27022505	27108595
chrX	73641327	73753751
chr22	38368318	38380562
chrX	47431299	47479256
chr13	100634037	100639019
chr11	86656720	86666437
chr7	145813892	148118090
chrX	28605562	29974835
chr5	36876870	37065921
chr15	23888695	23893014
chr11	44281989	44331689
chrX	118967984	118986926
chr3	138663065	138665979
chrX	101087084	101112549
chr1	180199398	180248119
chr15	38545036	38649450
chrX	79925001	80065376
chrX	154487519	154493776
chr10	91190055	91295351
chrX	73040485	73072588
chr11	2629557	2721228
chr14	101292444	101327363
