chr12	52306258	52314677
chrX	152990721	153009189
chr8	41518983	41655056
chr5	112090587	112179823
chrX	66764988	66943683
chrX	2852872	2878441
chr17	3379453	3402382
chrX	77227138	77302067
chrX	153170599	153172182
chr13	32890597	32972907
chrX	100604872	100630272
chr19	13318859	13617038
chr11	2905233	2906719
chrX	49834580	49856876
chr1	16370987	16383411
chr17	48262862	48278874
chr7	94024343	94059705
chr2	189839215	189876500
chr2	228029442	228176586
chr19	18893724	18902078
chr22	42522575	42526793
chrX	31140035	33357382
chr1	97544531	98386478
chr13	78472334	78492708
chrX	153607844	153609557
chr9	130578195	130616634
chr6	152129047	152420101
chr8	118811950	119123285
chrX	154065871	154250827
chrX	138612923	138644230
chr16	89805008	89883023
chr15	48703186	48936966
chr10	123239370	123353331
chr1	155204785	155210903
chr7	44184734	44228552
chr7	42003927	42262852
chrX	100652796	100662891
chr12	114793336	114841703
chr7	155595593	155604816
chrX	133594341	133634107
chrX	148564276	148586667
chr13	28494275	28498838
chr20	10620145	10654178
chrX	8501035	8700077
chr12	5020544	5022032
chr11	2466328	2869233
chr11	128709019	128712312
chrX	43515589	43603760
chr3	69985873	70014399
chrX	149761076	149840068
chr11	47353421	47374198
chr9	98209193	98270643
chr7	74188378	74203504
chrX	43809044	43817891
chr17	29422327	29701173
chr22	29999987	30090791
chr2	110881367	110962545
chrX	9693785	9733857
chr15	28000533	28327020
chrX	128674416	128724247
chr10	102506017	102587376
chr11	31811481	31827959
chrX	19362155	19377771
chrX	77359837	77381327
chr16	2139727	2185690
chr4	88928885	88996846
chr17	15134233	15164044
chrX	82763332	82764418
chr10	89624226	89725229
chr13	48878048	49054207
chr6	42666032	42690072
chr4	111539280	111543616
chrX	18660123	18690188
chr6	16306559	16328541
chr3	38591811	38674798
chr15	48499916	48595082
chr16	56899147	56947317
chr2	44502674	44547778
chr5	70220930	70247818
chr17	70117532	70120528
chr2	31751265	31805969
chrX	7171240	7268302
chr11	17414537	17498323
chr5	149737309	149778611
chr11	2185462	2193016
chr9	135771621	135804259
chr11	32410603	32456906
chrX	10417407	10535587
chr3	121973036	122004038
chrX	85119634	85302536
chr2	189898795	190044330
chrX	37639330	37670170
chr22	43015778	43045321
chr11	44117802	44265837
chr3	33038536	33138577
chrX	153128117	153141291
chr17	2541582	2585096
chr19	15271472	15311716
chr2	223158823	223163334
chrX	22051123	22266070
chrX	591632	605371
chr19	1206912	1226646
